disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Private vehicles,col2_Buses,col3_Municipal fleet (government owned vehicles excluding buses),col4_Freight vehicles,col5_Taxis/Transport Network Companies/Carshares,col6_Comment
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,2774168,9014,939,301932,71686,"71,636 taxis"
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,58799,2287,386,10794,18229,Electric motorcycles are excluded.
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,85735,48.0,29,601,5224,
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,,,,,-
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,3065,121,9,5,62,
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1582501,48602,19945,0,0,No emissions data for freight and taxi
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,278073,1657,1351,56391,1825,"Note: Data source for freight vehicles was updated for a more accurate source. Freight vehicles count does not include dump or garbage trucks, construction vehicles, tow trucks, cranes, loaders or backhoes. "
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,6213,24,38,0,0,No data for taxis or freight vehicles
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,12980,632,153,0,1277,No comments
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,3258,0,13,0,0,No data for freight or taxis
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,55,1,0,0,0,No data for freight. Municipal hydrogen fleet is 0.
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2475257,85667,65958,2279506,198094,"Emissions for transport modes have previously been estimated by applying the shares estimated from a bottom-up modelling exercise in 2018. These are scaled to match the fuel sales derived total emissions.\n\nIn the 2023 inventory, the methodologies for both the bottom-up modelling and allocation of fuel sales to on-road transport have been updated, resulting in notable changes. A vehicle parc model disaggregated by mode was built using the LEAP platform to estimate transport share from the bottom-up. In addition, the fuel attribution methodology was completely overhauled by a service provider under a contract to improve the GHG data systems. Insights from an interview with the local refinery provided insights into how fuel was allocated to different sectors. \n\nIn total the petroleum fuel consumption estimate was 20% lower than 2022 but this number is only known to around that level of accuracy because the regional attribution of fuel sales is determined by survey of wholesalers not retailers and substantial leakage across boundaries occurs.\n\nThe 2023 estimate for minibus taxis mode share has dropped somewhat more than the total. The vehicle parc stock model showed a much higher share of diesel fueling than previously thought, shifting the fuel economy substantially. The calibration of this model also reduced mileage assumptions. These assumptions will be reviewed as the new methodology matures. \n\nTaxis (4.6.5) includes minibus taxis (16 - 35 seats) which are privately owned but are allocated routes by the provincial transport authority and account for a 30 - 40% passenger km mode share.\n\nFleet size figures are 2023 data year to align with GHG inventory.\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,945656,1499,9473,311561,20169,"-Private vehicles: This is data for registered light passenger vehicles with capacity < 12 persons less metered minus e-hailing taxis (2828 vehicles). Source: Western Cape Government Mobility Dept registration data. \n\n-Bus total fleet size: The figure reported here is for the 2 main bus utilities in Cape Town: Golden Arrow Bus Services (GABS) and City of Cape Town MyCiTi Fleet Department accounting for 1499 vehicles of the total heavy passenger vehicles registered (Totaling 5071). These 1499 vehicles account for a disproportionate share of the activity in this mode. Source: Bus utilities & Western Cape Government Mobility Dept registration data. (Data year: 2023)\n\n-Municipal fleet total size: Source: City of Cape Town Fleet Departments (Data year: 2023)\n\n-Freight vehicles: Data reported is for all freight vehicles including light trucks and vans (272 250 vehicles) to be consistent with emissions data reported. The data is known to include non-motorised trailers separately registered from horses and rigid chassis vehicles but the share was not disclosed. Source: Transport Administration and Licensing (Western Cape Government Mobility Dept). Data year: 2023\n\n- Taxis/Transport Network Companies/Carshares total fleet size: Includes 2828 Taxis/ Transport Network Companies and 17 892 valid operating licenses for minibus taxis. Source: Western Cape Government Mobility Dept registration data. Includes minibus taxis (16 - 35 seats), that are privately owned but are allocated routes by the provincial transport authority and account for a 30 - 40% passenger km mode share. CDP to consider a new category in this section (similar to the mode share section) for this mode of transport, which is utilised in many in developing country cities.\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,347,3,5.0,0.0,0,"-Bus electric fleet size: Data year and source: 2024 , Lightstone (email contact at Lightstone): According to the Golden Arrow Bus Services (GABS) the testing of two electrically powered buses in regular service yielded positive outcomes to the extent that negotiations to procure additional units and the retrofitting of existing and future depot facilities, received unanimous Board approval. (GABS currently operates a contract for scheduled passenger bus services across Cape Town, administered by the provincial government, the Western Cape Department of Transport and Public Works.). Following an extensive feasibility study work, the City has also awarded a tender for the supply of 70 electric buses, anticipated for delivery in 2027.\n\n-•\tElectric fleet (Data year 2023): The City's corporate fleet electric vehicle (EV) Pilot Programme (consisting of five electric vehicles with Safety and Safety Directorate - Traffic Services), concluded at the end of the last reporting period. This was followed by an analysis, in partnership with GreenCape, of the data of the pilot project, the financial benefits; the vehicle performance and whether it was fit for purpose for the application it was utilised for within the City. The outcomes of the study will be consulted on further within the City for guidance on future phases towards considering transitioning to a zero and/or low emissions. See case study here https://greencape.co.za/wp-content/uploads/2023/06/Case-Study-%E2%80%93-Electrification-of-Municipal-Vehicle-Fleet.pdf The City is also in the process of starting a procurement process for electric busses, following extensive feasibility study work. "
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,1744,0.0,0,0.0,0.0,"Data year and source: 2023, Lightstone"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,146,0.0,0.0,0.0,0.0,"Data year and source: 2023, Lightstone"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0.0,0.0,Data year and source: N/A
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),8517380,30394,67678,0.0,0.0,"Private vehicles includes taxis, transport network companies/carshares. "
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,0.0,0.0,0.0,0.0,0.0,0
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,0.0,0.0,0.0,0.0,0.0,0
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0.0,0.0,0.0,0.0,0.0,0
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0.0,0.0,0.0,0.0,0.0,0
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0.0,0.0,0
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2197680.0,,,,,The 2197680 inserted is the total from transport sector derived from fuel sales. The city does not have the amounts requested per c
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1071830.0,206.0,5784,,10450.0,
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,,,2.0,,,"The City currently has only two electric vehicles. As part of its Green Cities Action Plan, encouraging the use of electric vehicles has been identified as a key measure to reducing GHG emissions in the transport sector. In this measure, the City would encourage residents and businesses to switch from vehicles with internal combustion engines to electric vehicles. Moreover, the City would pass supportive policies to remove existing barriers, provides incentives (such as access to priority lanes), and works with the private sector to build charging infrastructure"
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0.0,,,,,
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0.0,,,,,
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,,,,,
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),,,,,,"No inventário não ocorreu separação por tipo de transporte. Este setor é responsável pela emissão de 2.687.561 tCO2e, das quais 79% provêm do transporte terrestre e 21% do transporte aéreo.Quando se consolida a informação de fontes de emissão por setor (G), se observa que as emissões do setor de transporte, principal emissor de GEE na cidade de Fortaleza, são originadas principalmente pelo consumo de gasolina (42% das emissões totais deste setor), seguido do consumo de diesel (26%) e combustível de aviação (21%). O setor de Transporte é o setor que mais contribuiu para as emissões de GEE na cidade em 2018, sendo responsável por 59% do total de emissões inventariadas. "
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,618417.0,10128.0,,141732.0,7866.0,Total de frota de Fortaleza em maio de 2022 era de 1.190.038.
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,59.0,0.0,20.0,0.0,1.0,"De acordo com NeoCharge a cidade de Fortaleza possui 59 veículos privados elétricos. Fonte: https://www.neocharge.com.br/carros-eletricos-brasilA frota municipal é de 20 veículos elétricos que faz parte do programa de carros compartilhados - VAMO (Veículos Alternativos para Mobilidade), traz uma série de benefícios para diversas áreas da cidade de Fortaleza e para seus habitantes, tais como: Meio ambiente e sustentabilidade: carros 100% elétricos, evitando a emissão de poluentes na atmosfera; incentivo de energias limpas e renováveis; emissão zero de gases poluentes; e emissão zero de poluição sonora. Fonte: http://www.vamofortaleza.com/ A frota de táxi municipal possui 1 veículo elétrico. Fonte: https://www.fortaleza.ce.gov.br/noticias/prefeitura-de-fortaleza-cadastra-1-veiculo-para-taxi-100-eletrico"
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,195.0,0.0,0.0,0.0,0.0,De acordo com NeoCharge a cidade de Fortaleza possui 195 veículos privados híbrido. Fonte: https://www.neocharge.com.br/carros-eletricos-brasil
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,1010.0,0.0,0.0,0.0,0.0,De acordo com NeoCharge a cidade de Fortaleza possui 1.010 veículos privados elétricos ou híbridos (que funcionam com eletricidade e gasolina). Fonte: https://www.neocharge.com.br/carros-eletricos-brasil
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0.0,0.0,Fortaleza não possui frota de veículos a hidrogênio. 
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),5823013,858826,0,0,0,"Los datos sobre emisiones del sector transporte provienen del Inventario de Gases de Efecto Invernadero (escala comunitaria) más reciente (año base 2022).\nSin embargo, no se encuentran desagregados por tipo de propiedad (municipal o privado), por lo que automóviles y motocicletas se consideran todos privados.\nAsí mismo, no se estiman las emisiones de vehículos de carga ni de taxis (empresas de red de transporte/viajes compartidos, por lo que su valor indica cero."
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,2151656,8061,10536,720916,12374,"Los datos se obtuvieron mediante la base de datos de Vehículos de Motor Registrados en Circulación del año 2023, del Instituto Nacional de Estadística y Geografía (INEGI).\nSe incluyen 527,301 motocicletas privadas en la columna \'Vehículos privados\', al no haber una columna específica para motocicletas.\t\t\t\t\t\t\t\t\t\t\t\t\t\t"
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,358.0,38.0,0,0,0,No se cuenta con estimaciones en las columnas indicadas con 0.
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,3523.0,25.0,0,0,24,No se cuenta con estimaciones en las columnas indicadas con 0.
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0.0,0,0,0,No estimado.
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0,0,0,No estimado.
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1080960,5132,14570,0,0,1103793 MT CO2e Citywide total according to 2023 inventory. Values above not changed as they are from 2023 Google EIE.
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,323962,56,2932,0,0,Divided County values by 2024 population percentage (16.79%) \n\nPopulation = 455955 \n\nData from FLHSMV pulled August 2025 \n\nBuses is total # of City Trolleys (2023 inventory) 
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,12560,0,0,0,0,Divided County values by 2024 population percentage (16.79%) \n\nPopulation = 455955 \n\nData from FLHSMV pulled August 2025 
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,10252,0,391,0,0,Source: COM GSA Data Packet 2023 Inventory\n\nDivided County values by 2024 population percentage (16.79%) \n\nPopulation = 455955 \n\nData from FLHSMV pulled August 2025 
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0,0,0,0,Data unavailable
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,Data unavailable
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2496191,449244,609,953771,300195,"Datos de carácter metropolitano. El inventario de GEI tiene un enfoque de consumo de combustible, lo que limita hacer una caracterización. En este punto se presentan los resultados derivados del Inventario Metropolitano de Emisiones de Contaminantes atmosféricos (2022), que cuenta con el desarrollo de un ejercicio de caracterización de la flota vehicular en los diez municipios del Valle de Aburrá y la aplicación de la metodología LEAP que, además, considera discriminación porcentual por rango de cilindraje y tipo de combustible.\n\nDatos de vehículos registrados activos en el Registro Único Nacional de Transito RUNT y secretarias de tránsito y movilidad del área metropolitana del Valle de Aburrá. Se incluye la información del tamaño de la flota registrada en la región metropolitana: Medellín y nueve municipios conurbados que constituyen una unidad funcional. \n\nVehículos privados, incluye autos y motos;\nAutobuses, incluye autobuses, buses BRT y buses de servicio especial\nVehículos de carga; incluye volquetas, camiones, tractocamiones \nTaxis; incluye taxis y autos de transporte especial\n\nFuente: Inventario de emisiones atmosféricas, fuentes móviles, año 2022. Área Metropolitana del Valle de Aburrá, 2023\n\nEmisiones Flota municipal: estimación de emisiones directas 108 vehículos que prestan servicio al Centro Administrativo Distrital. Inventario corporativo de emisiones 2023."
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,2075164,23962,713,56252,72354,"Datos de vehículos registrados activos en el Registro Único Nacional de Transito RUNT y secretarias de tránsito y movilidad del área metropolitana del Valle de Aburrá. Se incluye la información del tamaño de la flota registrada en la región metropolitana: Medellín y nueve municipios conurbados que constituyen una unidad funcional. \n\nVehículos privados, incluye autos y motos;\nAutobuses, incluye autobuses, buses BRT y buses de servicio especial\nVehículos de carga; incluye volquetas, camiones, tractocamiones \nTaxis; incluye taxis y autos de transporte especial\n\nFuente: Inventario de emisiones atmosféricas, fuentes móviles, año 2022. Área Metropolitana del Valle de Aburrá, 2023\n\nFlota municipal: incluye vehículos livianos, motos, y vehículos pesados. Dato 2024, fuente Secretaría de Suministros y Servicios."
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,1510,71,2,18,20,"Datos de vehículos registrados activos en el Registro Único Nacional de Transito RUNT para Medellín, Registro de Matricula de automotores a 31 de diciembre de 2023"
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,7527,1,12,0,0,"Datos de vehículos registrados activos en el Registro Único Nacional de Transito RUNT para Medellín, Registro de Matricula de automotores a 31 de diciembre de 2023"
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0,0,0,0,"Registros públicos actuales no discriminan HEV, PHEV y BEV"
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,Sin registro
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),7089930,,119400,,,Cannot disaggregate based on vehicle type. GHG emissions inventory is based on fuel consumed.
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1039138,4550.0,7440.0,30781.0,,
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,8137.0,,99,,,
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,3891.0,,9.0,,,The municipal fleet of electric vehicles (EV) data is from the Public Works Department in March 2025. 
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,4500.0,,1.0,,,
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,,0.0,,,
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),282059,34788,7374,88820,21416, 2023
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,,,1000,124,,2024
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,,,3,,,2024 
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,,,10,,,2024 
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2679548,610078,0,0,0,Data extracted from https://insights.sustainability.google/places/ChIJl7TSQk3ex0wRM0QRpZ0sb30/transportation?ty=2020&hl=fr
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,911661,4225,5085,27620.0,3146,"- Municipal Fleet vehicule: Data from SMRA (Inventaire Flotte 2025 08 01 - Catégorie A, B, C"
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,1094.0,3,400,0.0,117.0,-
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,7952.0,31.0,456,0.0,604.0,-
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,669.0,0,124,0,0.0,-
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,-
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,650442.0,17733.0,0.0,144662.0,90228.0,
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,7961.0,210.0,0.0,2863.0,1980.0,
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,70272.0,50.0,0.0,22.0,36534.0,
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,1226.0,0.0,0.0,0.0,95.0,
