disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Project area,col2_Project title,col3_Stage of project development,col4_Status of financing,col5_Identified financing model,"col6_Project description and URL link, if applicable","col7_Attach project proposal, if applicable",col8_Total cost of project (in currency specified in 1.2),"col9_Total investment cost needed, if relevant (in currency specified in 1.2)","col10_If this project is related to a previously reported adaptation or mitigation action, select the ID of the action"
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,16,Row 16,Water management,Freshwater Biodiversity in Urban Planning,Scoping,Project not funded and seeking full funding,Public finance- own budget|Grants,"The City of Tampere has already piloted nature-based solutions for water quality and habitat enhancement (e.g., retention ponds, biofilters, constructed wetlands), developed guidance under its biodiversity programme, engaged residents via citizen science and education, and initiated freshwater monitoring and indicators. Building on this, the project will strengthen municipal skills in freshwater biodiversity monitoring, data management and scenario modelling; establish a standardized indicator set and QA/QC protocol for citizen science; and design, pilot, and scale additional nature-based solutions through cross-departmental planning and procurement. As a result, the ecological status of lakes and streams will improve, ecosystem services will increase measurably, and freshwater biodiversity will be embedded in routine planning and investment decisions.",,250000,150000,
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Other: Project goes across all emission domains,The Aarhus 2030 Mission Plan - Aarhus as one of the 100 Climate Neutral and Smart Cities ,Scoping,Project partially funded and seeking additional funding,Other: ,To totallity of the initiative is linked to our Climate Action Plan 2025-2030. ,Climate City Contract.pdf,9800000000,9800000000,No linked action
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Nature-Based Solutions,KISS Life,Project structuring,Project not funded and seeking partial funding,Grants,"As part of a larger, national EU-Life project, we concentrate on nature-based solutions for stormwater management. Besides the actual stormwater infrastructure tasks for indicator testing, social acceptability and general knowledge are also included.",KISSLIFE ja hulevedet oulussa.pdf,1500000,900000,Adaptation Action 1
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Transport,Cycling superhighway network,Implementation,Project partially funded and seeking additional funding,Grants|Public finance- national government|Public finance- own budget,"Efficient maintenance of cycle lanes ensures that cycling and walking are always a noteworthy option for most trips - even in the winters. The Baana cycle lanes are wide roads paved with red concrete that lead from the city centre to the north, east and south. The goal of the Baana Cycle Network Plan is to build a Baana network that extends as far as 75 kilometers by the year 2030. The network is being constructed gradually (in projects) when funding is available. Funding has already been received from Ministry of Transport and Communications for sections that have now been completed or under construction and new funding decisions are pending for new sections to be started. Funding has also been received for improving and increasing bike parking. Currently, a total of 19 km of Baana cycle lanes have been finished. Cycling | City of Oulu (ouka.fi)","Baanaverkkosuunnitelma 2030 karttakooste.pdf,Baanaverkkosuunnitelma 2030 raportti.pdf,Baanaverkkosuunnitelma 2030 raportti.pdf",10000000,6000000,Mitigation Action 3
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Energy efficiency (including public lighting),Heat supply planning,Project structuring,Project partially funded and seeking additional funding,Public finance- national government|Public finance- own budget,Developing a plan for the energy efficient heating supply in the city requieres high investments in the future to change the heating system/supply as well as in the distribution network. ,,100000,100000,
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Other: EU-Mission 100 Climate neutral and smart cities,EU-Mission 100 Climate neutral and smart cities,Project structuring,Project not funded and seeking partial funding,Public finance- own budget|Public finance- national government|Grants,The city of Münster has successfully applied to the EU Mission 100 Climate Neutral and Smart Cities project. The project is currently being developed and the needs are structured. The membership in the network will facilitate access to national and international funding.,,,16000000000,
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Buildings,Retrofiting all residential buildings in the city,Project structuring,Project not funded and seeking partial funding,Grants|Public finance- national government|Public-private partnership|Private investment,Retrofiting all residential buildings in the city requires a high investment of more than 10 billion euro.,,,,
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,City,Europe,Iceland,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Buildings,Sustainable heat for buildings in Winkelsteeg,Pre-feasibility/impact assessment,Project not funded and seeking partial funding,Private investment|Loans from commercial banks|Public finance- own budget|Public finance- national government,Total cost of project are still unknown.,,,,
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Buildings,Sustainable heat for buildings in Dukenburg,Pre-feasibility/impact assessment,Project not funded and seeking full funding,Public finance- national government|Public finance- own budget|Private investment,The project discription can been read in https://online.ibabs.eu/ibabsapi/publicdownload.aspx?site=Nijmegen&id=9f9dfeba-ca37-49e0-8dc3-1c6eaa4d5e22The aim of the pilot project is to make the designated buildings in the Dukenburg district natural gas-free through the realization of a heat network. The heat network offers opportunitiesto provide a large part of the district with heat. The task of becoming natural gas-free offer the opportunity to tackle other problems in the district more quickly.,,120000000.0,,
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Buildings,Warmteschap TPN West,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Buildings,Trøndelag Resource Bank (for material reuse),Project feasibility,Project partially funded and seeking additional funding,Grants|Private investment|Public finance- own budget|Public-private partnership,"Trøndelag Resource Bank was kicked off in 2023, and the project has later been supported by the national funding program Klimasats for feasibility and structuring (two years 2024-2026). It aims to engage key actors involved in mass handling in construction and construction projects, including builders, contractors, consultants, research institutions and public authorities, for joint collaboration that promotes circular solutions and at the same time reduces transportation need. The municipality takes a proactive role in strengthening cross-departmental collaboration and using public procurement as a driving force for marked transition. The resource bank shall provide an important platform for innovation and cooperation in the region. The total cost for the project is not estimated, since various side projects are supposed to evolve continuously. (Project URL: https://sites.google.com/trondheim.kommune.no/troendelag-ressursbank/)",,,,Mitigation Action 11
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Waste management (including waste recycling),Carbon Capture and Storage (CCS) of emissions from waste-to-energy incineration plant,Project feasibility,Project not funded and seeking partial funding,Carbon markets|Other: Carbon credits for negative emissions (emissions with biogenic origin; carbon removal credits)|Public finance- national government|Private investment,"The company Statkraft Varme AS owns a waste-to-energy (WtE) plant in Trondheim. The WtE plant provides a key heating source in the district heating system in Trondheim, which covers about 30 % of the city's heat demand. A collaboration agreement between Statkraft and Trondheim Municipality was signed in June 2023. The goal is to collaborate on identifying a business model that makes it possible for Statkraft Varme to invest in a CCS-project that captures more than 200,000 tons of CO2e, biogenic emissions included. In addition, the project initiative received approval and funding from Pilot Cities Programme (organized by NetZeroCities for EU Cities Mission) to address political and societal readiness for CCS as a powerful climate measure. This will be conducted through Citizen Assemblies, involving various stakeholders over a period of two years (2024-2026).",,2500000000,,Mitigation Action 1
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Energy efficiency (including public lighting),Seasonal heat storage in Nyhavna development,Project feasibility,Project partially funded and seeking additional funding,Public-private partnership|Private investment|Grants,"The harbour district of Nyhavna in Trondheim is set to undergo significant redevelopment in the coming decade, with large-scale construction of private housing being a key component. Nyhavna Utvikling AS, a company established by Trondheim Municipality and the Trondheim Harbour Authority, has been tasked with leading this process.\nThe overall development plan aims to transform Nyhavna into a zero-emission neighbourhood, where the energy system will play a crucial role (https://nyhavna.no/byutvikling/helhetlig-plan-for-nyhavna/). One of the key projects in this effort is the seasonal heat storage initiative, which seeks to install 200-500 geothermal wells in the bedrock beneath the harbour area. These wells will store excess heat generated from waste incineration (via the district heating network) during the summer, to be used in the winter (https://www.energiaktuelt.no/forsker-paa-energilagring-i-trondheim.6599070-575506.html).\nInitial pilot testing, initiated by Trondheim Municipality, has shown promising results. As a result, a partnership has been established involving the district heating company Statkraft Varme, Trondheim Municipality, Nyhavna Utvikling AS, Sintef (R&D), NTNU (University), MuoviTech Norge AS (technology supplier), consulting firms, and various stakeholders in Nyhavna. The next phase of this partnership focuses on scaling up the project, with Statkraft Varme taking the lead in a pilot initiative titled \'Pilot Tests for High-Temperature Seasonal Heat Storage (HT-BTES) and Integration into the District Heating System for Enhanced Flexibility,\' supported by ENOVA for a three-year test period (https://www.enova.no/om-enova/om-organisasjonen/teknologiportefoljen/nyhavna-i-trondheim--pilottester-for-hoytemperatur-sesongvarmelager-ht-btes-og-integrering-i-fjernvarmesystemet-for-styrket-fleksibilitet/). Seven boreholes have been drilled, the thermal properties of the bedrock have been tested, and geotechnical investigations have been completed during the last 12-14 months. The next phase involves injecting excess heat into the rock to further evaluate its heat storage capacity.This is planned from spring 2026. If successful, this Enova-funded pilot will later be scaled up.",,50000000,,
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Transport,Emission-free energy station for heavy duty vehicles at Heggstadmoen,Project structuring,Project partially funded and seeking additional funding,Private investment|Public finance- own budget,"Trondheim Municipality has decided to dispose of parts of municipal land at Heggstadmoen for the establishment of an energy station for heavy vehicles. The station will only offer emission-free energy carriers and/or biogas and thus contribute to achieving climate targets for heavy transport. The plan is to announce a competition that allows charging, hydrogen and/or biogas actors to apply to establish, finance and operate the energy station for a minimum of 10 years. In order to be able to realize the energy station at Heggstadmoen, Trondheim Municipality must prepare the site and cover the cost of it. The investment is estimated to be NOK 20-30 million. Companies from the energy sector who join this energy station must cover their own establishment and operating costs, which are the additional investment needed. In addition, another energy station is being planned at Rotvoll. ",,70000000,,Mitigation Action 8
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Transport,Zero-emission urban logistics,Scoping,Project not funded and seeking partial funding,Grants|Private investment|Public-private partnership|Public finance- own budget,"While greenhouse gas (GHG) emissions from private cars in Trondheim have dropped significantly due to a massive shift to electric vehicles, cutting emissions from the segment of freight and commercial transport is much tougher. Trondheim Municipality has established a project on urban logistics. In Trondheim's Climate City Contract, the investment plan has identified a significant funding gap for this transition. Moving forward, we aim to develop feasible solutions and identify effective financial models at the same time, preferably in collaboration with NetZeroCities and its Climate City Capital Hub. A key part of this effort is to engage private investors and business communities to create new investment opportunities that align with the city's climate goals. This project also include design and consideration of new policy instruments such as zero-emission zones.",,,,
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Transport,Bergen Light Rail,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Public finance- national government,"The urban rail system is the backbone of Bergen's public transport. Since 2010, four stages of the light rail have been developed, and the zoning plans for the fifth stage were approved by the city council in May 2023. However, a new city council, elected in September 2023, scrapped the original plans for the light rail. A new plan is still being developed as of October 2024, and no cost analysis is yet available. The 2024 National Transport Plan released by the government does not include economic support for the light rail due to the uncertainty caused by the cancellation of the original plans.\n\nThe cost estimates and government funding for the fifth phase of construction are still unclear.\n\nURL: https://www.regjeringen.no/contentassets/aaee20cf5a9e468ea97fd51638c42407/no/pdfs/stm202320240014000dddpdfs.pdf",,22182000000.0,,
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Waste management (including waste recycling),CCS,Scoping,Project not funded and seeking partial funding,Public finance- own budget|Public finance- national government,"Bergen has an incineration plant for waste, which is the largest point discharge in the municipality. Carbon capture from waste incineration will cut almost all of the emissions from the plant. \n\nAs of 2024, the CO₂ tax in Norway is part of the government's broader climate strategy. The current administration plans a gradual increase in the general CO₂ tax to 2,000 NOK per tonne by 2030. The measure cost for the operation of the plant will be lower than this, calculated in NOK/tonne CO2. When it comes to the investment costs, Bergen is dependent on state funds to carry out the project.\n\nCCS can be operational in 2029 or 2030 but lacks national funding at this moment.",,1000000000.0,,
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,"Other: Municipal governance, the agricultural sector, and local engagement",Climate Neutral Uppsala Municipality and Håbo Municipality 2030,Implementation,Project not funded and seeking full funding,Grants,"The Uppsala Municipality has set an ambitious goal to achieve climate neutrality by 2030. This objective requires a reduction in emissions within the geographical boundaries of the municipality by 10-14% annually. Achieving this transition demands decisive actions, and the project aims to accelerate progress in several key areas.\n\nThe project will focus on:\n\n Enhancing municipal methodologies and tools, particularly in the integration of climate actions into the municipality's governance processes, the development of a climate investment plan, and the evaluation of intervention impacts and interdependencies.\n Facilitating the transformation of the agricultural sector, addressing both small- and large-scale food production within the municipality.\n Strengthening local community engagement through innovative methods, including initiatives within Uppsala's transition platform, the Uppsala Climate Protocol, and transforming the municipality-owned Biotopia museum into a hub for climate discourse.\n\nThe project will be implemented in collaboration with Håbo Municipality, the Swedish University of Agricultural Sciences (SLU), the Uppsala Food Council, and the Uppsala Climate Protocol, represented by organizations such as Atea, Bjerking, Krook & Tjäder, and Vattenfall.",~ KSN-2024-01903-1 Klimatneutrala Uppsala-Håbo 2030 (slutversion) 2223204.pdf,8000000,,
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Land-Use,Regional utveckling av biokol och annan kolinlagring (Regional development of bio-char and other carbon storage),Project structuring,Project not funded and seeking partial funding,Grants,"This project aims to accelerate the implementation of biochar and other carbon sequestration methods in\nSweden, with Uppsala County as a testbed. Biochar is a method for storeing carbon in soil while improving soil\nhealth, biodiversity, and climate resilience. Despite its potential, current frameworks and policies are not\nsufficient for wide implementation. The project addresses this by developing cross-sectoral strategies through\ncollaboration among researchers, municipalities, government agencies, and other stakeholders.\nFour thematic areas are explored: urban biochar applications, rural carbon storage and production, climate\naccounting and certification, and long-term knowledge building. Using methods from systems innovation and co\u0002creation, prototypes of policies and practices will be developed, tested, and refined. Results will be disseminated\nvia national networks such as Viable Cities and Biochar Sweden.\nThe project contributes to a fair climate transition where small actors can participate in carbon sequestration,\nwhile strengthening society's resilience through links to local energy systems, agriculture, and climate policy.",Application 2025-04-11.pdf,5999765,,
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Transport,A changing city: Uppsala tramway as a catalyst for sustainable mobility and vibrant urban spaces - user-driven place activation and culture lead the way\n\n,Project structuring,Project not funded and seeking full funding,Grants,"Uppsala is undergoing a major shift from a mid-sized town to a major city. A new tramway is\nbeing built to connect key areas and promote sustainable mobility. To leverage the tramway's\npotential and drive broader systemic change, Uppsala's Transition Lab has been established\n- a place-based testbed for integrated urban development and mobility innovation. The project\nis led by Uppsala Municipality, Region Uppsala, Uppsala University, and the Swedish National\nRoad and Transport Research Institute (VTI). The lab focuses on three main challenges: how\nurban growth shapes governance and collaboration, how the tramway influences placemaking\nand public space, and how the construction phase can foster sustainable habits.\nA connected research project investigates transformative learning and transition capacity\nbuilding. Cultural and creative methods are integrated to engage citizens and visualize future\nscenarios. Through co-creation and innovation projects, the lab aims to develop solutions that\nenhance sustainability, inclusion, and local identity, making Uppsala a model for future\nsustainable cities at the national and international level.\n",Ansökan geografiska omställningslabb Copy.pdf,12072075,,
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Other: Carbon Capture and Storage (CCS) facility,Carbon Capture and Storage (CCS) facility,Project structuring,Project partially funded and seeking additional funding,Public finance- own budget|Private investment|Grants,"•\tEstimated investment: €182 million (CAPEX)\n•\tLead actor: Öresundskraft, the municipally owned utility company.\n•\tStatus: Broad political support; formal investment decision scheduled for early 2025.\n•\tFinancing approach: Combination of company surpluses, international and national grants, sustainable bonds, and future revenues from negative emission allowances.\n•\tNeed for external financing: Grants and concessional finance from EU and national programmes are essential to de-risk this transformative project.\n",,,1994720000,
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Transport,Electrification of road transport,Project structuring,Project partially funded and seeking additional funding,Private investment|Loans from commercial banks|Public finance- own budget,"•\tEstimated investment: €664 million (CAPEX)\n•\tStakeholders: Private sector (50%), citizens (43%), municipality (7%).\n•\tStatus: Investments in charging infrastructure for both light and heavy vehicles are included in the city's seven-year plan. Policy dialogues are ongoing at national and local level to ensure adequate incentives.\n•\tNeed for external financing: Expansion of public charging networks and support for heavy-duty vehicle electrification will require co-funding from national government and EU instruments.\n",,,7277440000,
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Waste management (including waste recycling),Biochar production and nature-based solutions for carbon sequestration and resilience,Pre-feasibility/impact assessment,Project partially funded and seeking additional funding,Grants|Public finance- own budget,Biochar production and nature-based solutions for carbon sequestration and resilience.¨\nEstimated investment: € 6.1 million (CAPEX),,,66856000,
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Renewable energy,Climate transition from natural gas to renewable energy solutions,Scoping,Project partially funded and seeking additional funding,Public finance- own budget|Grants|Private investment,"•\tEstimated investment: €132 million (CAPEX)\n•\tLead actor: Municipally, Öresundskraft (the municipally owned utility company) and private companies.\n•\tStatus: Early-stage development; feasibility regarding location, technical design and economics under investigation. \n•\tFinancing approach: Mix of company financing, and international/national grants.\n•\tNeed for external financing: To secure project viability and scale green gas supply for industrial processes.\n",,,1446720000,
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,"Other: Integrated action, carbon sink, soil improvement, organic waste",Climate compensation with biochar,Project feasibility,Project not funded and seeking partial funding,Bonds|Grants|Public finance- own budget,"The goal of the investment is to create a carbon sink of 10,000 tons of CO2 equivalents annually in a technically and economically sustainable way through biochar production. In addition to the carbon sink, biochar as a product has many added values; best known as a soil improver, which enables improved resilience in vegetation systems in Lund municipality for internal use, or the potential for financial profit when sold. Biochar production creates an outlet for organic residual materials while generating a climate-positive heat surplus from production.",,215000000.0,55000000.0,
2025 Disclosure Cycle,779465,CDP,54529,City of Leicester,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Buildings,Council Building Decarbonisation,Project feasibility,Project not funded and seeking partial funding,Public finance- national government,"Seeking funding to decarbonise more buildings within the council's operational estate, following on from previous round of Salix funding.\n\nOptions for alternative financing models also being considered.\n\nFunding amounts yet to be confirmed.\n\nN.B. Section appears to be marked as incomplete as no document attached, however this is not applicable to the project at this time.",,0,0,No linked action
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Renewable energy,BHCC Solar Farm,Project structuring,Other: Further feasibility required,No financing model identified,"Stage 1 Feasibility was carried out in late 2019 into the potential for 2.5MW Solar farm on BHCC land. Stage 2 - £180k for detailed feasibility work and £2-£2.5m to deliver, creating a total project cost of about £2.7m.",,2700000,2700000,No linked action
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Sustainable food consumption/production,Greater Brighton: The Future of Food,Project feasibility,Project not funded and seeking partial funding,No financing model identified,"As part of the development of a Greater Brighton Food Plan we have created investment plans for city region infrastructure, business support and training in alignment with Government Food Strategy and city-region pledges on the Environment. \n\nLarger projects will require feasibility work and impact assessments before project structuring. The focus is on growth areas and supply chains. Growth opportunities have been identified for smaller projects (quick wins) that may move quickly into implementation phase, depending on local capacity and resourcing. \n\nThe Greater Brighton region has many pre-existing assets that give it the potential to become a leader in local food economy development, including: \n1) An economy and geography with food already at its heart \n2) Proximity to valuable markets \n3) World class knowledge and resources already at its disposal \n4) Local complementary assets to facilitate a local and sustainable food system \n\nBecause food is so integral to so many elements of our lives, investing in food systems approaches has a broad and long-term impact across many areas, including: \n• Tackling the climate crisis and the carbon emissions produced within our food system \n•Reducing inequality and tackling the cost-of-living crisis in the long-term, by creating resilient food systems for everyone, not just funding food banks \n• Increasing wellbeing and social outcomes through bringing people together and community development \n• Improving public health through better access to nutritious food \n• Supporting both the rural and urban economy through supporting SMEs \n• Increasing the quality of the places we live and spend time in \n• Ensuring public sector stability through income generation and local economic growth \n\nThe Greater Brighton: Future of Food systems project has a set of combined strategic objectives: 1) Systems approach to economic growth 2) Local food to local markets 3) Minimum waste, maximum efficiency 4) World-leading experts and skilled communities 5) Maximised social, health, environmental, equity and place outcomes for every £1 spent. \n\nThe following projects have been costed as part of a whole system approach: \n• Dynamic food procurement system - A dynamic food procurement system streamlines the procurement process for local food businesses by connecting them with local suppliers and providing real-time information on availability and pricing. \n• Food hub (depot) - This project is modelling a food depot, whose primary aim is to give local producers a route to local markets, increasing the accessibility of local food, and the sustainability of the food supply in the region. It is modelled as a purpose-led commercial business. \n• Training and support programmes - This modelling looks at potential training and support programmes for businesses around circular economy practices. • Community supported agriculture - A partnership between farmers and consumers in which the responsibilities, financial and other risks are shared. \n• Large scale community composting - Community composting diverts household and/or business food waste to produce compost for use locally. A systems approach means looking at all elements of the system and how they work together, tackling root causes rather than symptoms. It also recognises that all outcomes are also interlinked - we can't reduce the need for food banks without building a more environment friendly system, we can't do that without allowing local SMEs to thrive, and we can't do that without building community power and wealth, and so on. We define the goal as building a local and sustainable food system. \n\nSee pages 9 to 60 \nhttps://democracy.brighton-hove.gov.uk/documents/g11361/Public%20reports%20pack%2018th-Jul-2023%2010.00%20Greater%20Brighton%20Economic%20Board.pdf?https://democracy.brighton-hove.gov.uk/documents/s201264/Appendix%205%20-%20Greater%20Brighton%20Annual%20Report%20202324.pdfT=10 .See pages 9-11 https:",,11349984.0,2350000.0,No linked action
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Renewable energy,District Heating Opportunities,Project feasibility,Project not funded and seeking full funding,Grants,"\nWorking with key public and private partners, Sunderland City Council has received grant support from the Heat Networks Investment Project (HNIP) and the Green Heat Network Fund (GHNF) to develop and deliver a district heat network for the city centre and Riverside Sunderland areas. \n\nRound 8 of the Green Heat Network Fund (GHNF) closed on 28/06/24. In addition to the £2.22m grant secured in March 2023 for the commercialisation phase of the project, the Council received confirmation in January 2025 that its GHNF bid for £225,000 commercialisation grant (to further support the Joint Development Agreement and Project Governance Agreement approach) and £15.328 construction grant had been successful.",,49000000,41000000,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Transport,City Region Sustainable Transport Settlement (CRSTS),Implementation,Other: Project funding secured,Private investment|Public finance- national government,"\nThe £4.2bn fund is planned to be a 5-year settlement at regional level, for a series of projects a region wishes to deliver and to 'begin the process of bringing their local transport systems up to the standard of the capitals'.\n\nRegionally, £147m capital has been allocated to NECA (excluding Nexus, Highways maintenance, TCF, block funding and other priorities) for the period 2024/25 to 2026/27. \nSCC continues to work with NECA to review and develop local priority schemes submitted as part of the refresh of the North East Transport Plan. \n\nAs of August 2025, 7 Sunderland projects have been indicatively allocated CRSTF grant to deliver a range of strategic transport and active travel schemes including Silksworth A690 cycle route and SSGA to Ryhope Village cycle route. This equates to a total of £30.4m CRSTS funding for the period up to 2026/27. Progress on scheme designs is underway with business cases in development. All CRSTS1 schemes need to be contractually committed by March 2027, with construction of the first scheme -Ryhope Road strategic cycle route - due to commence in Autumn 2025. Additional CRSTS funding is also being invested in station improvements, bus shelter renewal, active travel schemes and EV infrastructure projects.",,118000000,7700000,Mitigation Action 23
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Buildings,Social Housing Decarbonisation Fund Wave 2.2,Implementation,Project partially funded and seeking additional funding,Grants,"\nWH: SHFW3 was launched in September 2024 and resulted in a successful bid led by the Tees Valley Combined Authority, with Gentoo (Sunderland's main housing provider) forming part of a 23 strong consortia, that resulted in Gentoo receiving a grant award of £6.188m. As a result of this award, more than 1300 Gentoo properties are set to benefit from further energy efficiency work that will begin in 25/26 including the installation of solar PV panels, loft insulation, low energy lighting, air source heat pumps and smart heating controls.",,552000000.0,552000000.0,
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,6,Row 6,Transport,Active Travel Fund,Implementation,Other: funding secured,Grants,"\nSunderland's proposal - Ryhope Road Cycle lane - was submitted to Transport NE on 24/02/23. The £4.8m scheme was selected as a regional priority for Active Travel Round 4 and will create 2km of segregated off-road cycleway.\nThe design review process for the scheme has now been completed by Active Travel England and clarification responses are being addressed by the Council to enable release of the £2.3m grant funding to support the project. This project is also seeking a contribution of £2.125m through the City Region Sustainable Transport Settlement (CRSTS). Subject to full funding confirmation, construction is expected to be completed by March 2026 after commencement in Autumn 2025.",,2300000,,
