disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Select a reference ID for the target,col2_Target type^,col3_Boundary of target relative to jurisdiction boundary^,col4_Gases covered by target,col5_Emissions sources covered by target^,col6_Is this target a net zero target?,col7_Are carbon credits currently used or planned to be used to achieve this target?^,col8_Percentage of target to be met using carbon credits generated from outside jurisdiction or target boundary^,"col9_Are residual emissions expected in the net zero target year? If residual emissions are expected, explain why these emissions cannot be reduced",col10_Percentage of net zero target that is expected to remain as residual emissions in the target year,col11_Year target was established,col12_Emissions covered by target in year target was established (metric tonnes CO2e),col13_Base year^,col14_Base year emissions covered by target (metric tonnes CO2e)^,col15_Emissions intensity figure in base year (metric tonnes CO2e per capita or GDP)^,col16_Target year^,col17_Estimated business as usual emissions in target year (metric tonnes CO2e)^,col18_Percentage of emissions reduction (including offsets and carbon dioxide removal)^,col19_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e) [auto-calculated]^,col20_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e)^,col21_Specify if target is considered a science-based target (SBT) and the SBT methodology it aligns to,col22_Emissions covered by target in most recent inventory (metric tonnes CO2e),col23_Alignment with Nationally Determined Contribution,col24_Select the conditional components of your emissions reduction target,col25_Target status and progress made towards target,col26_Please explain
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,N2O|CH4|CO2,All emissions sources which are included in the jurisdiction inventory,Yes,,,"Other: Residual emission mainly from transport and industry, some from agriculture.",20,2022,928100,1990,1394800,,2035,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: widely used calculation method comparable with standards, carbon neutrality target year 2035 consired fair for a developed country.",718800,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - moderate progress made,"Originally a carbon neutrality target was set for 2040, but it has been updated. However, mitigation actions have been taken from before that. Target is to reduce emissions by at least 80 % by year 2035 (compared to 1990) and the remaining emissions will be compensated (either within or outside municipality boundaries, by carbon sinks and offsets). Related to this, the city strategy includes an action for increasing carbon sinks and maintaining existing carbon storage. City of Oulu is a major land (forest) owner and new forest management plan taking into account this new priority was approved in 2023. Method for calculating the emissions is \'CO2-raportti\' widely used by Finnish cities (compiled by a consultant for all participating municipalities, currently around 110 in total). The sectors included are Other electricity consumption, Electric and geothermal heating, District heating, Oil heating, Wood heating, Industry and other fuel consumption, Traffic (road, rail and port), Agriculture, Municipal waste management, Industrial waste management. Calculations are based on actual local data whenever possible. However, for electricity the emissions are based on average national production as citizens can purchase electricity from any company they want and thus it cannot be assumed that the electricity produced within city boundaries (e.g. by CHP plants) is consumed within the city. Officically the target is unconditional. In practise, national electricity production is out of our control. Also, national (including legislative) measures are required for agriculture and road traffic to reach the target."
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|N2O|CO2,"Other: This target covers sectors icluded in the SECAP, e.g. agriculture, railways and port, electricity use by industry are exluded",No,"No, this target will not use carbon credits",,,,2016,1108700,1990,1061100,,2030,,40,636660.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): But we are reporting another target that is science-based",933100,This target is not as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - significant progress made,Target is moderate and mitigation actions have been taken for a fairly long time.
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2,All emissions sources which are included in the jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2020,1810000,1990,2618000,,2030,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: (Climate Emergency 2019; Decision of the city council in 2020 and concept study for the City of Münster for climate neutrality by 2030; Selected for the EU Mission' 100 Climate neutral and smart Cities' in 2022)",1810000,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - moderate progress made,"In the concept study \'Münster Climate Neutral 2030\', the challenges are presented transparently and openly on the one hand, and on the other hand, the scope for action of the City of Münster to achieve the target is elaborated. Based on the strategy and the room for maneuver, a consortium of experts has presented a target scenario for climate neutrality.\nIt is important to emphasize that the concept study, in presenting the reduction paths for the individual fields of action and sectors (mobility, private households, commerce, industry), shows what must happen for the goal of climate neutrality to be achieved as early as 2030. In this approach, the thinking and calculations are deliberately based on the target, and the framework conditions that influence the pursuit of this target are initially ignored. Thus, the illustrations and the chosen approach do not show the feasibility, rather the challenges and the necessary changes in all areas of social and economic life in Münster are illustrated within the framework of a scenario approach.\nBy analyzing the municipal scope for action, the special dimension of the challenge can be shown and, at the same time, the further design necessities and possibilities of the city of Münster can be clarified.\nThe concept study is based on the Master Plan 100% Climate Protection 2050, the Action Program Climate Protection 2030 and the municipal energy and CO2 balance.\nSince 1995 the City of Münster has mitigation targets: It startes 1995 with the target to reduce the greenhouse gas emissions of 25% by 2005 on the baseline of the year 1990. In 2010, the new target about 40% until 2020 was adopted . Then in 2017, the city of Münster became part if the german project \'Masterplan 100 % climate protection\'. Within the \'Masterplan 100 % climate protection\' all participating cities committed themselves to climte neutrality in the year 2050 (95% Co2 reduction). In 2020, the city council tightened the target to achieve climate neutrality by 2030 as a result of pressure from citizens.\nSince 2021 the city of Münster is one of the 100 Climate -neutral and smart Cities by 2030 of the EU-Mission and recieved 2024 the lable for the Climate City Contract developed with the whole city (citizens, institutions, university , business , etc....)."
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,City,Europe,Iceland,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 30,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2,,Do not know,,,,,2020,100,2019,2019,,,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",0,,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Expired,Its a technical issue please delete this row
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,City,Europe,Iceland,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|PFCs|HFCs|SF6|N2O|NF3|CO2,Other: Basic + S3. Constructions where added to the goals of Reykjavik,Yes,,,Other: It is planned to generate carbon credits to offset residual emissions. It will not be possible to,20,2024,614251,2019,575747,,2030,,80,115149.40,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: The target is a science based target, based on the 1.5C global warming. The GHG protocall is used to measure that status of emissions. Reykjavik is part of the C40 cities, but when the CCC contract was signed Reykjavik became one of the 112 NZC",614251,This target is more ambitious than the Nationally Determined Contribution,"Other: The target is not conditional on national legislation, but could be supported by national legislation. It is clear that CCS technology and generation of carbon credits is needed to meet target.|Target is conditional on the implementation of carbon capture and storage (CCS) technology|This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration",Underway - moderate progress made,"When Reykjavik signed CCC the climate neutrality target was set to 2030. Reykjavík City supports the goal of the Paris agreement to keep global warming within 1.5°C. Actions are revised constatly in relation to the CCC and cooperation with the NZC network. The target is to reach the minimum of 80% reduction by 2030 in the CCC for BASIC+ S3 including construction compared to 2019. \n\nCO2 equalient is the target, but the other gases are highly on the radar in Reykjavik. These gases have often more direct link to the national legislation than CO2 and are under constant monitoring by the relevant authority within the city of Reykjavik. A special focus is also on the air quality in Reykjavik with constant measurements and information on status. The pollution can often be linked to traffic, but in the recent years, the main problem has been active volcano close to Reykjavik.\n\n"
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,City,Europe,Netherlands,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,SF6|CO2|PFCs|N2O|NF3|HFCs|CH4,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2016,1337,1990,1379,,2030,,55,620.55,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): We are not committed to setting a science-based in the next 2 years",927,This target is as ambitious as the Nationally Determined Contribution,"Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - significant progress made,"We are on 58% of our goal for 2030 in 2023. The last years we are taking big steps, but we have to keep up this pace if we want to reach our target. There is an accepted climate action plan in which our actions and policys are named to reach our goal. If everything goes according to plan, we are able to reach the goal. However, some actions/policies depend on multiple factors and are very ambitious. We will keep monitoring our progress to see if we need to adapt and change our plans."
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,City,Europe,Netherlands,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,SF6|PFCs|N2O|CO2|NF3|CH4|HFCs,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,Yes,,,Other: we expect to reduce our emission by 80 to 90% compared to 1990,15,2016,1337,1990,1379,,2050,,100,0.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): We are not committed to setting a science-based in the next 2 years",927,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the development or scaling up of other innovative technologies",Underway - significant progress made,
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|CO2|N2O,All direct emissions (scope 1 or 'territorial') and indirect emissions from grid-supplied energy (scope 2) included in jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2023,594321,1990,1023000,,2050,,42,593340.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",594321,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - significant progress made,CO2 neutral by 2050
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,"Other: Waste incineration, waste landfill, wastewatertreatement and aviation in neighbouring municipalities are included.",HFCs|CH4|PFCs|N2O|SF6|CO2|NF3,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,Yes,,,Other: remaining emissions in all sectors (i.e heavy vehicles and agriculture). the municipality shall not buy climate quotas in other parts of the world to achieve the goals. will seek to enhance natural sinks + CCS,20,2018,458909,2015,495007,,2030,,56,217803.08,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",444440,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on the implementation of carbon capture and storage (CCS) technology",Underway - moderate progress made,"Reported emissiondata are according to net zero cities target. Data to be updated next year when new emissionsinventory also will be updated. Emission reductions are largely due to the implementation of electric cars, biofueluse, ban on fossil fuels for heating and zero emission solutions for waterborne public transport. Regarding a science based target: We consider out target to be science based as it is a net zero 2030 target Stavanger is one of the Net zero cities, mission cities. The target has not been evaluated against the WWF criteria, this was chosen to be allowed to select that we have a science based target, after consultation with the DP support team. The target include alle climategases, ref Missions cities requirement. There are no emissions of NF3 and PFC in Stavanger."
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|CH4|N2O,All direct emissions (scope 1 or 'territorial') and indirect emissions from grid-supplied energy (scope 2) included in jurisdiction inventory,No,"No, this target will not use carbon credits",,,,2017,514066,2009,607130,,2030,,80,121426.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",485535,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,"Between 2009 and 2023 there has been a decrease of around 23 % in territorial emissions according to inventory data from the Environment Agency. The major emissions reductions have come from the transport sector (transition to emissions free vehicles, measures to limit traffic growth and the use of biofuels) and the heating sector (a ban on the use of oil-boilers has been in place since 2020).\n\nNB! IMPORTANT EXPLANATION OF LOCAL CONTEXT FOR TARGETS: Norwegian municipalities are required to establish emissions target for all direct territorial emissions occurring within the municipal boundaries, INCLUDING emissions from district heating production, which are considered indirect (Scope 2) in the GPC. Scope 2 emissions from electricity consumption are considered so marginal in Norway (ca 10-20 g CO2/kWh including import/export) that municipalities are for the time required by National Planning Guidelines to consider these as emissions-free, and establish a separate target for energy saving instead. For the sake of completeness an emissions factor for electricity is included in the inventory under question 2.1. Even though these emissions are strictly speaking not covered by this emissions target (Target 1) we have chosen \'Target covers direct emissions (Scope 1) and indirect emissions from grid supplied energy (Scope 2) included in the jurisdiction inventory\' because district heating accounts for the majority of Scope 2 emissions in the inventory and these emissions are covered by the target. \n\nFurthermore, Scope 2 emissions ARE included in Trondheims target to acheive climate neutrality by 2030, as laid out in the city's Climate City Contract (2023).\n\nThe emissions figures reported here are those based (with some adjustments) on the Environment Agency publication of the municipal GHG inventory. This inventory is used as the basis for reporting i section 2, and is also being used at the time of reporting as the basis for the next iteration of the Municipal Climate Budget, and may be subject to change.The current Norwegian national target is a 55 % reduction in emissions by 2030. The 80 % target in Trondheim is therefore more ambitious.Further note: the city council changed the base year for the emissions targets from 1991 to 2009 in a motion passed in 2020 - https://innsyn.trondheim.kommune.no/motedag/render_behandling_pdf?behid=5009713. This was done to align targets with the available emissions data and had no significant impact on the climate ambitions of the targets."
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|CO2|N2O,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: There are currently estimated to be residual emissions of around 20 % in the target year from hard-to-abate sectors. These will be offset by the capture of biogenic emissions at the district heating plant ('negative emissions'),20,2024,,2022,541197,,2030,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",541197,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration",Underway - moderate progress made,"NB: IMPORTANT EXPLANATION OF NEW NET-ZERO TARGET: A target for climate neutrality was integrated in in the municipal master plan in 2022 The revised municipal climate plan, adopted by the city council in 2024 includes the emissions target (Target 1) of 80 % reduction in emisssions by 2030 AND a target of climate neutrality by 2030 in line with the EU Cities Mission for Climate Neutral and Smart Cities. The municipality's Climate City Contract was approved in the spring of 2025. There are currently estimated to be residual emissions of around 20 % in the target year with full implementation of the plan. These will be offset by the capture of biogenic emissions at the district heating plant (see note). The municipality is actively collabarating with the owners of the district heating plant on this project.\n\nNote on greenhouse gases: The current emissions targets encompass carbon dioxide, methane and nitrous oxide. Local data for other greenhouse gases is not available. The Environement Agency is currently looking at how estimates for these emissions might be provided, at which point integration of these gases into local emissions goals will be considered.\n\n\n\n"
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Baseline scenario target,Same - covers entire jurisdiction and nothing else,,All direct emissions (scope 1 or 'territorial') included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,671507,2009,889955,,2030,627683,85,,133493,,655863,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,"The technical basis for the new Green Strategy, which was adopted in January 2023, shows that it is possible to cut up to 85 per cent in direct emissions, which is the basis for Bergen's target. The national climate target is to cut at least 55 percent. This represents a challenge for Bergen's achievement of emission cuts. There are a number of emissions in Bergen that are mainly affected by national or international legislation, while Bergen has little or no authority over important climate measures. This means that even if the state authorities follow up on their objectives with concrete measures, this will be insufficient for Bergen to achieve its own objectives."
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Baseline scenario target,Same - covers entire jurisdiction and nothing else,,All direct emissions (scope 1 or 'territorial') included in jurisdiction inventory,Yes,,,,,2021,671507,2009.0,889955,,2050,,100,,0,,655863,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - moderate progress made,"All cuts beyond the first target in 2030 has not been documented in detail, but we know that the last 15 percentage points will not be easy to cut without offsets and CCS. "
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,N2O|CO2|NF3|CH4|HFCs|SF6|PFCs,All emissions sources which are included in the jurisdiction inventory,No,"No, this target will not use carbon credits",,,,2022,459000,2005,626000,,2030,,50,313000.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): We are not committed to setting a science-based in the next 2 years",455000,This target is as ambitious as the Nationally Determined Contribution,"Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,"We have significantly more ambitious goals that are more in line with the UN Climate Panel. Unfortunately, we are not close to achieving these goals. It is about halving our activity-based emissions every ten years with a base year of 2020, and maintaining a reduction rate of 10 percent per year. The annual reduction rate is an attempt to contribute to the global carbon budget required to limit 1.5 degrees of warming, which is unfortunately over."
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,,Base year emissions (absolute) target,,,,Do not know,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 1,Base year emissions (absolute) target,Other: The whole municipality,,All emissions sources which are included in the jurisdiction inventory,Yes,,,,,2020.0,,1990.0,390887.0,,2040.0,,100.0,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Tyndall Centre",,This target is more ambitious than the Nationally Determined Contribution,Do not know,,"Umeå must be climate neutral by 2040, ie having net zero emissions of greenhouse gases."
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 2,Base year emissions (absolute) target,"Other: Larger - covers the whole jurisdiction and adjoining areas, please explain additions",,Only transport emissions sources included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target",,,,,2019.0,,2010.0,189638.0,,2030.0,,100.0,0.00,,,,This target is as ambitious as the Nationally Determined Contribution,,,The climate impact from transportation in Umeå should decrease. It will do this because the fuels are to be fossil-free in 2030 and sustainable travel will increase.
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",4,Row 4,Target 4,Base year emissions (absolute) target,Government operations - covers only emission sources owned and operated by jurisdictions government,,"Other: All BASIC+ (GPC) emissions sources plus other indirect emissions (scope 3) included in jurisdiction inventory, please specify other indirect emissions covered","No, but it is a mid-term target towards our net zero target",,,,,2020.0,,2019.0,117000.0,,2025.0,,100.0,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Tyndall Centre",,Do not know if this target is as ambitious as the Nationally Determined Contribution,,,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",5,Row 5,Target 3,Base year intensity target based on emissions per capita,"Other: Larger - covers the whole jurisdiction and adjoining areas, please explain additions",,Other: Consumption based emissions,No,,,,,2020.0,,2018.0,11.5,11.5,2050.0,,91.0,,,,,This target is more ambitious than the Nationally Determined Contribution,Do not know,,The target for city of regarding CBE emissions is that Umeå's consumption-based climate impact is decreasing to 2 tonnes of CO₂ equivalent per person until the year 2040 and 1 tonne by 2050.
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,HFCs|SF6|PFCs|N2O|CO2|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2020,841000,2020,841000,,2030,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: Initially based on Tyndall, adapted for 12% absolute emission reduction relative to prior year including scope1 & scope2 + long distance travel. This amounts to 72% reduction by 2030.",885000,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)",Underway - moderate progress made,"The total emissions of greenhouse gases shall by the year 2030 relative to 2020 have decreased by about 72 % for scope1 & 2 including air travel, with the remainder 28% being removed by negative emission techonologies for a net emission of 0 year 2030."
