disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Primary entity collaborated with,col2_Mechanisms used to collaborate,col3_Areas collaboration focused on,"col4_Description of collaboration and any progress, if applicable",col5_Other entities collaborated with
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",18,Row 18,Government/Public body: Local government within country/area,Funding (grants)|Collaborative initiative|Multi-jurisdictional regional collaboratives,Waste|Transport (Mobility)|Emissions reduction|Landscape and jurisdictional approaches|Forestry|Ecosystem restoration|Energy|Industry|Building and Infrastructure|Food|Water|Natural environment|Adaptation|Education|Resilience,"Sunderland City Council (in partnership with German twin town Essen) secured funding from North Rhine Westphalia and Stadt Essen and provided match funding to deliver the Citizens' Low Carbon Innovation for Mutual Action in Twin CitiEs (CLIMATE) project. This brought together groups of young people from Sunderland College (students in Travel and Tourism as well as Green Ambassadors) to work with counterparts in Theodore Heuss Gymnasium. Initial work was delivered virtually, including joint online sessions of both groups of learners, a webinar and joint project work. The project culminated (June 2022) in a visit of the Sunderland group, travelling sustainably overland to reach Germany, where they then spent time working with the Essen group of young people. Their visit included meeting with the European Green Capital Agency, a reception at the Town Hall of Essen, visiting the THG school, exploring local sustainable sites in Essen including an energy exhibition, and joint student-led projects.\nThe joint working between Sunderland and Essen continues and during 2025, the twin towns have connected via the Green Capital Agency of the City of Essen (GHA - Grüne Hauptstadt Agentur), to share learning in the field of sustainable construction & energy-efficient building refurbishment. \nGHA Essen are establishing a One-Stop-Shop which offers consultancies to private residential homeowners about the improvement of energy efficiency and Sunderland are sharing their insight and experiences from the delivery of ECO4, GBIS, BREEZ and most recently the WHLG programme. Essen are particularly keen to share learning in relation to working with harder to reach communities, who tend to not engage or be informed about refurbishment and available subsidies.",NGO and associations|Local government outside of country/area|Education sector|Academia
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",19,Row 19,Civil society: NGO and associations,Knowledge or data sharing|Labour market training initiatives|Capacity development,Transport (Mobility)|Energy|Waste|Emissions reduction|Education|Building and Infrastructure|Forestry|Natural environment,"The Sunderland 60 Legacy programme was delivered by the Council in collaboration with Common Purpose, a non-profit organisation which delivers leadership programmes in over 200 cities globally. Sunderland Legacy brought together 18-25 year olds from a range of employers and education providers across the city as part of an international leadership programme to work on how to make Sunderland a cleaner, greener city for generations to come. \nThe most recent Sunderland 60 event in 2025 was the fourth edition of the Sunderland Legacy programme and saw 50 young people invited to participate in sustainable regeneration and cultural regeneration discussions and activities from organisations including sponsors Sunderland City Council, NWG Living Water, NHS South Tyneside & Sunderland Foundation Trust and the University of Sunderland. Other young people also attended from Nissan, Gentoo, SCS, Together for Children, and Esh Construction. Participants received training and sessions from Common Purpose as well as experts in related fields (sustainability & culture) locally and a keynote from the City Council's Chief Executive. They also participated in immersion visits to a range of sites with city partners, where sustainability & culture was a golden thread. The young participants were then given the opportunity to pitch their own ideas for the city's future to senior officials and received feedback on their proposals.",Real Estate|NGO and associations|Vulnerable population groups|Climate initiatives/networks|Education sector|Health Care|Academia
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",20,Row 20,Civil society: Residents/community groups,Knowledge or data sharing|Capacity development|Collaborative initiative,Water|Education|Natural environment|Landscape and jurisdictional approaches|Resilience|Adaptation|Energy|Industry|Public health|Emissions reduction|Transport (Mobility)|Social Services|Waste|Ecosystem restoration|Food|Building and Infrastructure|Inclusive climate action and/or equity|Forestry,"The Eco Fest programme grows from strength to strength each year. The festival which focuses on family centred activity has grown to include an Eco Shopping Mall in 2025. The event spans two sites, Sunderland Museum & Winter Gardens, and The Pavilion in Keel Square and has grown from 14 exhibitors to 32. \nThe museum site hosts family activities in “zones” such as transport, energy and local growing activities, and the Pavilion hosts the Eco Shopping experience which includes traders with an eco-message. \nThe zones and family activities aim to support our residents to make more sustainable life choices, by raising awareness of how small everyday changes can make a difference. \nThe Eco Shopping Experience helps to support residents change their shopping habits and buy sustainable, environmentally friendly products. \n \nThe Eco Fest builds on activity in previous years activities, which in 2023 saw 6 secondary schools and 2 primary schools design and deliver a range of carbon-cutting initiatives, from planting trees to creating orchards, reducing single-use plastics, and harvesting willow. \nEcofest 2024 involved families and children in a recycling competition, with the most creative winner having their design displayed at the museum. \nSunderland City Council is also demonstrating leadership of carbon accounting and reduction, through collaboration with Sunderland University, a member of the 2030 Shadow Board. The Council is connecting businesses within the voluntary and community sector with the university, allowing the businesses to be used as case studies within a Sustainable Business module. The university assists the business in collating its carbon data, and the students then evaluate their operations in regard to their carbon footprint and suggest possible carbon reduction strategies that could be implemented. This partnership allows local businesses, such as this year's charity participant Love Amelia, to increase their carbon reduction capabilities, whilst also benefitting student's education and increasing their knowledge of carbon footprints, reduction methods and sustainable business.",Residents/community groups|Climate initiatives/networks|NGO and associations
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,Knowledge or data sharing|Capacity development|Collaborative initiative|Nationally Determined Contribution (NDC) development/ implementation,Inclusive climate action and/or equity|Emissions reduction|Ecosystem restoration|Resilience|Adaptation|Education,"En articulación con el ministerio de ambiente y desarrollo se han hecho proyectos en el marco de la iniciativa de biodiverciudades relacionadas con siembras de árboles masivas en espacios públicos de la ciudad, talleres y capacitaciones en educación ambiental, acceso a los recursos nacionales para financiar proyectos de consultoría ambiental, jornadas académicas lideradas por el ministerio.",
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Civil society: NGO and associations,Capacity development|Nationally Determined Contribution (NDC) development/ implementation|Collaborative initiative|Requirement to develop emissions inventory|Technical assistance|Reporting of climate and/or environmental data|Requirement to develop and implement emissions reduction target|Financing (investment)|Project implementation and management|Engineering and consulting procurement,Inclusive climate action and/or equity|Emissions reduction|Social Services|Adaptation|Education|Energy|Resilience|Transport (Mobility)|Ecosystem restoration,"Se realizó el inventario de emisiones de gases de efecto invernadero en colaboración con WWF, adicionalmente se participò como miembro activo en el cluster de investigación e innovación en SbN. Así mismo se han adelantado estudios con cooperaciòn internacional y ONGS como ICLEI en donde se evaluaron las contribuciones de la naturaleza en el marco del proyecto NaBa, este estudio fue una colaboraciòn interinstitucional que involucró al instituto Alexander Bon Humbolt ",
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Government/Public body: Regional government,Multi-jurisdictional regional collaboratives|Financing (investment)|Capacity development|Knowledge or data sharing|Collaborative initiative|Reporting of climate and/or environmental data,Water|Transport (Mobility)|Ecosystem restoration|Agriculture|Inclusive climate action and/or equity|Resilience,"El municipio de Montería ha consolidado una relación estratégica de cooperación con el departamento de Córdoba para impulsar iniciativas de acción climática y desarrollo sostenible. Esta articulación se ha materializado en la formulación y ejecución conjunta de proyectos orientados a la rehabilitación y conservación de ecosistemas estratégicos, como las ciénagas y corredores ribereños, la promoción de la movilidad sostenible, la protección de los bosques protectores y la gestión integral del recurso hídrico.",
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Government/Public body: Neighboring local government,Policy and regulation development/ implementation|Collaborative initiative|Economic development|Project implementation and management|Knowledge or data sharing|Capacity development|Project delivery - Public Private Partnership,Agriculture|Ecosystem restoration|Landscape and jurisdictional approaches|Transport (Mobility)|Finance|Water|Industry|Natural environment|Energy|Education,"El municipio de Montería fortalece sus acciones frente al cambio climático mediante la colaboración con gobiernos locales vecinos en el marco de la Liga de Alcaldes del Caribe. Esta alianza facilita el intercambio de experiencias, conocimientos y buenas prácticas para la adaptación y mitigación de los impactos de la variabilidad y el cambio climático, así como la implementación de proyectos regionales de restauración de ecosistemas, movilidad sostenible y uso eficiente del recurso hídrico.\n\nEn este trabajo conjunto se destacan ideas de proyectos para la recuperación de humedales estratégicos como la Ciénaga de Mallorquín, la Ciénaga de La Virgen y, en Montería, la Ciénaga de Betancí, incorporando el ecoturismo como incentivo para la conservación y el fortalecimiento de la economía local. Gracias a esta articulación, se promueve el aumento de los servicios ecosistémicos, la mejora del microclima urbano, la reducción de la temperatura y la consolidación de una cultura ciudadana orientada a la sostenibilidad, posicionando al Caribe colombiano como un referente de cooperación regional para enfrentar la crisis climática.",
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Government/Public body: Public authority,Knowledge or data sharing|Collaborative initiative,Forestry|Adaptation|Resilience|Emissions reduction|Agriculture|Ecosystem restoration|Water,"El municipio de Montería cuenta con el acompañamiento de la Corporación Autónoma Regional de los Valles del Sinú y del San Jorge - CVS, entidad que actúa como aliado técnico en los procesos de restauración y conservación de ecosistemas. La CVS aporta asistencia técnica especializada, así como información clave sobre áreas estratégicas para intervenir, lo que permite priorizar acciones orientadas a la protección de humedales, bosques y zonas de recarga hídrica.\n\nAdemás, esta articulación facilita el monitoreo de indicadores de biodiversidad, contribuyendo al seguimiento del estado de los ecosistemas y a la toma de decisiones basadas en evidencia. La CVS también suministra información oportuna para la atención de eventos climáticos extremos, reduciendo riesgos y fortaleciendo la capacidad de respuesta local frente a inundaciones, sequías o incendios forestales, consolidando así un enfoque integral para la adaptación y la gestión sostenible del territorio.",
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Civil society: Academia,Capacity development|Knowledge or data sharing,Waste|Resilience|Adaptation|Agriculture,"El municipio de Montería trabaja de manera articulada con la academia para fortalecer los procesos de adaptación y resiliencia frente al cambio climático, incorporando investigación aplicada y generación de conocimiento en sus estrategias. Las universidades y centros de investigación aportan estudios sobre vulnerabilidad, análisis de riesgos y propuestas innovadoras que orientan la planificación y optimizan la toma de decisiones en proyectos de sostenibilidad.\n\nEsta relación también permite vincular al sector productivo mediante iniciativas conjuntas que promueven tecnologías limpias, prácticas agropecuarias sostenibles, soluciones basadas en la naturaleza y esquemas de formación para el talento local. Gracias a esta cooperación, se consolidan capacidades científicas y técnicas que impulsan la transición hacia un desarrollo resiliente, garantizando que las acciones climáticas cuenten con respaldo académico y respondan a las realidades económicas y sociales del territorio.",
2025 Disclosure Cycle,779465,CDP,54613,Alcaldia de Valdivia,City,Latin America,Chile,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: Academia,"Project delivery - Public Private Partnership|Climate action plan implementation|Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)|Project implementation and management|Policy and regulation development/ implementation|Collaborative initiative|Reporting of climate and/or environmental data|Capacity development|Nationally Determined Contribution (NDC) development/ implementation|Knowledge or data sharing",Adaptation|Resilience,"La Universidad Austral de Chile, ha aportado data fundamental para el desarrollo de políticas comunales, regionales y nacionales, a través del Centro de Humedales Río Cruces, para contar con datos climáticos calificados a través del Centro CR2, ha apoyado en la realización de proyectos y gestión de recursos",Local government within country/area|NGO and associations|Food & Beverage|Regional government|Residents/community groups|Agriculture|Local government outside of country/area|Education sector|Construction|Utilities|Neighboring local government|Waste
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: Academia,Capacity development,Landscape and jurisdictional approaches,"La Universidad Tecnológica de Pereira (UTP) ha demostrado ser un actor clave en la colaboración interinstitucional. Participa en el \'Bosque Modelo Risaralda\' desde 2012, una iniciativa que une a comunidades, entidades públicas y privadas para la gestión sostenible del paisaje regional. La alianza cuenta con el apoyo de la Gobernación de Risaralda, la Corporación Autónoma Regional de Risaralda (CARDER) y el Comité Departamental de Cafeteros.   \n\nEn el ámbito laboral, la CARDER ha colaborado con la Corporación Universitaria Santa Rosa de Cabal (UNISARC) para ofrecer cursos de Agroecología, capacitando a los ciudadanos en la conservación del capital natural. Estos programas de formación buscan crear \'empleo verde\' y contribuir a una transición laboral justa. A nivel nacional, el DNP también ofrece cursos virtuales sobre crecimiento verde para el sector público y la ciudadanía, con el fin de promover la economía de la biodiversidad, la economía circular y los empleos verdes.   \n\n",Public authority
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Business: Construction,City business partnership platform,Building and Infrastructure,"el gobierno de Pereira ha sido reconocido por su capacidad de colaboración, al ser la primera ciudad de Colombia en presentar un informe de avances de la Agenda 2030 ante las Naciones Unidas, lo que la posiciona como un referente en sostenibilidad en el sector de la construcción. Este liderazgo ha llevado a que la ciudad sea sede del primer Congreso Camacol Verde, un evento que promueve la sostenibilidad en el sector de la construcción y que articula a actores del sector privado, público y sociedad civil",Public authority
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Civil society: NGO and associations,Economic development,Finance,"La ciudad ha impulsado la marca \'Hecho en Pereira\' a través de misiones comerciales y eventos como la Cumbre de Comercio Exterior, un encuentro que fomenta la colaboración entre empresarios locales y operadores logísticos para optimizar las exportaciones. Estas interacciones han resultado en proyecciones de negocios por más de 600 mil dólares.   \n\nAdemás, la Cámara de Comercio de Pereira ha apoyado a las empresas en su transición hacia una economía circular, en colaboración con el Ministerio de Comercio, Industria y Turismo. Esta iniciativa piloto busca que 20 empresas de los sectores de construcción, plásticos y textiles adopten prácticas circulares para mejorar su competitividad y obtener beneficios económicos, ambientales y sociales.",Regional government
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Government/Public body: Public authority,Collaborative initiative,Waste,"A pesar de que el relleno sanitario de Pereira recibe desechos de 22 a 25 municipios vecinos, lo que genera problemas de gobernanza , existen ejemplos de colaboración para abordar la problemática de los residuos. La Empresa de Aseo de Pereira, una entidad oficial con capital 100% público , colabora con la comunidad a través de diversas campañas para el manejo de residuos, incluyendo \'Vigimonstruos\' para niños, \'Ecolegios\' y \'Ecobarrios\' para ciudadanos y comerciantes. El objetivo de estas iniciativas es aumentar la tasa de aprovechamiento de los residuos sólidos y cumplir con las metas establecidas en el Plan de Gestión Integral de Residuos Sólidos (PGIRS).",Neighboring local government
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Business: Utilities,City business partnership platform,Energy,"Claro. A continuación, se presenta un análisis de las colaboraciones más significativas de Pereira con gobiernos, empresas y la sociedad civil en el ámbito climático, desglosado por sector.\n\n1. Colaboración en la Transición Energética y la Movilidad\nPereira ha fomentado la colaboración con el gobierno y el sector privado en el sector energético. La Empresa de Energía de Pereira (EEP), una entidad de capital 100% público , se ha unido a la Alianza Sector Eléctrico Carbono Neutral, con el objetivo de lograr la neutralidad de carbono para 2050.   \n\nUn ejemplo destacado de colaboración con la sociedad civil es la creación de la \'Comunidad Energética Educativa\' en 29 instituciones de la ciudad, una iniciativa que busca promover el acceso a energías limpias y que podría reducir 104 toneladas de CO2e al año.",Education sector
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Government/Public body: Public authority,Policy and regulation development/ implementation,Transport (Mobility),"En cuanto a la movilidad, el Instituto de Movilidad de Pereira ha desarrollado un plan estratégico que busca integrar la participación ciudadana y las alianzas público-privadas para crear un sistema de transporte eficiente y sostenible. La ciudad ha ampliado la infraestructura para vehículos eléctricos con nuevas estaciones de carga, lo que demuestra la colaboración con empresas privadas para promover la movilidad limpia. Además, el Plan de Desarrollo de Dosquebradas, un municipio vecino, plantea la posibilidad de un tren-tranvía o tren de cercanías que utilizaría una antigua vía férrea para conectar a los municipios del Eje Cafetero, lo que indica un potencial de colaboración inter-municipal en proyectos de transporte masivo sostenible.",Neighboring local government
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,"Reporting of climate and/or environmental data|Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)|Multi-jurisdictional regional collaboratives|Climate action plan implementation|Policy and regulation development/ implementation|Knowledge or data sharing|Capacity development|Nationally Determined Contribution (NDC) development/ implementation",Waste|Adaptation|Ecosystem restoration,"El Gobierno Nacional a través de los Ministerios del Ambiente y Energía contribuyeron con información y participaron en los grupos sectoriales para la elaboración del Plan de Acción Climático de Cuenca ( documento final en proceso de revisión) el mismo que está articulado a la Estrategia Nacional de Cambio Climático, al Plan Nacional de Adaptación y al Plan Nacional de Mitigación. \n\nEl Ministerio del Ambiente ha contribuido con el fortalecimiento de capacidades para el reporte de la NDC a nivel nacional y los reportes a los diferentes convenios internacionales. \n\nEl Gobierno Nacional emite la normativa para el manejo de residuos, en consecuencia se han fortalecido capacidades institucionales para el reporte y manejo en el Sistema Nacional de Información Municipal.\n\nSe coordina además con el Ministerio del Ambiente sobre la definición y políticas para la creación de Áreas de Conservación y Uso Sostenible a nivel de la jurisdicción cantonal, algunas de ellas formarán parte del Sistema Nacional de Áreas Protegidas.\n\n\nEl Gobierno Nacional emite la normativa para la delegación del manejo de desechos, y se reporta en el Sistema Nacional de Información Municipal.\n\n",National government|Regional government
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Civil society: NGO and associations,"Capacity development|Reporting of climate and/or environmental data|Climate action plan implementation|Project implementation and management|Requirement to develop and implement emissions reduction target|Cleaner production industry support|Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)",Inclusive climate action and/or equity|Ecosystem restoration|Adaptation|Emissions reduction,"La ONG Naturaleza y Cultura trabaja junto a pueblos indígenas y comunidades locales para mitigar el cambio climático, además integra su conocimiento y prácticas sostenibles en la gestión de áreas protegidas, esta ONG en coordinación con el GAD Municipal ha contribuido con la definición de las Areas de Conservación y Uso Sostenible, ha apoyado en los talleres con las comunidades involucradas, y elaborado la ordenanza correspondiente.\n\nPor otro lado, WWF en Ecuador ha sido un actor importante en la acción climática y la sostenibilidad de Cuenca, habiendo financiado el inventario de emisiones de gases de efecto invernadero GEI, se ha contado con el asesoramiento para el establecimiento de metas de mitigación e identificación de una cartera de proyectos para obtención de financiamiento climático, además se han fortalecido las capacidades institucionales para asumir la continuidad de los inventarios y metas.\n\nGIZ, Corporación alemana ha tenido un rol fundamental, ha apoyado en diferentes estudios, como el Plan de Acción Climático de Cuenca (documento final en proceso de revisión), Estudio de Riesgo climático y otros estudios puntuales como el Manual de Quebradas, entre otros. \nCELEC, Elecaustro, Empresa eléctrica son parte de los grupos sectoriales encargados del aporte de información y monitoreo del Plan de Acción Climático.",National government|Regional government
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Civil society: Academia,Knowledge or data sharing|Capacity development|Reporting of climate and/or environmental data|Project implementation and management,Water|Energy,"Las Universidades permanentemente generan información relacionada con el cambio climático, riesgos climaticos, e identificación de medidas de mitigación y adaptación, y en forma particular colaboró con la información, asistencia a talleres para la elaboración del Plan de Acción Climático ( documento final en proceso de revisión). \n\nLa academia (Universidad del Azuay) realizó el estudio de energías alternativas e implementó paneles fotovoltaicos en el Jardín Botánico de Cuenca.\n\nLa Universidad se encuentra elaborando proyectos para reducir el consumo de agua e implementar mecanismos para sensibilizar a la comunidad sobre la importancia del cuidado de las fuentes hídricas.",Academia
2025 Disclosure Cycle,779465,CDP,54638,Prefeitura de Louveira,City,Latin America,Brazil,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: NGO and associations,Collaborative initiative,Ecosystem restoration|Resilience|Adaptation,"Foi firmado o Termo de Cooperação com a Mata Ciliar (ONG instalada no Município de Jundiaí), com o objetivo de resgate e reabilitação da fauna silvestre do Município.",Neighboring local government
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: NGO and associations,Knowledge or data sharing|Collaborative initiative,Water|Adaptation|Resilience,"A colaboração se dá através da doação de mudas do viveiro municipal para a comunidade e para Organizações da Sociedade Civil (OSCs), que se tornam parceiras no plantio e no monitoramento social do desenvolvimento das árvores. A ação é um pilar do Plano de Arborização Urbana, que possui a meta de plantar 200 mil mudas em 4 anos. O foco é adensar a arborização em áreas urbanas para melhoria do conforto térmico (adaptação) e recuperar áreas degradadas, especialmente nascentes e matas ciliares, aumentando a resiliência hídrica da cidade.",Residents/community groups|NGO and associations
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Civil society: NGO and associations,Collaborative initiative,Waste|Social Services|Emissions reduction,"A parceria com as Associações e Cooperativas de Catadores de Materiais Recicláveis é a base da política de economia circular. A Prefeitura realiza a instalação e manutenção dos Pontos de Entrega Voluntária (PEVs) e a logística de coleta, enquanto as cooperativas são responsáveis pela triagem, beneficiamento e comercialização dos materiais. Como progresso, essa colaboração já resultou no fortalecimento de quatro cooperativas, gerando trabalho e renda para cerca de 67 pessoas, totalizando 14 famílias. O programa está em contínua expansão, com o objetivo de aumentar a taxa de reciclagem e a inclusão socioeconômica de mais catadores.",NGO and associations|Vulnerable population groups|Residents/community groups|Waste
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Government/Public body: Regional government,Project delivery - Public Private Partnership,Emissions reduction|Energy,"Através do Programa Palmas Solar, a Prefeitura criou incentivos fiscais (redução de IPTU, ITBI, etc.) para estimular a instalação de sistemas de energia fotovoltaica por empresas, comércios e residências. Essa política fomentou um novo mercado local de energia limpa, resultando na criação de empresas especializadas e empregos verdes. A colaboração é fundamental: o município cria a política de incentivo, e o setor privado realiza o investimento, a instalação e a manutenção, acelerando a transição energética da cidade e a redução de emissões de GEE.",Energy|Real Estate
2025 Disclosure Cycle,779465,CDP,54667,Prefeitura Municipal de Contagem,City,Latin America,Brazil,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Regional government,Reporting of climate and/or environmental data,Inclusive climate action and/or equity|Transport (Mobility)|Ecosystem restoration|Food|Adaptation|Education|Building and Infrastructure|Public health|Water|Industry|Energy|Social Services|Emissions reduction|Waste|Natural environment|Finance|Agriculture|Resilience,"A cidade trabalha em conjunto com o ICLEI (Governos Locais pela Sustentabilidade) para desenvolver um plano de ação climática, que inclui um inventário de gases de efeito estufa, análise de riscos e vulnerabilidade climática e ações de mitigação; \nColaborações com organizações não governamentais e instituições acadêmicas para implementar soluções de infraestrutura verde, como áreas verdes e sistemas de drenagem sustentável;\nIniciativas de sensibilização e educação ambiental que envolvem a comunidade em ações climáticas, promovendo a participação da população em projetos sustentáveis.\n",Food & Beverage|Utilities|Academia|Waste|Education sector|Climate initiatives/networks|Construction|Information Technology|NGO and associations|Regional government|Real Estate|Public authority|Communication Services|Energy|Industry trade group|Health Care|Agriculture|Industrials|Transport|Trade/labor unions|National government|Faith-based organizations|Vulnerable population groups|Neighboring local government|Financials|Materials|Residents/community groups|Local government within country/area
2025 Disclosure Cycle,779465,CDP,54699,Prefeitura Municipal de Barueri,City,Latin America,Brazil,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Regional government,Multi-jurisdictional regional collaboratives|Capacity development|Collaborative initiative,Resilience|Adaptation|Emissions reduction,"Barueri is part of the intermetropolitan consortium of the western region (CIOESTE) which in 2024 completed the EUROCLIMA project, financed by a French Agency, which identified flood areas and proposed solutions to minimize local impacts resulting from the climate crisis. In Barueri, an Energy Recovery Plant is being built in partnership with Orizon, which will burn waste in a controlled manner to generate energy. This is an alternative way to generate energy and minimize disposal in landfills, which emit GHGs.",Energy|Waste
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,City,Japan,Japan,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Business: Energy,Project implementation and management,Energy|Waste|Natural environment|Emissions reduction,"民間23事業所とともに「地域ぐるみ環境ISO研究会」を1997年に立ち上げ、日ごろの事業活動から従業員の生活スタイルに至るまでを訴求するよう、活動を行っている。具体的には環境一斉行動週間を年2回実施し、1回あたり4,400名程度（73事業所）の参加のもと、ノーマイカーの推進や家庭での省エネ活動を実施している。また、地域独自の環境マネジメントシステムを構築し、民間事業者相互で監査できる体制を取り入れている。",Neighboring local government|Food & Beverage|Regional government|Financials|Industrials
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,City,Japan,Japan,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Civil society: Other: 地域,Knowledge or data sharing,Energy|Social Services|Education|Natural environment|Emissions reduction,地域が主体となり地域課題を抽出したのち、その解決手段の1つとして太陽光発電設備等の再生可能エネルギー設備を地域内に存する公共施設等の屋根を活用し、民間事業所協力のもと設置し、その売電収益の一部を課題解決の資金とする取組を進めている。飯田市は公共施設等の目的外使用許可を行うことや、地域が実施しようとしている事業の公共性、事業継続性を評価するために専門の委員会を設置し、公共サービス基本法に基づく公共事業として実施可と判断された事業については、市長が「地域公共再生可能エネルギー活用事業」として認定し告示することとしている。,Residents/community groups|Financials|Energy
