disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Description of data collected,col2_Geographic scope covered by the monitoring,col3_Frequency of data collection,col4_Do the results of forest monitoring inform your region's overall strategy to managing forests?,col5_Please explain
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Atreves del Programa de Ordenamiento Ecológico Regional del Estado de Querétaro (POEREQ), se mantiene una revisión constante y medición.\n\nEs un instrumento de política ambiental consistente en la planeación y aplicación de medidas, cuyo objeto es regular, inducir y evaluar el uso del suelo y programar el manejo de los recursos naturales y de las actividades productivas, con el fin de lograr la protección del medio ambiente, así como la preservación y el aprovechamiento sustentable de los recursos naturales, a partir del análisis de las tendencias de deterioro, su posible recuperación y las potencialidades de aprovechamiento de los mismos (Art. 66 del CAEQ)\nEn este sentido, la Ley General del Equilibrio Ecológico y la Protección al Ambiente (LGEEPA), establece en su Reglamento en Materia de Ordenamiento Ecológico (Art. 13) que la Bitácora Ambiental tiene cuatro objetivos:\n\nEs el instrumento histórico de libre acceso a todo el público donde se proporciona e integra la información actualizada sobre el proceso de ordenamiento ecológico, con lo que se promueve la transparencia y la rendición de cuentas.\nEs un instrumento para la evaluación del cumplimiento de los acuerdos asumidos en el proceso de ordenamiento ecológico; y el cumplimiento y la efectividad de los lineamientos y estrategias ecológicas;\nFomentar el acceso de cualquier persona a la información relativa al proceso de ordenamiento ecológico; y\nPromover la participación social corresponsable en la vigilancia de los procesos de ordenamiento ecológico.\nDe manera general tiene el objetivo de difundir permanentemente del Programa de Ordenamiento Ecológico Regional del Estado de Querétaro (POEREQ), de modo que las autoridades locales; estatales; municipales y federales; así como los inversionistas y la población en general tienen la facilidad de consultar la regionalización del territorio (Unidades de Gestión Ambiental), las aptitudes, zonas de conservación protección y restauración, zonas de riesgo y zonas urbanas. Por lo tanto, cualquier persona tendrá la información suficiente para tomar decisiones encaminadas al uso eficiente el uso de los recursos y la ubicación adecuada de proyectos estratégicos en el Estado.",Entire natural forest area within the region,Six monthly or more frequently,Yes,"Atreves del Programa de Ordenamiento Ecológico Regional del Estado de Querétaro (POEREQ), se mantiene una revisión constante y medición.\n\nEs un instrumento de política ambiental consistente en la planeación y aplicación de medidas, cuyo objeto es regular, inducir y evaluar el uso del suelo y programar el manejo de los recursos naturales y de las actividades productivas, con el fin de lograr la protección del medio ambiente, así como la preservación y el aprovechamiento sustentable de los recursos naturales, a partir del análisis de las tendencias de deterioro, su posible recuperación y las potencialidades de aprovechamiento de los mismos (Art. 66 del CAEQ)\nEn este sentido, la Ley General del Equilibrio Ecológico y la Protección al Ambiente (LGEEPA), establece en su Reglamento en Materia de Ordenamiento Ecológico (Art. 13) que la Bitácora Ambiental tiene cuatro objetivos:\n\nEs el instrumento histórico de libre acceso a todo el público donde se proporciona e integra la información actualizada sobre el proceso de ordenamiento ecológico, con lo que se promueve la transparencia y la rendición de cuentas.\nEs un instrumento para la evaluación del cumplimiento de los acuerdos asumidos en el proceso de ordenamiento ecológico; y el cumplimiento y la efectividad de los lineamientos y estrategias ecológicas;\nFomentar el acceso de cualquier persona a la información relativa al proceso de ordenamiento ecológico; y\nPromover la participación social corresponsable en la vigilancia de los procesos de ordenamiento ecológico.\nDe manera general tiene el objetivo de difundir permanentemente del Programa de Ordenamiento Ecológico Regional del Estado de Querétaro (POEREQ), de modo que las autoridades locales; estatales; municipales y federales; así como los inversionistas y la población en general tienen la facilidad de consultar la regionalización del territorio (Unidades de Gestión Ambiental), las aptitudes, zonas de conservación protección y restauración, zonas de riesgo y zonas urbanas. Por lo tanto, cualquier persona tendrá la información suficiente para tomar decisiones encaminadas al uso eficiente el uso de los recursos y la ubicación adecuada de proyectos estratégicos en el Estado."
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Dados de cobertura vegetal, tipos de uso e ocupação do solo e desmatamento.",Entire natural forest area within the region,Annually,No,"Plataforma de monitoramento do MapBiomas, disponível em: https://plataforma.brasil.mapbiomas.org/?activeBaseMap=9&layersOpacity=70&activeModule=coverage&activeModuleContent=coverage%3Acoverage_main&activeYear=2021&mapPosition=-15.072124%2C-51.459961%2C4&timelineLimitsRange=1985%2C2021&baseParams[territoryType]=1&baseParams[territories]=1%3BBrasil%3B1%3BPa%C3%ADs%3B-33.751177993999946%3B-73.9904499689999%3B5.271841077000019%3B-28.847639913999956&baseParams[activeClassesLevelsListItems]=1%2C7%2C8%2C9%2C10%2C2%2C11%2C12%2C13%2C14%2C15%2C16%2C3%2C17%2C18%2C27%2C37%2C38%2C39%2C40%2C41%2C28%2C42%2C43%2C44%2C19%2C20%2C4%2C21%2C22%2C23%2C24%2C5%2C25%2C26%2C6"
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,MAPBiomas Alerta - Desmatamento,Areas of high deforestation/forest degradation risk,Annually,Do not know,Os dados podem ser refinados para o estado do RN através do link: https://plataforma.alerta.mapbiomas.org/mapa
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,4,Row 4,Plano de Monitoramento Ambiental para o RN,Entire natural forest area within the region,Six monthly or more frequently,Yes,"Realizar o mapeamento da cobertura florestal do Estado, com utilização integrada do sensoriamento remoto como fonte de informação a ser empregada em um sistema de processamento digital de imagens e de sistema de informação geográfica, que através da interação entre a base cartográfica, as informações pretéritas e aquelas atualizadas, permitirão a obtenção de respostas rápidas e precisas da situação da cobertura florestal, identificando desmatamentos e delimitando as áreas conservadas, assim como auxiliar o zoneamento do uso do solo. As informações a serem geradas pelo monitoramento da cobertura florestal serão de grande importância para o planejamento e a operacionalização destas ações no âmbito das microbacias, especialmente aquelas voltadas a proteção dos remanescentes, o controle e a fiscalização florestal.Disponível em: https://drive.google.com/file/d/19XvHnuJugTqpWb66UAIFtZDiFQ17D93z/view"
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Dinámica de cambio de uso del suelo y vegetación\n,Entire natural forest area within the region,Other: ,Yes,"Se utiliza para conocer y apoyar los espacios naturales que requieren ser restaurados, asi como para la protección de las áreas\n"
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Identify changes in land cover jurisdictional area.,Area legally defined as forest,Annually,Yes,"Monitoring activities for the natural forest area are carried out by the local government every five years together with the issuance of the provincial forestry strategic plan. However, the data identified are only changes in land cover in the jurisdictional area and are supported by a study of data on the drivers of deforestation and forest degradation. In addition, to MoEF regulation on IFNET 2030 plan, MoEF would be monitored the landscape condition and land cover forest in all national areas."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,Identify changes in land cover jurisdictional area.,Area legally defined as forest,Other: Every five years,Yes,"Monitoring activities for the natural forest area are carried out by the local government every five years together with the issuance of the provincial forestry strategic plan. However, the data identified are only changes in land cover in the jurisdictional area and are supported by a study of data on the drivers of deforestation and forest degradation. In addition, to MoEF regulation on IFNET 2030 plan, MoEF would be monitored the landscape condition and land cover forest in all national areas."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Forest condition monitoring in Indonesia is coordinated by the central government, specifically through the Ministry of Environment and Forestry (MoEF) under the Directorate General of Forestry Planning and Environmental Management (PKTL). In line with Decree No. SK.333/MENLHK/SETJEN/SET.1/8/2020 on the Ministry's Key Performance Indicators for 2020-2024, the MoEF operates SIMONTANA (the National Forest Monitoring System). This system is continuously enhanced with advances in science and technology, and it covers not only designated forest areas but the entire Indonesian territory. Monitoring and annual data updates are carried out to secure and maintain the nation's forest estate. The outputs of this monitoring serve as a common reference for multiple stakeholders, including local governments, the Geospatial Information Agency, the National Land Agency, communities, and forest managers, ensuring consistency and shared understanding in forest governance.",Areas of high deforestation/forest degradation risk,Annually,Yes,"Monitoring and evaluation are central to achieving Indonesia's FoLU Net Sink 2030 target. Regular assessments of forest cover, land use change, and emission levels provide the basis for tracking progress, identifying gaps, and ensuring corrective actions. This process supports transparency, accountability, and alignment between national commitments and provincial implementation."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"The data collected under the FoLU Net Sink 2030 Sub-National strategy in Papua Province includes comprehensive carbon and non-carbon information. Carbon data encompass all major carbon pools: aboveground biomass (trunks, branches, twigs, leaves), belowground biomass (roots), deadwood, litter, and soil carbon, including peatlands and decomposed biomass (necromass and litter). Non-carbon data include information on safeguards implementation, co-benefits, and drivers of deforestation and forest/peatland degradation.\n\nThese data are collected from multiple levels, including provincial, district/city, village, and private concession areas (HCVFs, HTI, HGU), and are designed to measure the effectiveness of REDD+ and FoLU mitigation actions. The data also document project performance, compliance with safeguards, and the results of mitigation initiatives, ensuring accountability and transparency in the province's forest and land management efforts.",Entire natural forest area within the region,Six monthly or more frequently,Yes,"The monitoring and evaluation (M&E) system in Papua Province is designed as a comprehensive framework to assess the effectiveness, performance, and compliance of REDD+ and FOLU mitigation activities. The system covers the entire natural forest area of the province, integrating both carbon and non-carbon data, including carbon stocks across various ecosystems, safeguards implementation, co-benefits, and drivers of deforestation and degradation. Data are collected through provincial and sub-national MRV units, reported on an annual routine or ad-hoc basis depending on changing conditions, and consolidated in the SRN-PPI for accountability, transparency, and strategic forest management planning. This approach ensures that all mitigation and conservation actions at the site level can be measured, validated, and used to adapt sustainable forest management strategies across Papua (Source: Papua FoLU Net Sink 2030)."
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Land cover based on LANDSAT imagery.,Areas of high deforestation/forest degradation risk,"Other: Every year, director general of planning conducts monitoring",Yes,"Every year, the Director General of Planning, Forestry and Environmental Management of the Ministry of Environment and Forestry conducts a search for changes in land cover based on LANDSAT imagery."
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Unidade de Geoprocessamento (UNIGEO),Entire natural forest area within the region,Six monthly or more frequently,Do not know,"O objetivo ampliar a capacidade institucional do Estado no enfrentamento ao desmatamento, às queimadas ilegais e à degradação ambiental. A UNIGEO desenvolveu sistemas automatizados de alerta de desmatamento e queimadas, com base em sensoriamento remoto (NDVI e satélite GOES), inteligência artificial e algoritmos de vetorização automática, permitindo a detecção precoce e precisa de alterações na cobertura vegetal. Esses sistemas realizam cruzamentos com bases do Cadastro Ambiental Rural (CAR), Áreas de Preservação Permanente (APP), Unidades de Conservação (UC) e outras áreas sensíveis, gerando alertas com robustez técnica para subsidiar ações de fiscalização e responsabilização. "
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"The Aceh REDD + Agency was formed with special institutions, then for the Monitoring, Reporting, and Verification (MRV) function will be formed through existing institutions, namely functions attached to Bappeda, Dishutbun, and Bapedal Aceh.The MRV Aceh will also adopt reflective measures financial implementation (finance), as well as social and environmental safeguards (social and environmental safeguards) with a gender perspective. Special for environmental safeguards and for the purposes of making a basis for the assessment for the co-benefit program of REDD +, the MRV system will contains indicators related to biodiversity.",Area legally defined as forest,Annually,Yes,"Other related sources, please visit: https://docplayer.info/30460306-Strategi-dan-rencana-aksi-provinsi-srap-redd-aceh.html"
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Ministry of Forestry and Environment has nasional forest monitoring system which updates Indonesia's forest cover every year. The Directorate of Forest Resources Inventory and Monitoring produces national land cover maps using visual interpretation methods. Object delineation is performed by digitizing on-screen at a scale of 1:50,000, however, land cover data is presented at a scale of 1:250,000. Land cover data mapping activities use the smallest mapping unit or Minimum Mapping Unit (MMU) of 6.25 ha (0.5x0.5 cm). Interpretation activities are guided by the elements/keys of interpretation and classification of 23 land cover classes. The elements/keys of interpretation used as a reference in land cover interpretation include hue/color, texture, pattern, size, shape, shade, site, and association (Lillesand et al., 2015).\n\nsource:\nnfms.menlhk.go.id/metode",Area legally defined as forest,Annually,Yes,https://nfms.menlhk.go.id/
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Monitoring of forest conditions is carried out by the national government. Through the MoEF for the Director General of PKTL or the Directorate General of Forestry Planning and Environmental Management in SK.333/MENLHK/SETJEN/SET.1 /8/2020 concerning Key Performance Indicators of the Ministry of Environment and Forestry for 2020-2024, the MoEF already has SIMONTANA (National Forest Monitoring System) which continues to be developed according to science and technology progress. SIMONTANA is not limited to monitoring the forests in the forest area, but also monitoring all of Indonesia's landmass. This monitoring is done centrally. Monitoring and updating of data and information on forest areas every year is carried out in order to protect and maintain the designated forest area. The results of monitoring and updating of forest area data and information will be used to equalize perceptions with other agencies or other parties related or interested in forest areas, including the Regional Government, the Geospatial Information Agency, the National Land Agency, communities and forest area managers.",Areas of high deforestation/forest degradation risk,Annually,Yes,"In terms of monitoring and evaluation, the national government through the MoEF is responsible for the performance of reducing the rate of deforestation every year during the 2020-2024 period until finally it is hoped that the rate of deforestation will be zero deforestation until 2030."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"In accordance with the design of the National REDD + Strategy, the MRV (Measurement, Reporting, Verification) system in Central Kalimantan consists of (i) Carbon MRV and (ii) Non-Carbon MRV. MRV Carbon is a series of activities that measures, reports and verifies emission reduction from dry land and peatlands. Meanwhile, Non-Carbon MRV is a series of activities that measures, reports and carries out verification of the implementation of safety signs, co-benefits, and drivers of deforestation and forest and peatland degradation. The implementation of the MRV system for REDD+ activities in Central Kalimantan Province will follow the principles set by the IPCC, namely (i) consistency); (ii) transparency); (iii) comparability; (iv) completeness, and (v) accuracy.Measurement and monitoring of changes in carbon stocks originating from dry land and peatlands will be carried out periodically. Mapping and updating the land cover information and changes in all areas of Central Kalimantan Province will be carried out every 2 years using Landsat satellite images or SPOT 5 images with higher resolution (according to LAPAN's ability to provide national satellite image coverage) - the period of 1990 -2012 is used as the reference level - and 5 carbon pools, namely (i) above ground biomass; (ii) below ground biomass; (iii) dead wood; (iv) litter; and (v) soil carbon will be applied through monitoring/measurement in the field. The land cover classes used will refer to the national standard (adjusted to IPCC 2006), which is 23 land cover classes.To calculate emissions from peatlands, in general, the variables measured include peat depth, peat maturity level, and water level. The assessment of the dynamics of emissions is carried out by deriving from map of the peatlands distribution. This map is then overlaid with deforestation using high-resolution satellite imagery; while the hydrological status of peat, especially in relation to the presence or absence of canalization and inundation periodically can be recognized through monitoring using SAR-based satellite imagery calibrated/confirmed by checking in the field. For more detailed information regarding the MRV system which has been developed in the official document (STRADA REDD+), please see pages 84-105, and the detailed information regarding the action plans taken, please see pages 78-80.",Area legally defined as forest,Annually,Yes,"For this session, in regulating the future use and treatment of forests, the MRV system provides supporting information in implementing sustainable forest management. For example, in the REDD+ strategy document which is used as a guideline in carrying out regional action plans for reducing emissions in jurisdictions, especially in the forest area of Central Kalimantan."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Desde 2022, la Comisión de Recursos Naturales y Desarrollo Rural de la Secretaría del Medio Ambiente de la Ciudad de México, asume las funciones de vigilancia ambiental, implementando una estrategia de vigilancia por cuadrantes, mediante la cual dividió todo el territorio del suelo de conservación en 1,082 cuadrantes de 100 hectáreas cada uno. Esta estrategia ha hecho más eficiente la atención, prevención y combate de delitos ambientales, tales como el vertido de escombros, la caza furtiva y otros delitos más complejos como la tala ilegal o el cambio de uso de suelo.",Entire natural forest area within the region,Six monthly or more frequently,Yes,"Como parte de las acciones para prevenir, atender y controlar actividades ilegales como la tala, tráfico de especies, cambio de uso de suelo, invasiones y cualquier otra que afecte la integridad de las áreas naturales protegidas de la Ciudad de México, la Comisión de Recursos Naturales y Desarrollo Rural implementa estrategias a favor la conservación de los ecosistemas y la biodiversidad de la capital de país.\n\nPor ello, con la finalidad de erradicar una de las principales actividades ilícitas que amenazan la biodiversidad y riqueza natural de los bosques, se diseñó en trabajo coordinado con la Guardia Nacional, la Dirección General de Inteligencia Policial, la Secretaría del Medio Ambiente y la Secretaría de la Defensa Nacional, un recorrido de inspección y vigilancia forestal."
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Monitoring and Surveillance of Forest Insects,Entire natural forest area within the region,Annually,Yes,"Monitoring and surveillance of forest insects in Lithuania is crucial for maintaining forest health and biodiversity. The country's forests are susceptible to various insect pests that can lead to significant ecological and economic impacts. Here's an overview of the systems and methodologies in place for monitoring forest insects in Lithuania.\n\nThis year Klaipeda region and the whole Lithuania informs about natural disaster due to a bark beetle typographer, which is spreading out of control"
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"The national forest inventory uses the method of continuous, selective, combined, multi-level accounting, integrating it with geographic information systems (GIS) technologies.The European Forest Health Monitoring Program is implemented at two levels. The first level is called regional forest health monitoring due to its regional nature. The purpose of the regional monitoring of forest health is to obtain operational information about changes in the state of forests in individual countries in terms of territory and time, in order to identify the effects of long-range transport of air pollutants and other stressful factors on forests. Data is provided for about 200,000 trees from nearly 16,000 barrels.The main evaluated indicators of forest health monitoring (1st level):- Tree type- Tree condition, efficiency- Wood craft class- The perimeter of the tree trunk at a height of 1, 3 meters from the root neck- The diameter of the tree trunk at a height of 1, 3 meters from the root neck- Treetop condition- Amount of dry branches- Degree of compatibility (spruce and pine)- Age of needles (pine)- Canopy damage type- Defoliation of the upper third of the canopy- Defoliation of the entire canopy- Dechromation of the entire canopy- Location of lesions in the tree- Symptoms of lesions- Names of the lesions- Scientific names of insects and diseases that caused damage- Intensity of tree damageThere are more indicators in 2nd level monitoring. Source: https://amvmt.lrv.lt/lt/veiklos-sritys/nacionaline-misku-inventorizacija/misku-bukles-stebesena/rodikliai",Other: By selection according to the established scheme,Annually,Yes,"Objectives of forest health monitoring:- Close cooperation of the members of the \'ICP-Forests\' program in the fields of modeling and mapping, calculating critical values and exceeding them in forests, as well as improving cooperation with other environmental monitoring programs;- Direct monitoring activities to the solution of relevant national, European and global forest policy issues, such as the impact of climate change on forests, sustainable forest use and biodiversity conservation;- To provide relevant information about the state of forests to politicians and the general public.Decisions in the political level and also in the forestry sector are made according to the gained information and monitoring results."
