disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Further information,col2_Further attachments
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Orientation map of Northumberland National Park (the jurisdiction) in relation to the County of Northumberland and the United Kingdom.\n\nLand use emissions baselines and targets\nfor UK National Parks. A report by Small World Consulting Ltd.\n\nSuggestions for future template of reporting.,"Map of the National Park.docx,Suggestions for future reporting to CDP.docx,UK National Parks Net Zero Synthesis Report 240725.pdf"
2025 Disclosure Cycle,779465,CDP,2012312,Yorkshire Dales National Park Authority,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information.,
2025 Disclosure Cycle,779465,CDP,2023043,Nasushiobara City,City,Japan,Japan,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,なし,
2025 Disclosure Cycle,779465,CDP,2024876,Town of Lügde,City,Europe,Germany,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Lügde, a small but forward-looking city in the Kreis Lippe, has made significant strides in both climate protection (mitigation) and climate change adaptation, embracing a holistic approach across multiple sectors. Central to its efforts is a strong political and administrative commitment to decarbonization, energy efficiency, and sustainability, demonstrated by concrete projects, institutional structures, and forward-looking strategies.\n\nInstitutional and Strategic Foundations\n\nTo coordinate its climate actions, Lügde established a climate-protection manager (Klimaschutzmanager) position on 1 June 2021, funded partly through the German Federal Government's National Climate Initiative. \nluegde.de\n This role is tasked with implementing the city's climate protection concept and turning strategic ambitions into real measures. \nluegde.de\n+1\n\nLügde's climate efforts are embedded in the broader Masterplan 100 % Klimaschutz of the Kreis Lippe, a region-wide roadmap developed in close collaboration with all 16 municipalities, local energy providers, businesses, and civil society. \nKlimaschutz\n+1\n This inter-municipal coordination helps maximize synergies and avoid duplication, reinforcing Lügde's capacity to make a meaningful contribution to regional climate goals.\n\nAt the district level, the integrated climate strategy called “Lippe_Re-Klimatisiert” (LiReK) has played a central role. \nKreis Lippe\n This program combined 15 concrete measures in the domains of buildings, mobility, and behavioral change, backed by substantial funding (about 20 million €), mostly from EU regional development funds and state funds. \nKreis Lippe\n+1\n When LiReK concluded in 2023, it had already achieved estimated annual savings of 3,900 tons of CO₂ across its projects. \nKreis Lippe\n\nWind Energy and Renewable Power\n\nLügde's commitment to renewable energy is particularly evident in its wind energy projects. The city has approved and permitted multiple wind turbines in its outer areas. \nKreis Lippe\n+1\n For example, in 2024 the Kreis Lippe granted approval for two large Enercon E-160 turbines (each with a nominal capacity of 5.56 MW) in Lügde. \nKreis Lippe\n\nMoreover, a prominent repowering project is underway in the WindStrom Niese-Köterberg wind park, north of Niese (part of Lügde). In this initiative, nine old wind turbines are being replaced by three modern, high-capacity machines with a total output of 13.5 MW—sufficient to supply more than 11,000 two-person households. \nWindStrom Niese-Köterberg\n This reflects Lügde's clear will to increase renewable generation, improve efficiency, and phase out outdated fossil-heavy or inefficient infrastructure.\n\nTogether, these efforts contribute strongly to the decarbonization of Lügde's energy supply and reduce dependence on fossil fuels, showing that the city is not only embracing renewables but doing so in a smart, long-term, and scalable way.\n\nEnergy Management and Efficiency\n\nBeyond producing green power, Lügde is also focusing on energy efficiency and management. The climate-protection office promotes municipal energy management, including in city-owned buildings, public infrastructure, and services. \nluegde.de\n+1\n The city participates in regional energy networks (e.g., via KlimaPakt Lippe) to coordinate its efforts, share best practices, and benefit from advice, investments, and public-private partnerships. \nluegde.de\n+2\nklimapakt-lippe.de\n+2\n\nIn its buildings, Lügde supports energy-saving renovation: through its participation in the KlimaPakt Lippe, citizens and local businesses can access energy advice, funding, and expert support for thermal refurbishment, better insulation, efficient heating systems, and solar installations. \nluegde.de\n This contributes to reducing the city's carbon footprint while also saving money and improving residents' quality of life.\n\nFlood Protection and Heavy Rain Preparedness\n\nRecognizing that climate change brings not only gradual warming but more frequent extreme weather, Lügde has proactively addressed flood risk and heavy-rain (Starkregen) risk. In 2024, the city received a grant of €31,700 from the regional government to develop a Starkregen-risk management concept. \nLippische Landes-Zeitung\n This concept will map potential flood zones, identify vulnerable buildings and institutions (e.g., schools, senior homes), and recommend technical and planning measures to prevent or mitigate flash flooding. \nLippische Landes-Zeitung\n\nAt the broader district level, the Klimaschutzteilkonzept Anpassung (climate-adaptation sub-concept) elaborated by Lippe includes flood retention, natural stream restoration, and planning tools such as risk maps and local flood-hazard mapping. \nKreis Lippe\n These kinds of nature-based solutions help slow down runoff, create retention areas, and reduce the risk of damage during extreme rainfall.\n\nThrough these adaptation measures, Lügde shows that it takes climate resilience seriously: preparing for more volatile precipitation, protecting its infrastructure, and safeguarding its citizens.\n\nDecarbonizing Industry and Efficiency\n\nWhile Lügde is not a large industrial metropolis, its climate strategy explicitly emphasizes a strong willingness to decarbonize wherever possible, including in industry and commerce. Through its network with the KlimaPakt Lippe, the city engages local companies in energy- and climate-friendly transitions. \nluegde.de\n+1\n The KlimaPakt offers platforms for businesses to innovate, share best practices, and adopt efficiency-increasing technologies, renewable energy, and CO₂ reduction strategies.\n\nMoreover, through the Masterplan 100% Klimaschutz, Lügde aligns with regional ambitions to support a post-fossil economy. \nKlimaschutz\n The city fosters a culture in which sustainable industrial development is not just desirable, but feasible: combining climate ambition with economic viability, and encouraging companies to invest in low-carbon technologies, energy reuse, and smarter processes.\n\nForest and Natural Landscape Development\n\nIn addition to its energy and built-environment efforts, Lügde has a strong commitment to natural climate assets. The region includes important forest landscapes and protected natural areas, such as parts of the Schwalenberger Wald within the district's boundaries. \nWikipedia\n These forests not only serve biodiversity, but also act as carbon sinks, helping sequester CO₂ over time and contributing to climate mitigation.\n\nLügde and the Kreis Lippe also promote ecological development and preservation of natural areas, including stream restoration, river bank renaturation, and green corridor planning, in line with adaptation strategies. \nKreis Lippe\n Protected nature reserves such as the Ilsenbach Valley (Naturschutzgebiet Ilsenbach) underscore the city's dedication to preserving and enhancing natural habitats. \nWikipedia\n\nBy focusing on forest development, restoration, and the protection of natural ecosystems, Lügde integrates biodiversity, carbon storage, and risk management in a coherent climate strategy.\n\nPublic Engagement, Behavior Change, and Partnerships\n\nLügde's climate success also draws on public participation and effective partnerships. Through the KlimaPakt Lippe, the city involves citizens, businesses, schools, and other stakeholders in a shared commitment to climate action. \nklimapakt-lippe.de\n+1\n The KlimaPakt supports initiatives like energy advice, sustainable renovation, and knowledge exchange, making climate protection a collective effort.\n\nBehavior change is also part of the strategy: for instance, in the LiReK program, gamification tools were used to motivate energy-saving behavior among municipal employees, encouraging lower consumption through a playful digital platform. \nKreis Lippe\n\nAmbition, Vision, and the Road Ahead\n\nTaken together, Lügde's achievements reflect more than just small local projects. They embody a visionary will to decarbonize its energy systems, to raise energy efficiency across public and private sectors, and to prepare for the physical risks posed by climate change. By aligning energy production (wind), consumption (buildings, transport), and adaptation (flood, heavy rain, natural landscapes), Lügde demonstrates a systems thinking approach.\n\nMoreover, its engagement in regional structures such as the Kreis Lippe's Masterplan and Lippe_Re-Klimatisiert ensures that local actions are amplified and reinforced by shared goals. The support for heavy-rain risk management and flood resilience shows a realistic acknowledgment that climate change is already having effects—and that adaptation is as important as mitigation.\n\nIn its forest and nature efforts, Lügde recognizes the multi-faceted value of trees and ecosystems—not only for biodiversity, but also for carbon storage, water regulation, and climate resilience.\n\nFinally, the city's willingness to decarbonize industrial and commercial actors, to scale up renewable energy (especially modern wind turbines), to improve energy management, and to engage its citizens underscores a deep, long-term commitment. Lügde is not just reacting to climate change; it is proactively shaping a low-carbon, resilient future.",
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,informe de gestión de residuos año 2024,REPORTE RESIDUOS Y OPERACIONES AÑO 2024.pdf
2025 Disclosure Cycle,779465,CDP,2027804,Kalasin Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"เทศบาลเมืองกาฬสินธุ์มีการวางแผนงานด้านสภาพภูมิอากาศของเมือง ด้วยการจัดทำโครงการบรรจุไว้ในแผนพัฒนาท้องถิ่น (พ.ศ.2566-2570) เพื่อให้สอดคล้องกับแผนพัฒนาจังหวัดและเป็นกรอบในการจัดทำ งบประมาณรายจ่ายประจำปี ที่ทุกภาคส่วนมีส่วนร่วมพิจารณาโครงการพัฒนาในระยะเวลา 5 ปี ตามพัธกิจ ยุทธศาสตร์ในการพัฒนาเพื่อสนับสนุนการก้าวไปสู่วิสัยทัศน์ขององค์กร และสนองต่อความต้องการของประชาชนในพื้นที่ โดยเทศบาลเมืองกาฬสินธุ์จะต้องดำเนินการจากข้อเสนอของผู้นำชุมชนในเวทีประชาคมและแผนชุมชน ซึ่งคณะกรรมการชุมชน คณะกรรมการสนับสนุนการจัดทำแผนพัฒนาเทศบาล และคณะกรรมการพัฒนาเทศบาลได้ร่วมกันจัดทำขึ้น โดยมีแผนงานด้านต่างดังนี้\nเทศบาลเมืองกาฬสินธุ์มีการปรับปรุงเเก้มลิงหนองเพ็ญ หนองอีคูณ โครงการฝายชะลอน้ำ เพื่อระบายน้ำที่ไหลผ่านเมืองกาฬสินธุ์ ลงแม่น้ำลำพานที่ประตูน้ำดอนสงวน ตำบลหลุบ และมีโครงการวางระบบระบายน้ำ และรางระบายน้ำเพื่อแก้ปัญหาน้ำท่วมขังเมื่อเกิดฝนตกหนักในเขตเมือง การดูแลและใช้ประโยชน์ทรัพยากรธรรมชาติให้คงไว้ซึ่งระบบนิเวศที่ดี เพื่อพัฒนาโครงสร้างพื้นฐานของเมืองไม่ให้ส่งผลกระทบต่อทรัพยากรธรรมชาติและความหลากหลายทางชีวภาพและระบบนิเวศที่ดีของเมือง การจัดการขยะมูลฝอยชุมชนครบวงจรและเหมาะสม เพื่อลดปริมาณขยะมูลฝอยที่จะนำไปกำจัดให้ได้มากที่สุด โดยการคัดแยกจากต้นทางหรือแหล่งกำเนิดโดยใช้หลัก ๓, R กำจัดขยะมูลฝอยที่ปลายทางด้วยการฝังกลบทุกวันอย่างถูกวิธี (Sanitary Landfill) และมีประสิทธิภาพ ไม่ก่อให้เกิดผลกระทบต่อสิ่งแวดล้อมโดยรอบ การจัดการน้ำเสียอย่างเหมาะสม เพื่อกำจัดน้ำเสียอย่างมีส่วนร่วม และบังคับใช้เทศบัญญัติของเทศบาลเมืองกาฬสินธุ์ให้ประชาชนลดความสกปรกของน้ำเสียก่อนปล่อยลงสู่ระบบบำบัดน้ำเสียรวม การจัดการมลพิษทางอากาศอย่างเหมาะสม เพื่อป้องกัน ควบคุม และติดตามเฝ้าระวังมลพิษในพื้นที่อย่างสม่ำเสมอ โดยการตรวจวัดคุณภาพอากาศ การส่งเสริมการผลิต การบริการ และการบริโภค ที่เป็นมิตรกับสิ่งแวดล้อม\nการส่งเสริมการใช้พลังงานและน้ำอย่างมีประสิทธิภาพ เพื่อส่งเสริมให้ใช้พลังงานและน้ำอย่างประหยัดและคุ้มค่า สร้างจิตสำนึกและพฤติกรรมการประหยัดพลังงานให้กับเจ้าหน้าที่ของเทศบาลเมืองกาฬสินธุ์ \n","แผนพัฒนาท้องถิ่น (พ.ศ.2566-2570) ทบทวน ครั้งที่ 1 2567.pdf,แผนพัฒนาท้องถิ่น (พ.ศ.2566-2570) ทบทวน ครั้งที่ 1 2567.pdf"
2025 Disclosure Cycle,779465,CDP,2027823,Saen Suk Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"- The Integrated Coastal Management (ICM) project which collaborated with PEMSEA: Partnerships in Environmental Management for the Seas of East Asia and National agencies. ICM demonstration sites, as Saensuk Municipality in Chonburi province, serve as breeding ground for local capacity building, then formulating management actions (coastal srategy) \n- Community-based tourism has been promoted in Saensuk Municipality, 'community-based tourism (CBT)' proposes the idea of 'tourism by the local people for the local people'. It is one of the solutions for sustainable tourism because, under this framework, local people are the key decision-makers of their tourism development and the ones to fully benefit from it. Being long-term residents of the areas, local communities are more incentivised to balance economic growth and socio-cultural and environmental impacts caused by tourism activities. The 7 Greens concept had promoted especially GREEN VALUE. \nIn related to private sector, Green hotels, also known as eco-friendly or sustainable hotels, are accommodations that prioritize environmental sustainability in their operations and practices. That City will encourage them for our Green Community. ","ICM Case Studies_CS43.pdf,form-วีลเลอร์ เบด แอนด์ ไบค์ โฮเต็ล.pdf,ชายหาดบางแสน EN.pdf,โรงแรมบางแสนเฮอริเทจ-certificate.pdf"
2025 Disclosure Cycle,779465,CDP,2027827,Su-ngai Kolok Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,-,ไม่มีข้อคิดเห็น.pdf
2025 Disclosure Cycle,779465,CDP,2027830,Pak Poon Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,-,
2025 Disclosure Cycle,779465,CDP,2027854,"City of Lafayette, IN",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City of Lafayette is reporting voluntarily to CDP to set precedent within the jurisdiction for climate-related reporting as well as provide transparency and accountability toward progressing the Greater Lafayette Climate Action Plan. The City is in the early stages of implementation of the plan and is not only proud of the shared progress that has already been made, but also looks forward to the progress still to come. There's much work to be done, and we're looking forward to reporting updates in the next CDP reporting period!",
2025 Disclosure Cycle,779465,CDP,2027856,Cañada Rosquín,City,Latin America,Argentina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,no hay,
2025 Disclosure Cycle,779465,CDP,2027869,San Salvador de Jujuy,City,Latin America,Argentina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,no hay,
2025 Disclosure Cycle,779465,CDP,2027876,Tual City,City,South East Asia & Oceania,Indonesia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Sebagian besar data bersumber dari Data BPS Daerah Kota Tual. dan kami akan melampirkannya,kota-tual-dalam-angka-2024.pdf
2025 Disclosure Cycle,779465,CDP,2027923,Barva,City,Latin America,Costa Rica,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Por el momento solo se reporta el Plan de adaptación, el análisis de vulnerabilidad del cantón y las metas de adaptación de Barva 2019 - 2030. Posteriormente cuando el municipio cuente con el Inventario de Gases de efecto invernadero y las metas y objetivos de mitigación se estará realizando el reporte correspondiente. ",
2025 Disclosure Cycle,779465,CDP,2027926,Salinas,City,Latin America,Ecuador,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Línea base de Municipio Saludable,LINEA BASE MUNICIPIO DE SALINAS 2024-LB 11.xlsx
2025 Disclosure Cycle,779465,CDP,2033711,Prefeitura de Arapiraca,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"A cidade de Arapiraca possui ainda diversas ações em recuperação de nascentes, conservação de fauna, educação ambiental e licenciamento. Participamos de diversas entidades e espaços de governança como a Associação de Créditos de Carbono do Bioma Caatinga, a Rede Craibeira de coletores de sementes, o Fórum Alagoano de Mudanças Climáticas, a rede ICLEI e o Programa Cidades Sustentáveis",Meio Ambiente - Arapiraca Verde.pdf
2025 Disclosure Cycle,779465,CDP,2033737,Prefeitura de Crato,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"O Prefeito do município do Crato, Ceará, assinou o Pacto Global de Prefeitos pelo Clima e Energia (GCoM) e vem se comprometendo em diversas políticas voltadas a mitigação das mudanças climáticas e melhoria qualidade de vida para a população.",Pacto-Global-Prefeitos-Crato-2025.pdf
2025 Disclosure Cycle,779465,CDP,2033765,Prefeitura de Sinop,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"O Município de Sinop encontra-se em um processo contínuo de fortalecimento de sua gestão ambiental e climática. Embora ainda esteja estruturando um plano climático formal, a cidade já desenvolve diversas ações que contribuem direta e indiretamente para a mitigação e adaptação aos impactos das mudanças climáticas.\n\nSinop possui importantes ativos ambientais, como o Parque Florestal, as Reservas R1, R2 e R3 e extensas áreas verdes distribuídas pela malha urbana. Esses espaços funcionam como reguladores climáticos naturais, auxiliam na redução de ilhas de calor e protegem nascentes e cursos d'água essenciais para o equilíbrio ecológico urbano.\n\nA cidade também enfrenta desafios típicos de municípios com rápido crescimento populacional, como expansão urbana acelerada, pressão sobre áreas de preservação, pontos de alagamento e aumento da vulnerabilidade a queimadas e eventos extremos. Em contrapartida, o município realiza ações permanentes de fiscalização ambiental, prevenção de queimadas, manejo de resíduos, ampliação da arborização e melhorias de drenagem urbana, fortalecendo sua capacidade de adaptação climática.\n\nParcerias com instituições como a UFMT, órgãos estaduais e organizações ambientais têm contribuído para pesquisas, educação ambiental, desenvolvimento de projetos e fortalecimento das políticas públicas locais.\n\nPor fim, o município tem potencial para avançar em projetos de energia renovável, monitoramento ambiental digital, soluções baseadas na natureza, revitalização de APPs urbanas, expansão de infraestrutura verde e elaboração de planos setoriais que subsidiem um futuro Plano Climático Municipal. Esses elementos demonstram o comprometimento crescente de Sinop com a sustentabilidade, com a redução de riscos climáticos e com a construção de uma cidade mais resiliente.",
2025 Disclosure Cycle,779465,CDP,2044301,Tayabas City,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,https://drive.google.com/file/d/1fDvAltFoipgjgnsURuq4Z7fY1-Uui-ul/view?usp=drive_link\n\nhttps://www.canva.com/design/DAGryXzb3SU/jLrMi6gF32ZNeO3WEmFmuA/edit?utm_content=DAGryXzb3SU&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,
2025 Disclosure Cycle,779465,CDP,2044302,Oroquieta City,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"t present, no other data is being submitted. The available data is limited, but further datasets will be available in the coming years. \nWe are a developing city that needs more guidance to be able to align with international guidelines. ",CommunicationPlan.pdf
2025 Disclosure Cycle,779465,CDP,2044700,Municipality of Escobar,City,Latin America,Argentina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,no hay,
2025 Disclosure Cycle,779465,CDP,2044708,Municipality of Otavalo,City,Latin America,Ecuador,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Convenio CDR,"CONVENIO UNACEM DESECHOS_CDR.pdf,PROYECTO_GESTION_INTEGRAL_DE_RESIDUOS _ SOLIDOS-signed (1)-signed.pdf"
2025 Disclosure Cycle,779465,CDP,2044709,Municipality of Pasaje,City,Latin America,Ecuador,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Plan de Desarrollo y Ordenamiento Territorial 2024-2027,"PDOT2024-2027 (1)-comprimido.pdf,PDOT2024-2027 (1)-comprimido.pdf"
2025 Disclosure Cycle,779465,CDP,2044738,City of Balanga,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City of Balanga formulated its Forest Land Use Plan (FLUP) for 2018-2023 as a strategic framework to ensure the sustainable management of its forestlands and upland resources. The plan identified and classified approximately 4,730 hectares of forest land and more than 2,300 hectares of alienable and disposable land, providing a clear basis for land allocation and conservation measures. It highlights programs for forest protection, reforestation, and biodiversity conservation, while also supporting agroforestry and community-based livelihood initiatives that balance environmental integrity with socio-economic development.\n\nThe FLUP is anchored on the need to strengthen the city's resilience to climate change and natural disasters by reducing flood, erosion, and landslide risks through improved forest cover and watershed protection. By integrating forest management into the City Development Plan, Local Climate Change Action Plan (LCCAP), and Disaster Risk Reduction strategies, the FLUP contributes not only to the preservation of ecological services such as clean water supply and carbon sequestration but also to the long-term sustainability of Balanga's natural resources.",City of Balanga - FLUP.pdf
2025 Disclosure Cycle,779465,CDP,2044739,City of Carmona,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The Local Government of Carmona acknowledges that while significant progress has been made in advancing climate resilience and adaptation programs, it remains in the early stages of implementing broader climate actions, particularly those aimed at reducing carbon emissions. Current initiatives provide a foundation, but sustained efforts and scaled-up interventions are still needed to transition toward a low-carbon future.",
2025 Disclosure Cycle,779465,CDP,2044740,City of Samal,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The Island Garden City of Samal (IGaCoS) in Davao del Norte was nominated and later recognized as the Philippines' sole recipient of the 6th ASEAN Environmentally Sustainable Cities (ESC) Award 2025. This prestigious award highlights the city's excellence in Clean Air, Clean Water, Clean Land, Urban Biodiversity & Green Spaces, and Circular Economy.\n\nEnvironmental Achievements\n\nWaste Management\n- Operational sanitary landfill & septage treatment facility.\n\n- Strict enforcement of “No Segregation, No Collection” policy → 43.22% waste diversion rate (above the national 25% target).\n\n- Ban on single-use plastics (aligned with RA 11898).\n\nMarine & Coastal Protection\n- 18 Marine Protected Areas (MPAs).\n\n- Creative use of plastic waste bottles as sea barriers.\n\nSustainability Innovations\n\n- Environmental User Fee (EUF) Program funds mangrove rehab, MPAs, and waste facilities.\n\n- TrashCash PH (mobile platform incentivizing plastic collection).\n\n- Pure Oceans partnership - plastic waste converted into construction materials.\n\nEducation & Community Engagement\n\n- Strong implementation of CEPA (communication, education, and public awareness) campaigns.\n\nAwards for environmental education (Gawad Galing Kamalayan).\n\n- Frequent coastal clean-ups and school-based advocacy.\n\nInternational Partnerships\n\n- Collaborations with EU, UNDP, WWF, UNCDF.\n\n- Candidate city for SMART ASEAN Green Cities Programme.\n\n- Shortlisted by DENR for a €60M EU grant on circular economy and climate resilience.\n\nAwards & Recognitions\n\n- ASEAN ESC Award 2025 (Langkawi, Malaysia).\n\n- DENR-EMB XI Environment Summit (Aug 2025) - Four major awards, including ASEAN Distinguished Award and recognition for landfill contribution, waste management, and circular economy initiatives.\n\n- Water Forum 2025 - Plaque & certificate for Septage Treatment Facility and Septage Management Ordinance.\n\n- PLLENRO National Convention 2024 - Awards for:\n\nCoastal Resource Management (Gawad Galing Katubigan)\n\nSolid Waste Management (Gawad Galing Kalinisan)\n\nEnvironmental Education (Gawad Galing Kamalayan).\n\nIGaCoS has emerged as a national and regional model of eco-governance. Its integrated approach, waste management, marine protection, innovative sustainability programs, and active community participation, has earned it prestigious ASEAN and national awards. The city is now benchmarked by other LGUs seeking to replicate its environmental strategies.",AESC AWARD and other Awards and Recognitions.pdf
2025 Disclosure Cycle,779465,CDP,2044752,Ystad Municipality,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Waste fractions as described in 4.7. ,Ystad statistik.xlsx
2025 Disclosure Cycle,779465,CDP,2044754,Karatay Municipality,City,UKWW,Türkiye,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Sustainable Development Goals Voluntary Local Report- 2021\n,SDG VLR 2021 - Karatay v2.0_mod1.pdf
2025 Disclosure Cycle,779465,CDP,2044758,Cà Mau City,City,South East Asia & Oceania,Viet Nam,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Key Achievements of Cà Mau Province in Climate Change Adaptation and Mitigation\nBelow are the notable achievements of Cà Mau Province in addressing climate change (adaptation and mitigation):\n1. Building Infrastructure for Disaster Prevention and Sustainable Adaptation\nConstruction of a 55.7 km Western Sea Dike: This robust dike system has been built to combat coastal erosion and protect the shoreline, laying the foundation for mangrove forest restoration and enhancing resilience against storms, storm surges, and sea-level rise.\nDikes and salinity control structures have protected approximately 123,058 ha of agricultural land in Ngọc Hiển and Năm Căn districts from saltwater intrusion.\nThe Western Sea Dike Project marks a milestone in efforts to strengthen erosion prevention and climate change adaptation.\n2. Ecosystem Restoration — \'Nature-Based Solutions\' and Emission Reduction\nRestored over 4,000 ha of mangrove forests, contributing to climate change mitigation, biodiversity conservation, and the promotion of sustainable livelihoods.\n3. Enhancing Disaster Warning and Forecasting Systems\nEstablished early warning systems in 24 high-risk communes, enabling communities to proactively respond and minimize damage during natural disasters.\n4. Establishing Planning, Raising Awareness, and Promoting Green Transformation\nThe Provincial Party Standing Committee issued a directive emphasizing:\nIntegration of proactive climate change response policies and resource protection.\nPromotion of green transformation, circular economy, renewable energy, low-carbon economy, and sustainable development.\nCompetitions, educational activities, and communication campaigns on climate-resilient housing and salinity intrusion prevention have been organized, fostering collaboration between communities and authorities.\n5. Research and Policy Development for Water Resource Management\n2025 Scientific Conference: Focused on “integrated groundwater management for climate change adaptation,” proposing technology models, policies, and community-driven sustainable water management solutions.\nCoastal adaptation projects in collaboration with GIZ, the World Bank, IUCN/SNV, and others, focusing on:\nConstruction of dikes and flood-prevention structures.\nRestoration of mangrove forests integrated with shrimp farming under the forest canopy.\nImproving livelihoods for coastal communities.",Relevant links.pdf
2025 Disclosure Cycle,779465,CDP,2044818,Municipalidad de Melipilla,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Se adjunta el Plan de Acción Comunal de Cambio Climático de Melipilla, aprobado en Concejo Municipal del 5 de agosto del 2025","PACCC Melipilla rev final muni.pdf,TABLA CONCEJO ORDINARIO 05 DE AGOSTO DE 2025 (1).pdf"
2025 Disclosure Cycle,779465,CDP,2045054,Gunung Kidul Regency,City,South East Asia & Oceania,Indonesia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,,"Analisis Potensi Bencana Kekeringan di Kabupaten Gunungkidul MenggunakanSistemInformasiGeografis.pdf,KERENTANAN DAN ADAPTASI RUMAH TANGGA PETANI TERHADAP.pdf,Pengaruh Iklim terhadap Produksi Kakao di Kabupaten.pdf"
