disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_requested_org_number,requested_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,questionnaire,eligible_pathway,selected_pathway,disclosure_status,public_status,previous_response_status
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",54029,"City of Spokane, WA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930758,City of Srebrenik,930758,City of Srebrenik,City,Europe,Bosnia and Herzegovina,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,50559,"City of St Catharines, ON",50559,"City of St Catharines, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54027,"City of St. John's, NL",54027,"City of St. John's, NL",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49172,"City of St. Petersburg, FL",49172,"City of St. Petersburg, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,3429,City of Stockholm,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50569,"City of Stockton, CA",50569,"City of Stockton, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54080,"City of Sunnyvale, CA",54080,"City of Sunnyvale, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,31114,City of Sydney,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54026,"City of Tacoma, WA",54026,"City of Tacoma, WA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59563,"City of Takoma Park, MD",59563,"City of Takoma Park, MD",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,36152,City of Tallinn,City,Europe,Estonia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",35882,"City of Tampa, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,54403,City of Tampere,City,Europe,Finland,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834120,City of Tanjungpinang,834120,City of Tanjungpinang,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60126,City of Tartu,60126,City of Tartu,City,Europe,Estonia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",53921,"City of Tempe, AZ",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55468,"City of Thousand Oaks, CA",55468,"City of Thousand Oaks, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54098,"City of Thunder Bay, ON",54098,"City of Thunder Bay, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50565,"City of Toledo, OH",50565,"City of Toledo, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",31117,"City of Toronto, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,36517,City of Treviso,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834382,City of Trollhättan,834382,City of Trollhättan,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,49360,City of Tshwane,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,863412,"City of Tumwater, WA",863412,"City of Tumwater, WA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,35886,City of Turin,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,50154,City of Turku,City,Europe,Finland,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60151,City of Tuzla (Bosnia-Herzegovina),60151,City of Tuzla (Bosnia-Herzegovina),City,Europe,Bosnia and Herzegovina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,59562,"City of Urbana, IL",59562,"City of Urbana, IL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",20113,"City of Vancouver, BC",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,36254,City of Venice,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,31185,City of Warsaw,City,Europe,Poland,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,841970,"City of West Lafayette, IN",841970,"City of West Lafayette, IN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55801,"City of West Palm Beach, FL",55801,"City of West Palm Beach, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50577,"City of Wichita, KS",50577,"City of Wichita, KS",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50578,"City of Windsor, ON",50578,"City of Windsor, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50579,"City of Winnipeg, MB",50579,"City of Winnipeg, MB",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74508,"City of Winona, MN",74508,"City of Winona, MN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54144,City of Yarra,54144,City of Yarra,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,31113,City of Yokohama,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,58613,City of York Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,848564,City of Zadar,City,Europe,Croatia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,43921,City of Zagreb,City,Europe,Croatia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,35449,City of Zürich,City,Europe,Switzerland,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,31153,City-State of Berlin,City,Europe,Germany,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50357,Ciudad de Mendoza,50357,Ciudad de Mendoza,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54308,Coimbatore City Municipal Corporation,54308,Coimbatore City Municipal Corporation,City,India,India,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,924872,"Colón, Entre Rios",924872,"Colón, Entre Rios",City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,31009,Copenhagen Municipality,City,Europe,Denmark,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,831431,Cornwall Council,831431,Cornwall Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55317,County Galway,55317,County Galway,City,Europe,Ireland,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,31051,Coventry City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73666,"Cuyahoga County, OH",73666,"Cuyahoga County, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044758,Cà Mau City,2044758,Cà Mau City,City,South East Asia & Oceania,Viet Nam,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54298,Dalian Municipal People's Government,54298,Dalian Municipal People's Government,City,China,China,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74575,"Dane County, WI",74575,"Dane County, WI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012303,Dartmoor National Park Authority,2012303,Dartmoor National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,866900,Delicias,866900,Delicias,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54339,Denpasar City Government,54339,Denpasar City Government,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,884005,Dhaka South City,884005,Dhaka South City,City,India,Bangladesh,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,895655,Dhankuta,895655,Dhankuta,City,India,Nepal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,841976,Dhulikhel Municipality,841976,Dhulikhel Municipality,City,India,Nepal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,61467,Dipolog City,61467,Dipolog City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60625,Dire Dawa,60625,Dire Dawa,City,UKWW,Ethiopia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",31090,"District of Columbia, DC",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862953,"District of North Vancouver, BC",862953,"District of North Vancouver, BC",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59572,"District of Saanich, BC",59572,"District of Saanich, BC",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834126,Dobong-gu District of Seoul,834126,Dobong-gu District of Seoul,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60113,Dundee City Council,60113,Dundee City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54268,Dunedin City Council,54268,Dunedin City Council,City,South East Asia & Oceania,New Zealand,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,863224,East Central Florida Regional Planning Council,863224,East Central Florida Regional Planning Council,City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027864,El Trebol,2027864,El Trebol,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,73734,Envigado,73734,Envigado,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,5871,Essex County Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012305,Exmoor National Park Authority,2012305,Exmoor National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,852443,"Ferndale, MI",852443,"Ferndale, MI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,49367,Freetown City,City,UKWW,Sierra Leone,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,923490,Frutillar,923490,Frutillar,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,834131,Fuji City,834131,Fuji City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,36218,Fukuoka City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,852445,"Gainesville, FL",852445,"Gainesville, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834142,George Local Municipality,834142,George Local Municipality,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,68265,Georges River Council,68265,Georges River Council,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73795,Girardota,73795,Girardota,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,31055,Glasgow City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73671,Godoy Cruz,73671,Godoy Cruz,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,863205,Gorontalo Regency,863205,Gorontalo Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54318,Government of Tangerang City,54318,Government of Tangerang City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54335,Government of the City of Yogyakarta,54335,Government of the City of Yogyakarta,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,54337,Greater Amman Municipality,City,UKWW,Jordan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,35914,Greater Hyderabad Municipal Corporation,City,India,India,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,3422,Greater London Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73725,Guaminí,73725,Guaminí,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2045054,Gunung Kidul Regency,2045054,Gunung Kidul Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,44181,Gwangju Metropolitan City,44181,Gwangju Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,44205,Gwangmyeong City,44205,Gwangmyeong City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,919724,Gällivare Municipality,919724,Gällivare Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50543,"Halifax Regional Municipality, NS",50543,"Halifax Regional Municipality, NS",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,841955,Hammersmith and Fulham London Borough Council,841955,Hammersmith and Fulham London Borough Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,832508,Hartlepool Borough Council,832508,Hartlepool Borough Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840427,Hat Yai City Municipality,840427,Hat Yai City Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,58671,Helsingør Municipality,City,Europe,Denmark,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,859135,Higashiura Town,859135,Higashiura Town,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74371,Himeji,74371,Himeji,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73892,Holbæk Municipality,73892,Holbæk Municipality,City,Europe,Denmark,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,70247,Hsinchu City Government,70247,Hsinchu City Government,City,China,East Asia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840428,Hua-Hin Municipality,840428,Hua-Hin Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60433,Hvidovre Municipality,60433,Hvidovre Municipality,City,Europe,Denmark,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,44196,Hwaseong City,44196,Hwaseong City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,58489,Høje-Taastrup Municipality,58489,Høje-Taastrup Municipality,City,Europe,Denmark,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862480,Ibarra,862480,Ibarra,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,930270,Ilustre Municipalidad de Ancud,930270,Ilustre Municipalidad de Ancud,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,859167,Imabari City,859167,Imabari City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73533,Intendencia de Canelones,73533,Intendencia de Canelones,City,Latin America,Uruguay,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,42388,Intendencia de Montevideo,City,Latin America,Uruguay,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54388,Iskandar Regional Development Authority,54388,Iskandar Regional Development Authority,City,South East Asia & Oceania,Malaysia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826212,JIRCO,826212,JIRCO,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73759,Jambi City,73759,Jambi City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840118,Jamnagar Municipal Corporation,840118,Jamnagar Municipal Corporation,City,India,India,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74350,Jayapura City,74350,Jayapura City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2045055,Jayapura Regency,2045055,Jayapura Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,867355,Junagadh,867355,Junagadh,City,India,India,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,860640,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),860640,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826211,Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS),826211,Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS),City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
