disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Name of the initiative,col2_Name of jurisdiction or/and landscape area,col3_Describe the aim of the initiative including any focus commodities and your state/region's role,col4_Implementation stage of initiative,col5_Current sources of finance for the initiative,col6_Types of partners engaged in the initiative design and implementation,col7_Describe governance structures and policies in place to support the initiative,col8_Five primary actions from private sector companies that would drive positive impact in the initiative,col9_Is a collective monitoring framework used to measure progress towards landscape goals and actions?,"col10_State the achievements of your engagement so far, and how progress is monitored"
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Acciones subnacionales de mitigación para regenerar paisajes,"Área Natural Protegida Biósfera Sierra Gorda, Querétaro","Promueve acciones para la regeneración de bosques y tierras de pastoreo de paisajes de alta prioridad.\nLa NAMA se basa en el exitoso Mecanismo Estatal de Compensaciones de carbono de Querétaro, en el cual el Gobierno Estatal destina una parte de los derechos sobre el refrendo vehicular a un fondo que apoya proyectos que contribuyan a la disminución de las emisiones de gases de efecto invernadero en el estado y el aumento de la captura de carbono en sus bosques. Como parte de la NAMA, se está promoviendo el desarrollo de mecanismos similares en otros estados.\n\nEl componente de regeneración forestal de la NAMA implica la regeneración de bosques naturales por la eliminación del pastoreo extensivo de ganado, incendios inducidos y tala con incentivos de pagos a sus propietarios por los servicios ambientales y resulta en una reducción significativa de las emisiones de CO2 que son consecuencia de la degradación forestal, así como un aumento de los inventarios de carbono a través de la regeneración de bosques.",Implementation stage: Implementation plans are completed and currently underway/operational,NGO|Governmental fund/subsidies,NGO and/or civil society|Local communities|Government,ONG y sociedad civil. con apoyo del Gobierno del Estado de Querétaro ,"Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Share spatial data and land management plans with other partners in the landscape/jurisdiction|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate on landscape sustainability assessments through participatory mapping","Yes, progress is monitored using a shared external framework: ","se proyecta que las acciones subnacionales para la regeneración de bosques tendrán un impacto de GEI de -694,000 tCO2e/año en el 2030. "
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1, Corredor Biocultural del Centro Occidente de México COBIOCOM\n," Áreas Naturales Protegidas del Estado de Guanajuato. 1,449,624 Hectáreas de superficie.\n"," Iniciativa para la conservación del patrimonio natural y cultural cuyo objetivo primordial es lograr la conectividad biológica, la preservación de los diferentes ecosistemas, así como las prácticas tradicionales de manejo y uso de la biodiversidad del centro occidente del país.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,International organizations|Governmental fund/subsidies,NGO and/or civil society|Government|Local communities,"En la actualidad el Corredor Biocultural (COBIOCOM) se encuentra integrado por ocho Estados de la República Mexicana que son: Nayarit, Aguascalientes, Zacatecas, San Luis Potosí, Guanajuato, Michoacán, Colima y Jalisco, además cuenta con el apoyo de la Comisión Nacional\nde Áreas Naturales Protegidas (CONANP), Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO) y el apoyo de\ninstituciones no gubernamentales Nacionales e Internacionales que son: Reforestamos México A. C., Ecosistémica A. C., la agencia\nAlemana de cooperación (GIZ) y la World Wildlife Fund (WWF).",Implement REDD+ actions in the landscape/jurisdiction|Promote and implement climate change adaptation and mitigation activities,"No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Bosques Ciudadanos,Nivel Estatal,Renaturalizar el espacio público al incorporar infraestructura verde.\nCrear hábitat para especies silvestres.\nReducir la contaminación atmosférica y auditiva a través de barreras naturales.\nEmbellecer la ciudad con árboles y plantas nativas.\nMitigar la crisis climática y el fenómeno de las islas de calor.,Implementation stage: Implementation plans are completed and currently underway/operational,"Private sector, companies|Governmental fund/subsidies",NGO and/or civil society|Government,https://sistec.nl.gob.mx/Transparencia_2015/Archivos/AC_0001_0007_00172686_000002.pdf,"Collaborate on management/ land use planning in the landscape/jurisdiction|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on integrated watershed management and remediation activities|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)|Support enforcement of land-use and/or zoning plans","Yes, progress is monitored using an internally defined framework",bosques de salud: 538 arboles\nbosques de escolares: 7910\nbosques urbanos: 73386\nbosques de agua: 438213\ntotal: 510047
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,PROYECTOS DE CONSERVACIÓN DE LAS ANPS,ÁREAS NATURALES PROTEGIDAS ,"PROYECTOS DE CONSERVACIÓN DE ECO SISTEMAS, SUELOS Y ESPECIES PRIORITARIAS \n\nPROTECCIÓN DEL PERRITO LLANERO\n\nCONSERVACIÓN DE SUELOS MEDIANTE LA IMPLEMENTACION DE ACTIVIDADES PRODUCTIVAS SOSTENIBLES. \n",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,NGO|Governmental fund/subsidies,Local communities|Government|NGO and/or civil society,https://www.nl.gob.mx/publicaciones/programa-sectorial-de-desarrollo-sustentable,Other: NO HAY SECTOR PRIVADO,"Yes, progress is monitored using an internally defined framework",REUNIONES Y MESAS DE TRABAJO PARA LA REVISION DE DOCUMENTOS RECTORES 
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,"Ecology-Based Fiscal Incentive Scheme in Indonesia: TAKE, TAPE, and TANE.",North Kalimantan Province.,"This initiative is a jurisdiction-based fiscal scheme in North Kalimantan. This incentive scheme is developed through fiscal transfers to the lower government (state or province) as a reward for performance in environmental management including forestry. EFT is implemented through 3 schemes, namely Ecology-based Provincial Budget Transfer (TAPE), Ecology-based Regency Budget Transfer (TAKE), and Ecology-based National Budget Transfer (TANE). This initiative was followed up by the Minister of Finance at the Ecological Fiscal Transfer Conference in August 2019 which stated that the government is committed to providing incentives to regions that protect forests or contribute to the preservation of nature and the environment through the Environmental Protection Fund scheme.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Government,"North Kalimantan government becomes a role in allocating these funds from initiatives carried out by local communities in forest protection. In addition, funding through the National government is based on data from local governments in proposing actions.","Support communities and smallholders in gaining access to incentives (e.g. support achieving certification, group formation, getting land title, packaging access to loans, preferential sourcing etc.)|Implement REDD+ actions in the landscape/jurisdiction|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative","Yes, progress is monitored using an internally defined framework","The achievements obtained so far have not been felt significantly. However, several activities that have been proposed have received support from this initiative process."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,ProKLIM - Climate Village Program,North Kalimantan Province.,"North Kalimantan Province has started to actively participate in the Climate Village Program (Proklim) since 2017. Up to now 18 ProKLIM locations (Proposed) and 7 locations have been registered. This activity consists of many activities including food security, disaster management, renewable energy, protection of water sources, and waste treatment. The locations that have been implemented are in Tarakan, Nunukan, and Tana Tidung Regencies. Each location has its own activities.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities|Government,The strategies and policies of the North Kalimantan Provincial Government in implementing the Climate Village Program activities are:1. Issuing Governor Regulation Number 16 of 2020 concerning the Facilitation of the Climate Village Program2. Issued North Kalimantan Governor Circular Letter Number 100.3.4/0148/DLH/GUB concerningAcceleration of the Implementation of the Climate Village Program in North Kalimantan Province3. Formed a team to accelerate activities based on North Kalimantan Governor's Decree Number 188.44/K.7/2023 involving relevant agencies within the North Kalimantan Provincial Government and also District/City Environmental Services throughout North Kalimantan,"Collaborate on management/ land use planning in the landscape/jurisdiction|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)|Collaborate on establishing and managing monitoring system(s) for livelihoods and human well-being|Capacity building for farmers, smallholders and local communities to implement good agricultural practices (including improved efficiency, crop diversification and adoption of certification)","Yes, progress is monitored using an internally defined framework","The duties and functions of the North Kalimantan Government are to provide guidance, supervision, and inventory of the locations of potential participants in the Climate Village Program."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,3,Row 3,Forest protection in the Abay Sembuak Dayak Indigenous Group and the Punan Adiu Tribe Community,"The Abay Sembuak Dayak Indigenous Group in Sembuak Warod Village, North Malinau (already received the 2023 Kalpataru Award) and the Punan Adiu Tribe Community in South Malinau sub-district (already received the 2019 Kalpataru Award).",This initiative aims to protect and conserve forests initiated by the provincial government and involving indigenous peoples in its implementation.,Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Indigenous peoples,"The \'Forest Protection in the Abay Sembuak Dayak Indigenous Group and the Punan Adiu Tribe Community\' project in North Kalimantan focuses on safeguarding the forests traditionally managed by these indigenous communities. Both the Abay Sembuak Dayak and the Punan Adiu Tribe play vital roles in forest conservation by maintaining sustainable practices that preserve biodiversity and the ecological balance. The project aims to support their efforts through legal recognition, capacity building, and sustainable livelihood initiatives, while protecting these forests from encroachment, deforestation, and unsustainable exploitation.","Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative","Yes, progress is monitored using an internally defined framework","Progress is monitored through community-based forest patrols, satellite imagery, and regular assessments of forest health. Local stakeholders collaborate with external partners to track changes in forest cover and biodiversity, ensuring that conservation goals are met. Additionally, community feedback and engagement help adjust strategies and improve the effectiveness of ongoing efforts."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,4,Row 4,"Forest and Climate Change Programme Financial Corporation (FORCLIME - FC) in Malinau District, North Kalimantan Province.","Malinau district, North Kalimantan Province.",The specific aim of this initiative includes (1) Reducing greenhouse gas emissions in the DA area; (2) Improving the welfare of the community in the DA area and its surroundings; (3) Integrating successful REDD methods and approaches into the national REDD strategy. And also improve the local communities through social forestry program.,"Review, evaluation and adapt: Lessons learned from the initiative are being used to update original plans",International organizations|NGO|Governmental fund/subsidies,Local communities,"The initiative develops through Cooperation between the Government of the Republic of Indonesia and the Government of the Federal Republic of Germany, Malinau District Government.","Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Capacity building for farmers, smallholders and local communities to implement good agricultural practices (including improved efficiency, crop diversification and adoption of certification)|Implement REDD+ actions in the landscape/jurisdiction|Collaborate on management/ land use planning in the landscape/jurisdiction","Yes, progress is monitored using an internally defined framework",This mitigation activity was initiated in collaboration with the Government of Indonesia and the Government of Germany in implementing forest conservation and sustainable forest management (SFM) strategies that result in GHG emission reductions. The funding source is based partially on the Regional Budget and the International Budget. The period of this mitigation activity lasts from Oct-2016 to Oct-2020. Further information at the following link: https://srn.menlhk.go.id/index.php?r=home%2Faksi&id=409
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,The Papua Province 2100 Vision,Papua Province,"The Papua Province 2100 Vision is a comprehensive plan aimed at sustainable development, particularly focusing on environmental conservation and indigenous community welfare. This goal is reflected in the Spatial Plan for 2023-2042 (RTRWP) and the Conservation Province declaration in West Papua, further emphasizing the importance of forest preservation.\n(https://wri-indonesia.org/en/initiatives/protecting-landscape-tanah-papua)\n",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies|NGO|International organizations,Government|Indigenous peoples|Private sector|Local communities|NGO and/or civil society,"The governance structures and policies in place to support the \'Visi Papua 2100\' (Papua 2100 Vision) in Papua Province, Indonesia, are multifaceted and involve both provincial and local levels of government. Provincial government (governor and legislature) and Papuan People's Assembly (MRP). Policies Supporting Visi Papua 2100 Spatial Planning: The Spatial Plan (RTRWP) clearly reflects the green vision of the province. It aims to protect 90% of Papua's land as forest areas, aligning with the Papua 2100 Vision. This plan ensures that development activities are harmonized with environmental sustainability goals. \n\nSpecial Autonomy Law:\nThe 2001 Special Autonomy Law provides extensive authority to the provincial government, allowing it to manage various sectors of administration except for five strategic areas related to foreign affairs. (http://eprints2.ipdn.ac.id/id/eprint/717/1/Special%20Autonomy%20through%20Antropological%20Approach%20in%20Papua%20Province.pdf)","Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)|Capacity building for farmers, smallholders and local communities to implement good agricultural practices (including improved efficiency, crop diversification and adoption of certification)|Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Collaborate on landscape sustainability assessments through participatory mapping|Implement REDD+ actions in the landscape/jurisdiction","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,GCF Task Force ,West Papua Province,"As a forum for coordination at the governor level, West Papua participates in discussions on deforestation and forest degradation issues with 6 provinces that are members of Indonesia's GCF Task Force. This initiative discusses every latest issue regarding commodities, policies, community development in achieving the target of the Manaus Action Plan (MAP).",Implementation stage: Implementation plans are completed and currently underway/operational,International organizations,Government,This initiative involves every stakeholder in the province. The involvement of many parties is a form of support for this initiative,"Collaborate on management/ land use planning in the landscape/jurisdiction|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on commodity traceability|Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making","Yes, progress is monitored using an internally defined framework",Meetings are held every year between 7 provinces and currently they are still developing the 4 pillars of the MAP target
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Integrated Area Development (IAD),West Papua Province,"To support the development of social forestry programs in the province of West Papua from various cross-sectoral ministries, businesses, universities, NGOs, etc \n\nEffective IAD requires coordination among different government departments and agencies. For instance, the Ministry of Environment and Forestry, local development agencies (BAPPEDA), and other provincial bodies work together to ensure sustainable development\n\nhttps://jurnalsetjen.kemendagri.go.id/index.php/bjgs/article/download/104/27/642\n\nhttps://jrssem.publikasiindonesia.id/index.php/jrssem/article/download/244/601",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,"Other: No current sources of finance, next year finance is being proposed from provincial government",Indigenous peoples|Local communities|Government|NGO and/or civil society,"IAD initiatives in West Papua involve collaboration among local, provincial, and national authorities. This structure ensures that development strategies are aligned with both local needs and national policies","Engage partners on importance of conservation, restoration and/or rehabilitation|Capacity building for farmers, smallholders and local communities to implement good agricultural practices (including improved efficiency, crop diversification and adoption of certification)|Communicate externally the business case for investing in landscapes/jurisdiction|Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Improve sustainability of waste management practices","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Lei do Pantanal,Bioma Pantanal,"conservação, a proteção, a restauração e a exploração ecologicamente sustentável da Área de Uso Restrito da Planície Pantaneira no âmbito do Estado de Mato Grosso do Sul","Post implementation: Implementation is complete, measurement, monitoring and report of impacts is in progress",Governmental fund/subsidies,Private sector|Local communities|NGO and/or civil society,NA,"Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Collaborate on landscape sustainability assessments through participatory mapping|Collaborate on management/ land use planning in the landscape/jurisdiction|Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,"Mitigasi konflik satwa liar di Jalan Tol Sigli Banda Aceh (koridor Satwa liar Gajah, Reptil) ",Aceh Province,"Hutama Karya, Adhi Karya, BKSDA, DLHK, WCS, FFI, YEL",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies|NGO,Government|NGO and/or civil society|Local communities,Support from Government (BUMN),"Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas|Collaborate on establishing and managing monitoring system(s) for livelihoods and human well-being|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,"Management of a conservation park on Aceh Island, Aceh Besar District",Aceh Besar District,"Managing turtle cultivation, (CSR funds from PLN, ASDP)Ecotourism (Business Entity owned by Gampong Kepulauan Breuh), WCS Strengthening of Panglima Laot Capacity and turtle Concervation",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Indigenous peoples,Support from KPH Region I as regional stakeholders,"Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,3,Row 3,Astra's climate village program support activities (Kampung Berseri Astra),"Gayo Lues District, Southwest Aceh District, Central Aceh District, Subulussalam City, Bireuen District, Aceh Besar","to support the national movement of 20,000 Proklim from the Astra CSR Fund",Implementation stage: Implementation plans are completed and currently underway/operational,"Private sector, companies",Indigenous peoples,Climate village which is a proposal and guidance from DLHK Aceh Province,"Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative","Yes, progress is monitored using an internally defined framework","The role of DLHK is to provide guidance and capacity building for District Apparatuses, Gampongs as well as support for Mitigation and Adaptation actions at the site level"
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,4,Row 4,"Determination of Wildlife Corridors (FFI, CRU Aceh, FKL, WCS)",Elephant conflict area in the Peusangan corridor (there are 9 corridors),Wildlife Management aims to preserve Wildlife and Habitat as an effort to maintain the balance of nature in order to improve community welfare and quality human life.,Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities,"The Government of Aceh and District/City Governments have the authority and obligation to manage Wildlife and Their Habitat. In order to carry out these authorities and obligations, the Government of Aceh appoints an Aceh Working Unit for government affairs in the field of protection and conservation of natural resources.","Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas|Collaborate on establishing and managing monitoring system(s) for livelihoods and human well-being","Yes, progress is monitored using an internally defined framework","the efforts of the Indonesian government to conserve Sumatran elephants. It outlines the planned elephant corridor, the need for scientific studies, and the establishment of a conservation area. The highlights the importance of government collaboration, community involvement, and sustainable tourism initiatives to protect the elephant population."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Pilot Development of Systematic and Integrated Peat Ecosystem Restoration Model in Central Kalimantan.,"Kahayan River, Sebangau River, Lamandau River, Arut River, Kapuas River, Pukun River, and Mentaya River, in Central Kalimantan.","We are formulating the optimum PHU (Peat Hydrological Unit) concept: systematic and integrated peat ecosystem restoration. The idea of the Optimum PHU itself as long as it has been structured includes: (1) having wetness throughout the year in all areas (both protected and cultivated), (2) providing benefits and livelihoods for all interested parties in the KHG, and (3) having synergies between the permit giver and the beneficiary as well as between area/land managers in the KHG in order to realize number (1) and avoid ecosystem damage (subsidence, fires, and floods).",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities,Central Kalimantan Province and BRGM National have collaboration as a role in facilitating the acceleration of the implementation of peat restoration and efforts to improve community welfare in peat restoration areas. The stages of licensing administration to implementation are carried out jointly between the provincial government represented by the Environmental Agencies and the National BRGM team.,"Help establish effective mechanisms for undertaking human rights due diligence, risk management, monitoring, verification, and grievance resolution","Yes, progress is monitored using an internally defined framework",The achievement of the optimal value for a KHG area is transformed through intervention activities to optimize natural conditions (eg water balance or groundwater level) and to change man-made forms (eg construction of water storage ponds or canal blocking) that exist in a KHG. KHG Optimum will be used as a model for implementing peat restoration in other locations. Monitoring of this initiative is carried out through multi-stakeholder collaboration in the implementation of this program which has an impact on the success of the program and the implementation timeline.
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,"Management of KEE (Essential Ecosystem Area) Nyaru Menteng Monumental Forest in Palangka Raya, Central Kalimantan.","Palangka Raya City, Central Kalimantan.","Essential Ecosystem Areas are areas that have important ecosystem values that have high conservation values that ecologically support the survival of life through biodiversity conservation efforts. Management of the Essential Ecosystem Area was carried out on 1377.60 ha in Tumbang Tahai Village, Palangka Raya City. In its management, the provincial government establishes a special agency, namely FORUM KEE consisting of the central government, local governments, educational institutions, NGOs, and local communities.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities,The provincial government is in control of the implementation of KEE through the provincial forestry agency. The provincial government is in control of the implementation of KEE through the provincial forestry office. This initiative has been included in local government policy through Central Kalimantan Governor Decree no. 522.100/225/Dishut concerning the designation of the Nyaru Menteng Monumental Forest Essential Ecosystem Area.,"Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making","Yes, progress is monitored using an internally defined framework",-
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,3,Row 3,Establishment of the Watershed Coordination Forum (Forum DAS) of Central Kalimantan Province 2018-2022,Central Kalimantan,"The watershed forum was created by the provincial government with the aim of implementing integrated watershed management. The aims made include (1) Implementing central government policies related to watershed management, (2) Carrying out coordination and consultancy in aligning the interests of all sectors in provinces and districts/cities, and (3) Preparation of a work plan for the Watershed Management Coordination Forum.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities,This initiative has been stated in the Decree of the Governor of Central Kalimantan (188/2018) on the Central Kalimantan Watershed Coordination Forum. ,"Support implementation of climate change vulnerability assessment|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)","Yes, progress is monitored using an internally defined framework",-
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Nayarit es parte de un Proyecto regional llamado COBIOCOM: Corredor Biocultural del Occidente de México.,"Regional: considera siete entidades federativas, las cuales son Aguascalientes, Guanajuato, Jalisco, Michoacán, San Luis Potosí, Zacatecas y Nayarit.","lograr la conectividad biológica, la preservación de los diferentes ecosistemas, así como las prácticas tradicionales de manejo y uso sustentable de la biodiversidad del occidente del país.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,International organizations,Government|NGO and/or civil society,Se consideran 16 ejes y 16 líneas de acción de gobernanza. Incluye acciones para fortalecer la participación social y la gobernanza ambiental.,"Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making|Capacity building for farmers, smallholders and local communities to implement good agricultural practices (including improved efficiency, crop diversification and adoption of certification)|Promote and implement climate change adaptation and mitigation activities|Engage partners on importance of conservation, restoration and/or rehabilitation",,
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Áreas Naturales Protegidas de carácter Estatal y Programa Bienestar de los ecosistemas,Reserva ecológica \'La cueva\' y Zonas sujetas a conservación \'Ex Rancho Los Pitzocales\' y \'Ex Rancho Teometitla\',-,Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Government,-,"Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","Yes, progress is monitored using an internally defined framework","sÍ, el progreso se monitorea usando un marco externo compartido, especifique "
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Convenio del Bosque de Agua,"Ciudad de México, Estado de Morelos y Estado de México","El convenio establece, entre otras acciones, la colaboración en la realización de operativos de inspección, vigilancia y combate a la extracción ilegal de recursos forestales, desincentivar la tala y los cambios de uso de suelo ilegales, proporcionar espacios físicos para el resguardo de bienes decomisados, presentar denuncias penales por delitos forestales y coadyuvar en la integración de carpetas de investigación y compartir información.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,Governmental fund/subsidies|Regional budget,Government,,"Support implementation of climate change vulnerability assessment|Engage partners on importance of conservation, restoration and/or rehabilitation|Collaborate on management/ land use planning in the landscape/jurisdiction|Support maintenance/ improvement of water availability and/or quality|Promote and implement climate change adaptation and mitigation activities|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","No, but we are planning to monitor and report on progress in the next two years",
