disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,Native Vegetation Act 1991 [https://www.legislation.sa.gov.au/lz?path=%2FC%2FA%2FNative%20Vegetation%20Act%201991],"The Native Vegetation Act 1991 provides protection for native vegetation in South Australia and sets out a process for applying to clear vegetation. The Act ensures that areas of high conservation value are protected, and that clearances are subject to a thorough assessment process. Under this legislation, any clearance of native vegetation on public or private land (including harvesting) is prohibited unless consent is granted by the Native Vegetation Council, an independent statutory board."
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,National laws on avoided conversion,Environment Protection and Biodiversity Conservation Act 1999 [https://www.legislation.gov.au/Details/C2021C00182],"An Act relating to the protection of the environment and the conservation of biodiversity, and for related purposes, is an Act of the Parliament of Australia that provides a framework for protection of the Australian environment, including its biodiversity and its natural and culturally significant places."
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional laws on improved forest management,Biodiversity Act 2025 [https://www.legislation.sa.gov.au/lz?path=%2FC%2FA%2FBiodiversity%20Act%202025],"The South Australian Government has passed its first-ever Biodiversity Act, marking a major milestone in protecting native plants, animals, and ecosystems — while also helping to address the impacts of climate change. The Biodiversity Act 2025 has not come into operation, yet. The Biodiversity Act 2025 consolidates biodiversity protections which were previously spread across several pieces of legislation including the Native Vegetation Act 1991, and was developed with input from scientists, Aboriginal groups, economists, primary producers, miners and development planners."
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Land use planning,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_6849b20f1e0b8_POET_2024_2034.pdf,"Se realizó la actualización del Programa de Ordenamiento Ecológico del Territorio del estado de Colima, con visión de cuenca y garantizando la protección y conservación de los bosques en el estado."
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Management of Protected Areas,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_602ffd190b443_Decreto_de_la_Campana_como_zona_ecologica_y_cultural.pdfhttp://admiweb.col.gob.mx/archivos_prensa/banco_img/file_6030025e5cdd2_Declaratoria_de_Complejo_Calzada_Galvan_4_1.pdf,Se han generado el decreto del Área Natural Protegida de la Zona Conocida como La Campana y la Área de Valor Ambiental El Parque Pedro A. Galván antes conocida como la Ex-Militar.
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Management of Protected Areas,\n\nhttps://portal.queretaro.gob.mx/sedesu/contenido.aspx?q=N3xseyWLljLNn+V5Dh+8FbkBf859DRm3,"Dentro del territorio del Estado de Querétaro existen zonas que, por su importancia física o biológica, por los servicios ambientales que proporcionan, o por especial interés del Estado, deben ser sometidas a programas de preservación, conservación o restauración. Para lograr este objetivo, la autoridad Federal, Estatal o Municipal debe emitir las declaratorias de protección correspondientes, para el área de que se trate; por tanto, una declaratoria representa la declaración pública que hace la autoridad, para dar a conocer que un área natural está bajo régimen de protección.\n\nDe acuerdo a la Ley Estatal de Protección Ambiental para el Desarrollo Sustentable del Estado de Querétaro (LPADSEQ, Periódico Oficial del Gobierno del Estado de Querétaro La Sombra de Arteaga 13/03/2015), las áreas naturales protegidas de jurisdicción Estatal, se establecerán mediante decreto que contenga la declaratoria que expida el titular del Poder Ejecutivo del Estado (Artículo 91); para el caso de las áreas naturales protegidas (ANP) de competencia municipal, la Secretaría de Desarrollo Sustentable del Poder Ejecutivo del Estado, podrá proponer al municipio que corresponda, la expedición de las declaratorias para su establecimiento, mientras que para las ANP federales, el Gobernador del Estado de Querétaro podrá solicitar a la Federación su establecimiento (Artículo 95).\n\nLas declaratorias de las áreas naturales protegidas de competencia estatal o municipal, de acuerdo al Artículo 96 de la LPADSEQ, contendrán: la delimitación del área; la descripción de las actividades que se podrán llevar a cabo en el ANP; las modalidades y limitaciones a que estarán sujetas; la propuesta de zonificación; en su caso, los lineamientos para el establecimiento de órganos colegiados, creación y operación de fondos o fideicomisos; la obligación de elaborar y ejecutar el programa de manejo del área; y las reglas que debe seguirse para su administración y vigilancia."
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Budget set aside for dedicated work on forest protection/conservation,Pagos por Servicios Ambientales," El programa denominado Pago por Servicios Ambientales (PSA) promueve acciones integrales para la conservación de los ecosistemas forestales, el fortalecimiento del capital social y el desarrollo económico sustentable, mediante la ejecución de actividades productivas amigables con el medio ambiente, como el ecoturismo, la apicultura, las ecotecnias y los viveros comunitarios, entre otras actividades, las cuales procuran en el mediano y largo plazo la generación de los servicios ambientales necesarios para el bienestar de la sociedad y favorecen la adaptación y mitigación de los efectos del cambio climático.\n\nEsquema Pago por Servicios Ambientales (PSA)\nApoya a las personas dueñas de los terrenos forestales que tienen ecosistemas en buen estado de conservación ubicados en zonas con altos valores ambientales (áreas elegibles). Los montos de pago se calculan con base en el tipo de vegetación y al índice de presión económica a la deforestación.\n\nEl apoyo económico se otorga por cinco años y está condicionado al cumplimiento de los compromisos adquiridos por las personas beneficiarias, quienes deben reinvertir mínimo el 50% del recurso asignado en actividades de conservación, protección, manejo, organización, gobernanza y proyectos productivos amigables con el medio ambiente.\n\nEl estado de Querétaro, atreves del Fondo para la protección ambiental y el desarrollo sustentable\nen Querétaro, apoya para el realizar el pago por Servicios Ambientales (PSA).\n "
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Land use planning,https://portal.queretaro.gob.mx/sedesu/contenido.aspx?q=N3xseyWLljLB2NZhZuv/aNKdGf3bQaV/\n\nh,"POEREQ Querétaro es un estado ordenado y equilibrado en su desarrollo que, sustentado en la protección y conservación de su patrimonio natural y cultural, ha mejorado los niveles de bienestar de sus pobladores. Su desarrollo urbano es integral, equitativo y eficiente, centrado en las personas que lo habitan, en apego al respeto del medio natural del territorio y en las necesidades de sus regiones, que mantienen una relación suficiente entre la base de los recursos naturales, las áreas verdes y la población. Es una entidad altamente competitiva, con una diversificación productiva y económica que, bajo principios de sustentabilidad y equilibrio regional, con medidas de adaptación y acción ante el cambio climático, y la integración sistemática de la economía circular, se ha proyectado como confiable y próspera.\n\nEste programa tiene cinco primicias: 1) proteger, conservar, restaurar y aprovechar de manera sustentable los recursos naturales fuera de los centros de población; 2) salvaguardar el patrimonio natural del estado a través de Áreas Naturales Protegidas; 3) recuperación de ecosistemas perturbados y degradados; 4) conservación de zonas productivas; 5) establecer los criterios de regulación ecológica. "
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Long-term forest management/protection/conservation plans,http://www.conafor.gob.mx:8080/documentos/docs/12/188Programa%20Estrat%C3%A9gico%20Forestal%20del%20Estado%20de%20Quer%C3%A9taro.pdf,"Querétaro cuenta en el Programa Estratégico Forestal del Estado de Estado de Querétaro 2030 (PEFQ 2030), que es un instrumento de implementación de manejo sustentable en los bosques y áreas con vocación forestal de la Entidad."
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Regional laws on improved forest management,https://normas.cndh.org.mx/Documentos/Quer%C3%A9taro/Ley_FSE_Qro_abr.pdf,"Tiene por objeto regular la producción forestal, el cultivo, manejo y aprovechamiento de los \necosistemas forestales; y fomentar la conservación, la protección, la restauración y\nel sostenimiento de los servicios ambientales de los ecosistemas del Estado de Querétaro y de sus municipios, así como distribuir las competencias que en materia forestal les correspondan."
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,National laws on improved forest management,https://www.gob.mx/profepa/documentos/ley-general-de-desarrollo-forestal-sustentable,"Tiene por objeto regular y fomentar la conservación, protección, restauración, producción, ordenación, el cultivo, manejo y aprovechamiento de los ecosistemas forestales del país y sus recursos, así como distribuir las competencias que en materia forestal correspondan a la Federación, los Estados, el Distrito Federal y los Municipios, bajo el principio de concurrencia previsto en el artículo 73 fracción XXIX inciso G de la Constitución Política de los EstadosUnidos Mexicanos, con el fin de propiciar el desarrollo forestal sustentable. Cuando se trate de recursos forestales cuya propiedad corresponda a los pueblos y comunidades indígenas se observará lo dispuesto por el artículo 2 de la Constitución Política de los Estados Unidos Mexicanos."
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Management of Protected Areas,https://sedurbi.se.gov.br/caatinga-e-preservada-pelo-governo-de-sergipe-com-manutencao-de-unidade-de-conservacao-ambiental/,"Em Sergipe, o Governo do Estado já elaborou dois Planos de Manejo Florestal Comunitário Sustentável, que abrangem 156 hectares de caatinga. Além disso, o projeto Manejo do Uso Sustentável da Terra no Semiárido do Nordeste Brasileiro - Sergipe, implementado pelo Ministério do Meio Ambiente, beneficiou os assentamentos Florestan Fernandes e Valmir Mota, na região do semiárido. O manejo florestal é importante para a conservação das florestas, pois busca maximizar a produção da floresta e minimizar os danos ao remanescente. "
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Management of Protected Areas,https://www.se.gov.br/semac/semac_home,"No Estado há uma Gerência destinada à gestão das Unidades de Conservação de Sergipe, a qual trabalha na criação e consolidação das unidades de proteção integral e de manejo sustentável."
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Budget set aside for dedicated work on forest protection/conservation,https://www.se.gov.br/semac/semac_home,"No Estado há um orçamento direcionado à criação e manutenção de Unidades de Conservação do Sergipe, tanto no Bioma Caatinga quando na Mata Atlântica."
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional policies on improved forest management,https://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20220218&id_doc=758167,"Dispõe sobre os critérios e o processo administrativo para criação, implantação e gestão das Reservas Particulares do Patrimônio Natural (RPPN), no âmbito do Estado do Rio Grande do Norte, bem como institui o Programa Estadual de Apoio às RPPNs e dá outras providências."
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional policies on improved forest management,http://www.al.rn.gov.br/storage/legislacao/6.769.pdf,A lei dispõe sobre a Política Florestal do Estado do Rio Grande do Norte
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional laws on improved forest management,http://adcon.rn.gov.br/ACERVO/idema/DOC/DOC000000000006489.PDF,Averbação de Reserva Legal e Projetos de Reposição Florestal
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,National laws on improved forest management,http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,"LEI Nº 12.651, DE 25 DE MAIO DE 2012. Dispõe sobre a proteção da vegetação nativa; altera as Leis nºs 6.938, de 31 de agosto de 1981, 9.393, de 19 de dezembro de 1996, e 11.428, de 22 de dezembro de 2006; revoga as Leis nºs 4.771, de 15 de setembro de 1965, e 7.754, de 14 de abril de 1989, e a Medida Provisória nº 2.166-67, de 24 de agosto de 2001; e dá outras providências."
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Management of Protected Areas,www.idema.gov.rn,"Os planos de manejo das unidades de conservação contêm programas que contribuem com a conservação de florestas, como programa de monitoramento."
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on avoided conversion,LEY GENERAL DEL EQUILIBRIO ECOLÓGICO Y LA PROTECCIÓN AL AMBIENTEhttps://biblioteca.semarnat.gob.mx/janium/Documentos/Ciga/agenda/DOFsr/148.pdf,"Esta ley ha logrado dotar de importancia fundamental legal a la biodiversidad, garantizar el cumplimiento del derecho constitucional a un medio ambiente sano, e impulsar medidas de compensación ambiental en México "
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional policies on avoided conversion,El Programa Estatal de Desarrollo Urbano y Ordenamiento Ecológico Territorialhttps://iplaneg.guanajuato.gob.mx/peduoet/,"Este programa ordena el territorio mediante Unidades de Gestión Ambiental y Territorial conocidas como UGAT, que determina las actividades permitidas y no permitidas en cada unidad, así como las vocaciones de las mismas, en el estado de Guanajuato"
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional laws on avoided conversion,Código Territorial para el Estado y los Municipios de Guanajuatohttps://www.congresogto.gob.mx/codigos/codigo-territorial-para-el-estado-y-los-municipios-de-guanajuato,"Esta regulación ordena el territorio de acuerdo conlas necesidades sociales pero también medioambientales, en el estado de Guanajuato"
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,National laws on improved forest management,Ley General de Desarrollo Forestal Sustentablehttps://www.diputados.gob.mx/LeyesBiblio/pdf/LGDFS.pdf,Esta ley ha permitido regular la explotación forestal y fomentar el aprovechamiento sustentable en el país
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Regional laws on improved forest management,LEY DE DESARROLLO FORESTAL SUSTENTABLEPARA EL ESTADO Y LOS MUNICIPIOS DE GUANAJUATOhttps://congresogto.s3.amazonaws.com/uploads/reforma/pdf/3307/Ley_de_Desarrollo_Forestal_Sustentable_para_el_Estado_y_los_Municipios_de_Guanajuato_PO_23Nov2021.pdf,Esta ley ha permitido regular la explotación forestal y fomentar el aprovechamiento sustentable en el el estado de Guanajuato
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Management of Protected Areas,Decretos de declaración de áreas naturales protegidas de carácter estatal. https://smaot.guanajuato.gob.mx/sitio/areas-naturales-protegidas,"Con el propósito de garantizar la preservación y conservación de nuestro patrimonio natural y asegurar el aprovechamiento sustentable y disponibilidad de los recursos naturales en el Estado de Guanajuato, a partir del año 1997 el Ejecutivo del Estado ha venido realizando la declaratoria y manejo integral de Áreas Naturales Protegidas."
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Management of Protected Areas,Áreas Destinadas Voluntariamente a la Protección y Restauración de la Biodiversidad,"Se protege y conservan los elementos y recursos naturales presentes en una zona y se revierte paulatinamente la degradación en suelo, agua, flora y fauna; a su vez, se fortalece la conectividad biológica con las Áreas Naturales Protegidas (ANP) estatales, para evitar zonas de aislamiento poblacional de flora y fauna."
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,https://www.hcnl.gob.mx/trabajo_legislativo/leyes/leyes/ley_de_desarrollo_forestal_sustentable_del_estado_de_nuevo_leon/\n,cursos de capacitacion a todos los municipios del area metropolitana para el manejo y cuidado de los actuale sy nuevos arboles. 
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Management of Protected Areas,"https://www.pronaturanoreste.org/post/sierra-de-picachos#:~:text=En%202019%20el%20entonces%20Gobernador,Sabinas%20Hidalgo%20y%20Salinas%20Victoria.","Después de casi 7 años de mantenerse una disputa legal contra empresas de pedreras y desarrolladores inmobiliarios que perseguían permisos para depredar la Sierra de Picachos en el Municipio de Higueras, Nuevo León, la Suprema Corte de Justicia de la Nación finalmente emitió su fallo declarando improcedente la controversia constitucional sobre el decreto de ampliación de esa zona protegida. "
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Other: Bosques Ciudadanos,https://www.nl.gob.mx/programa-bosquesciudadanos,"Este proyecto busca incrementar los beneficios biológicos, sociales y económicos del arbolado urbano nativo a través de la reforestación masiva ciudadana, entregando árboles hasta lograr la plantación de 1 millón de especies nativas. "
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Regional laws on improved forest management,https://www.hcnl.gob.mx/trabajo_legislativo/leyes/leyes/ley_para_la_conservacion_y_proteccion_del_arbolado_urbano_del_estado_de_nuevo_leon/,
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Management of Protected Areas,https://www.nl.gob.mx/es/boletines/firman-convenio-conagua-y-gobierno-del-estado-para-custodia-de-rio-santa-catarina,Convenio CONAGUA y Gobierno del Estado para custodia de Río Santa Catarina
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on improved forest management,https://peraturan.bpk.go.id/Home/Details/161853/pp-no-23-tahun-2021,Every sector in North Kalimantan has followed this regulation on improved forest management.
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on improved forest management,Provincial Forestry Plan for 20 years (2023-2043). This is a governor regulation that sets out long-term forestry plans.\n\nhttps://peraturan.bpk.go.id/Details/286983/pergub-prov-kalimantan-utara-no-14-tahun-2023?utm_source=chatgpt.com,"This Governor Regulation serves as the 20-year forestry master plan and safeguards forest protection by integrating conservation targets, forest fire prevention, and watershed rehabilitation into provincial development planning. Implementation is ensured through mandatory five-year evaluations, annual supervision, and alignment with spatial planning and other sectoral policies. The regulation mandates that activities be funded through the APBD and other lawful sources, making forest protection a budgeted priority and providing a legal basis for monitoring, enforcement, and adaptive management."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional policies on avoided conversion,Peraturan Daerah Kaltara No. 05 Tahun 2023 - HTI / Forest Plantation Regulation\n\nhttps://peraturan.bpk.go.id/Download/356845/PerDa%20Kaltara%2005-2023.pdf?utm_source=chatgpt.com\n,"This regulation safeguards forests by setting strict criteria for issuing industrial plantation forest (HTI) licenses, limiting conversion to ecologically suitable areas, and prohibiting expansion in protected zones. Implementation is carried out through provincial forestry agency oversight, environmental impact assessments, and compliance monitoring. The regulation includes sanctions for violations and obliges license holders to rehabilitate or reforest degraded land, ensuring that plantation development does not undermine long-term forest sustainability."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Targets to address deforestation/forest degradation are set,Forestry Work Plan of the Provincial Forestry Office for 2022.,"This annual forestry work plan safeguards forests by allocating provincial budget resources for reforestation, forest patrols, fire prevention, and social forestry programs. Implementation is done through field operations, community involvement in forest monitoring, and satellite-based surveillance to detect illegal logging or encroachment. The plan requires periodic reporting and evaluation, ensuring accountability and continuous improvement of forest protection efforts."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Long-term forest management/protection/conservation plans,"Visi Papua 2100\n\nThe Papua Provincial Government is committed to ensuring that efforts to preserve the natural resources of the Land of the Cenderawasih will remain a priority to be pursued in the future.\n\nThis was stated by Papua Governor Lukas Enembe in a written speech read by Noak Kapisa, Assistant for Economic Affairs and Social Welfare to the Papua Regional Secretary, during the opening of the ICBE 2018.\n\nhttps://www.papua.go.id/index.php/view-detail-berita-5992/index.html","Papua Province has designed a road map entitled \'Vision 2100 Papua\' to enhance the happiness and quality of life for all its people. This strategic plan aims to achieve a high standard of living in a fair and equitable manner. Concurrently, it emphasizes the importance of preserving and protecting Papua's natural environment—land, water, and air—while also improving its quality."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on avoided conversion,Special Regional Regulation No. 21/2008\non Sustainable Forest Management\n\nhttps://peraturan.bpk.go.id/Details/125349/perdasus-papua-no-21-tahun-2008,"The Special Regional Regulation No. 21 of 2008 on Sustainable Forest Management in Papua is implemented through a community-based approach that emphasizes the involvement of indigenous communities in forest management. This approach aims to enhance sustainability and protect the rights of indigenous people, while also addressing the broader environmental and cultural concerns in Papua."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,National laws on avoided conversion,Presidential Instruction (Inpres) Number 5 of 2019 concerning Termination of the Granting of New Permits and Improving Governance of Primary Natural Forests and Peatlands\n\nhttps://peraturan.bpk.go.id/Details/116964/inpres-no-5-tahun-2019,"The forest moratorium policy is implemented to reduce the rate of deforestation and forest degradation by controlling the extent of concession areas. In the latest presidential instruction in 2019, the implementation period of this Presidential Instruction was to be reported by the Minister of Environment and Forestry to the President every six months or whenever necessary. his document is applicable nationwide, not specifically for Papua."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,National laws on improved forest management,"Law No. 41 of 1999 on Forestry\nThis law establishes the legal framework for forest management in Indonesia. It defines the status of forests as state-controlled resources, sets principles for sustainable forest management, conservation, protection, and utilization, and regulates the rights and responsibilities of government, communities, and businesses in forestry. The law also provides the basis for forest area designation, licensing, and law enforcement related to forest protection and use\n\nhttps://peraturan.bpk.go.id/Download/33873/UU%20Nomor%2041%20Tahun%201999.pdf?utm_source=chatgpt.com","Safeguards are implemented through risk screening, integration of mitigation measures into plans, and clear assignment of responsibilities. Compliance is ensured through monitoring, reporting, and grievance mechanisms, with periodic reviews to update actions based on new risks and stakeholder input."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,National laws on improved forest management,"Government Regulation No. 23 of 2021 on Forestry Implementation provides the legal framework for forest management in Indonesia. It regulates planning, forest area designation and conversion, utilization, social forestry, protection, supervision, and administrative sanctions. The regulation replaces older forestry rules and aligns forest governance with the Job Creation Law\n\nhttps://peraturan.bpk.go.id/Download/154528/PP%20Nomor%2023%20Tahun%202021.pdf?utm_source=chatgpt.com","The safeguard under Government Regulation No. 23/2021 is implemented by requiring all forest use and conversion to follow formal planning and licensing procedures, supported by environmental and social assessments. Forest protection measures are enforced through monitoring, reporting, and administrative sanctions, while social forestry schemes ensure community participation. Compliance is maintained through periodic evaluation by the Ministry of Environment and Forestry and provincial forest agencies, with sanctions applied for non-compliance"
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Jurisdictional approaches or initiatives,"The Province of Papua has developed a Safeguards Information System (SIS) document for REDD+, consisting of 7 safeguard pillars: \n1. Legal Compliance And Consistency With The National Forestry Program \n2. Transparency And Effectiveness Of National Forest Governance \n3. Rights Of Indigenous Peoples And Local Communities \n4. Effectiveness Of Stakeholder Participation \n5. Consistent With The Conservation Of Natural Forests And Biodiversity, Ensuring That Redd+ Actions Are Not Used To Convert Natural Forest But Instead To Provide Incentives For The Protection And Conservation Of Natural Forests And Ecosystem Services, As Well As To Enhance Other Social And Environmental Benefits. \n6. Actions To Address Risk Of Reversals\n7. Actions To Reduce Emission Displacement.","Security is carried out through land cover monitoring and forest security patrols. And if security is not implemented, there will be an increase in deforestation."
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Management of Protected Areas,"http://www.balitbangda.papuabaratprov.go.id/detailpost/aspirasi-teminabuan-sebagai-tindak-lanjut-deklarasi-manokwari#:~:text=Deklarasi%20Manokwari%20merupakan%20hasil%20International,berkelanjutan%20berbasis%20wilayah%20adat%20di","Manokwari Declaration:\nIn 2018, the Manokwari Declaration was signed by the governments of Papua and West Papua, committing to conserve at least 70% of their land as forest. This declaration aims to protect the rich biodiversity and ecosystem services of the forests, ensuring that economic development does not come at the expense of environmental sustainability\n(https://www.samdhana.org/stories/primary-forest-case-study)"
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional policies on avoided conversion,Lei 12.651/2012 - Lei de Proteção de Vegetação Nativa,Exigência do CAR para projetos de Supressão de Vegetação Nativa\n
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on avoided conversion,Lei 11.428/2006 - Lei da Mata Atlântica,Supressão de áreas de proteção ambiental apenas para utilidade publica.
