disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Government operations emissions inventory attachment,col2_Government operations emissions inventory link,col3_Year covered by inventory,col4_Boundary,col5_Gases included in the inventory,col6_Primary protocol,col7_Emissions sources included,col8_Has the inventory been audited/verified?,col9_Comment
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,GreenhouseGasInventoryofAntalyaCity2019v2023 (1).xlsx,,2019,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buses|Buildings|Water supply|Wastewater treatment|Waste collection|Thermal energy|Electricity transmission and distribution|Landfills|Municipal vehicle fleet|Street lighting and traffic signals|Electricity generation,"Yes, externally audited / verified (third-party verification)","The emissions inventory developed by the municipality includes both community-wide and government operations emissions, covering a variety of sources such as buildings, street lighting, municipal fleets, waste and wastewater treatment, and agriculture. However, the inventory is not yet fully aligned with a comprehensive consumption-based approach, nor does it include advanced Scope 3 components such as emissions from contracted services or supply chains.\n\nThe municipality has limited technical capacity and financial resources to develop a more detailed and consumption-based emissions inventory at this stage. Nevertheless, developing such an inventory is considered a medium-term goal, depending on the availability of external technical assistance and funding.\n\nThe current government operations inventory covers direct emissions from municipal buildings, street lighting, public transport, and waste treatment. The Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) methodology was used for classification and aggregation."
2025 Disclosure Cycle,779465,CDP,834120,City of Tanjungpinang,City,South East Asia & Oceania,Indonesia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Laporan IGRK fix cap ttd-1.pdf,https://bit.ly/laporanIGRK2022TPI,2021/2022,"Departments, entities or companies over which operational control is exercised",CO2,,Buses|Airport(s),"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,884005,Dhaka South City,City,India,Bangladesh,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Bangladesh Air Pollution Studies.pdf,https://doe.portal.gov.bd/sites/default/files/files/doe.portal.gov.bd/page/cdbe516f_1756_426f_af6b_3ae9f35a78a4/2020-06-10-16-30-6a8801bba5009c814b7d5cbeebebd3aa.pdf,2014,"Departments, entities or companies over which financial control is exercised",,,,,
2025 Disclosure Cycle,779465,CDP,919730,Lambeth Council,City,UKWW,United Kingdom,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Lambeth_Carbon_Emissions_2023-24_ACC.pdf,https://www.lambeth.gov.uk/environmental-services/climate-change-sustainability/carbon-emissions-reports,2023/2024,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,Own methodology used to calculate emissions from government operations,Street lighting and traffic signals|Water supply|Electricity transmission and distribution|Buildings|Wastewater treatment|Waste collection,"No, not audited / verified",
2025 Disclosure Cycle,779465,CDP,929965,Çorlu Belediyesi,City,UKWW,Türkiye,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Corlu_SECAP_Emission_Methodology.pdf,https://www.corlu.bel.tr/yayin/101/0/1/corlu-sustainable-energy-and-climate-action-plan,2019,"Departments, entities or companies over which operational control is exercised",CO2|CH4|HFCs|N2O,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Buildings|Wastewater treatment|Municipal vehicle fleet|Other: Industry|Waste collection|Airport(s)|Roads / highways,"Yes, externally audited / verified (third-party verification)","The Çorlu SECAP emissions inventory was prepared based on 2019 data. Emission sources are grouped into three main sectors: stationary energy, transportation, and waste. Data was obtained from the municipality, industry, and distribution companies. Calculations were made according to the IPCC and GPC protocols, i.e., the activity data × emission factor method was used. Turkey-specific electricity grid factors and IPCC standard factors were used."
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Informe Municipalidad El Quisco GEI.pdf,https://drive.google.com/file/d/1rP5Vs9VmwS8RitmUy4t6p9oAwMojH9l2/view?usp=drive_link,2019,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buildings,"Yes, externally audited / verified (third-party verification)",solo edificio consistorial del municipio
2025 Disclosure Cycle,779465,CDP,44210,Yeosu City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Yeosu City Local Government Emissions Inventory.pdf,,2023/2024,"Departments, entities or companies over which operational control is exercised",N2O|CO2|CH4,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Municipal vehicle fleet|Buildings,"Yes, externally audited / verified (third-party verification)","This is a greenhouse gas inventory for buildings and vehicles in Yeosu City. Annually, the city calculates greenhouse gas emissions from the public sector and submits a report of reduction efforts to the central government."
2025 Disclosure Cycle,779465,CDP,50543,"Halifax Regional Municipality, NS",City,North America,Canada,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,HRM_GHG_Inventory_CorporateGPC.pdf,,2024,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buildings|Street lighting and traffic signals|Waste collection|Municipal vehicle fleet|Buses,Other: Will be third-party audited,
2025 Disclosure Cycle,779465,CDP,58485,"Abington Township, PA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,AT 2019 ICLEI Clearpath Muni GHG Inventory screenshot.pdf,https://drive.google.com/file/d/11m1hh_sEMAw85s5a98Mmwr1oOfX_D9XB/view?uspsharing\n\n,2019,"Departments, entities or companies over which operational control is exercised",CO2|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Buildings|Municipal vehicle fleet|Waste collection|Wastewater treatment|Street lighting and traffic signals,"No, not audited / verified",The inventory is from the Township's municipal 2019 GHG inventory reported through its ICLEI Clearpath platform.\n
2025 Disclosure Cycle,779465,CDP,60393,Municipalidad de Santiago,City,Latin America,Chile,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Informe de cuantificación 2024 (base 2023).pdf,https://drive.google.com/file/d/1e2GrWTEEviyTANOR1hTjSMN8r15-m48y/view?usp=sharing,2023,"Departments, entities or companies over which operational control is exercised",N2O|CH4|CO2,ISO 14064,Electricity transmission and distribution|Employee commuting (scope 3)|Street lighting and traffic signals|Buildings|Municipal vehicle fleet|Electricity generation|Waste collection|Employee commuting|Subway / underground|Buses|Roads / highways,"No, not audited / verified","El presente documento entrega los resultados de la cuantificación de las emisiones de Gases de Efecto Invernadero (GEI) organizacional de la Ilustre Municipalidad de Santiago, correspondientes al período 01/01/2023 al 31/12/2023. La cuantificación de esta huella de carbono se realizó siguiendo los lineamientos metodológicos del Programa HuellaChile, basado en la NCh ISO 14064/1:2019.\nLas emisiones de GEI correspondientes son 90.122,9 tCO2e, siendo las Emisiones ¨Otras emisiones indirectas”, las que contribuyen con la mayor parte de las emisiones totales en un 91,4%.\nLas principales fuentes de emisión de GEI son:\n‒\nFuente de emisión Relleno sanitario - Residuos municipales, que contribuye con 82.372 tCO2e, correspondiente al 91,1%.\n‒\nFuente de emisión Sistema Eléctrico Nacional - Sistema Eléctrico Nacional, que contribuye con un 2.968 tCO2e, correspondiente al 3,3%.\n‒\nFuente de emisión Medio terrestre - Petróleo 2 (Diesel), que contribuye con un 3.198 tCO2e. correspondiente al 3,1%."
2025 Disclosure Cycle,779465,CDP,73533,Intendencia de Canelones,City,Latin America,Uruguay,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,INGEI CANELONES.pdf,Ver reporte de INGEI Canelones,2023,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buildings|Landfills|Electricity generation|Buses|Electricity transmission and distribution|Incineration of waste|Waste collection|Municipal vehicle fleet|Employee commuting|Local trains|Airport(s)|Wastewater treatment|Street lighting and traffic signals,"No, not audited / verified",Ver reporte de INGEI Canelones
2025 Disclosure Cycle,779465,CDP,834374,Tagum City,City,South East Asia & Oceania,Philippines,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Tagum-City-GHG-Quantification-Spreadsheet.xlsx,,2020,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Electricity generation|Waste collection|Buildings,"No, not audited / verified",
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Relatório GEE Itapipoca.pdf,já foi anexada ,2023,"Departments, entities or companies over which operational control is exercised",CO2|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Electricity generation|Waste related emission sources (scope 3)|Buildings|Waste collection|Wastewater treatment,"Yes, externally audited / verified (third-party verification)",foi devidamente auditoria. 
