disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Health area affected by climate change,col2_Identify the climate hazard(s) that most significantly impact the selected health area,col3_Identify the health issues driven by the selected climate hazard(s),col4_Timeframe of impact,col5_Identify which vulnerable populations are affected by the selected health issue(s),col6_What factors affect your jurisdiction's ability to address the selected health issues,col7_Comment
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Extreme cold|Drought|Other: air pollution|Heat stress,Cold-related illnesses|Heat-related illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease,Long-term (after 2050),Other: citizens of Taichung City,Lack of financial capacity and expertise/technical capacity|Lack of financial capacity|Lack of expertise/technical capacity,"1.\tIn response to climate change that may increase the risk of cardiovascular disease in this city, we provide health measures for middle-aged and elderly people as well as high-risk groups for cardiovascular disease to cope with high temperatures. We post self-protection and health promotion messages on the official website and Facebook fans page of the Health Bureau, reminding people to reduce exposure to high temperatures and the five first-aid steps for heat stroke treatment (in order: shade, undressing, heat dissipation, drinking water, and sending to the hospital), and strengthen promotion for the public to prevent heat damage when going out. We also promote hypertension precautions and prevent cardiovascular diseases through the media and community circulation notification through the health centers and medical institutions in our jurisdiction.\n2.\tConsidering that long-term exposure to suspended particulates (PM2.5, dust) may cause respiratory diseases (such as obstructive pulmonary disease, asthma, etc.) and increase the risk of lung cancer, and according to the Health Promotion Administration, \'once chronic obstructive pulmonary disease is contracted, it is more likely to be accompanied by cardiovascular disease, osteoporosis, diabetes, lung cancer and other comorbidity.\' Since the course of chronic obstructive pulmonary disease is developing slowly and its symptoms are easily ignored, in order to protect the lung health of citizens, the Health Bureau, in cooperation with Taichung Veterans General Hospital from 2019 to 2023, and in combination with regional health offices, interior offices, community development associations, etc., has continued to promote lung function screening services for citizens over 40 years old as the front-end prevention of lung health, while strengthening the lung health education and training of medical staff in this city. In 2023, 3, 243 persons screening services were conducted in 2023. In addition, starting in 2022, we will cooperate with the National Health Administration to promote publicly funded lung cancer screening, providing low-dose CT scans for high-risk groups with a family history of lung cancer (males aged 45 to 74 or females aged 40 to 74) and a history of heavy smoking (50 to 74 years old with a smoking history of more than 20 pack-years) to enable early detection and early treatment."
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease,Food-borne infections and illnesses|Vector-borne infections and illnesses,Not known (not possible to define),"Children and youth|Other: General public, Low-income households, low- and middle-income households, newborns of aboriginal people, and citizens of this city",Lack of expertise/technical capacity|Lack of financial capacity,"1.\tWith the increasing warm climate, the active period of vector mosquitoes is gradually extending, the epidemic period of dengue fever is increasing, and the interval is shortening, posing a great threat to public health. In order to effectively prevent local dengue fever outbreaks, the city aims to determine the number of confirmed cases of dengue fever without local cases and continues to promote four major epidemic prevention measures as follows: (1) Block those overseas. (2) Community Epidemic Prevention. (3) Medical integration. (4) Epidemic prevention education.\n2.\tWet and hot environments is suitable for enterovirus to survive and transmit. The enterovirus epidemic has been on the rise since late March each year, reaching its peak from late May to mid-June. Severe cases are still mostly concentrated during the main epidemic period from April to September. In order to implement the prevention and control of enterovirus, Taichung City has strengthened supervision and inspection of hand-washing facilities and prevention mechanisms in various fields such as educational and childcare institutions, medical institutions, etc., completed the inspection and counseling of hand washing equipment in 1,044 home tutoring and childcare institutions in this city, and cooperated with the Central Control Center of the Disease Control Administration to conduct on-site counseling visits to 13 enterovirus critical hospitals. In addition, the Health Bureau, in conjunction with local resources, deepens community health education and prevention work through multiple channels every year. In 2024, the city cooperated with the Ronald McDonald House Charities to organize a campus hand-washing tour promotion activity, strengthened the importance of enterovirus prevention and control.\n3.\tSocially and economically disadvantaged groups (such as low-income households, low - and middle-income households, and indigenous peoples) often neglect disease prevention due to factors such as limited medical resources, insufficient medical information, and poor economic conditions, making them high-risk groups for rotavirus infection. By providing free subsidies for oral rotavirus vaccination services, we can reduce the threat of infection to infants and young children, avoid heavy family economic burdens and increased social costs caused by disease invasion, and realize the concept of caring for the health of infants and young children in disadvantaged families.\n"
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Extreme heat,Food-borne infections and illnesses|Vector-borne infections and illnesses,Not known (not possible to define),Other: Non-impact on specific vulnerable groups,Other: Non-impact on specific vulnerable groups," Climate change brings hotter and more humid weather, and bacterial growth increases the difficulty of storing food and increases the chance of food contamination, thereby increasing the risk of food poisoning. Related actions in 2024: (1) Strengthen food industry promotion: To reduce the risk of food poisoning, the Health Bureau strengthens the knowledge and skills of food poisoning prevention and control among industry operators and consumers through hygiene training and the use of online communities, and maintains public health. In 2024, 13 food poisoning prevention and control promotion images were published on the Facebook fans page of the Taichung Food and Drug Safety Department and were promoted in LINE groups for public awareness. (2) Actively handling investigations into food poisoning cases: This city has received a total of 157 cases of food poisoning, and has initiated prevention and control investigations by the \'Handling Procedures of Taichung City Government Health Bureau Suspected Food Poisoning Case\'. Based on the investigation data and inspection report results, it is determined whether a food poisoning case has been established. If there are any violations, they will be dealt with by the relevant provisions of the Food Hygiene Management Law. In addition, those involved and reported in food poisoning cases are required by law to participate in education and training. "
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat,Emotional and/or spiritual health impacts|Heat-related illnesses,,,,
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,River flooding|Urban flooding,Mental health impacts|Emotional and/or spiritual health impacts|Water-borne infections and illnesses,,,,
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health systems,Urban flooding|River flooding,Disruption of health-related services,,,,
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,4,Row 4,Health outcomes,Loss of green space/green cover,Heat-related illnesses|Emotional and/or spiritual health impacts|Mental health impacts,,,,
2025 Disclosure Cycle,779465,CDP,54395,Taoyuan City Government,City,China,East Asia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,"Heat stress|Extreme heat|Infectious disease|Hurricanes, cyclones, and/or typhoons|Coastal flooding (incl. sea level rise)|Extreme cold|Extreme wind|Urban flooding|Heavy precipitation",Water-borne infections and illnesses|Food-borne infections and illnesses|Disruption of health-related services|Exacerbation of non-communicable disease symptoms - respiratory disease|Cold-related illnesses|Vector-borne infections and illnesses,Long-term (after 2050),Outdoor workers|Vulnerable health groups,Lack of political priority|No factors affect the jurisdiction's ability to address health issues|Lack of expertise/technical capacity,"1.\tWhite Paper on Policies Addressing the Health Impacts of Climate Change\n2.\tVector-borne diseases are driven by extreme weather events. Flooding often leaves behind stagnant water, and rising temperatures create breeding grounds for disease-carrying mosquitoes. Dengue fever is currently the most prevalent vector-borne disease in Taiwan. Addressing mosquito-borne diseases under extreme climate conditions requires tackling root causes—such as eliminating standing water and improving flood management—rather than attributing them solely to climate change.\nRespiratory and foodborne infectious diseases linked to extreme climate conditions should be mitigated through strengthened public health education, promotion of hand hygiene, and other good personal habits. Thus, these cannot be classified purely as direct climate-related outcomes either."
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,City,Europe,Finland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Heat stress|Snow and ice|Extreme heat,Heat-related illnesses|Food & nutrition security|Direct physical injuries and deaths due to extreme weather events,,,,
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,City,Europe,Finland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health systems,Heat stress|Extreme heat,Disruption to health service provision and service accessibility,,,,
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Snow and ice|Infectious disease|Extreme heat,"Disruption to water, sanitation, and wastewater service provision and service accessibility|Overwhelming of health service provision due to increased demand|Disruption of health-related services",Medium-term (2026-2050),Children and youth|Vulnerable health groups|Elderly,Lack of financial capacity,"Storms can disturb water and electricity distribution and hence impact the operation of hospitals and health care centers. It is crucial that the facilities have emergency plans to address this kind of situations. In addition, climate change related health issues have the potential to increase demand for health care in general and thus overwhelm the system or at least cause significant costs for it. For instance, the rescue services in Tampere regional area have already identified an upward trend in extreme weather related tasks and estimated that they have caused and will cause considerable costs for them."
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Infectious disease|Urban flooding|Heavy precipitation|Extreme heat|Snow and ice,Water-borne infections and illnesses|Heat-related illnesses|Direct physical injuries and deaths due to extreme weather events|Mental health impacts|Vector-borne infections and illnesses,Medium-term (2026-2050),Children and youth|Elderly|Vulnerable health groups|Low-income households,Lack of financial capacity,"High temperature periods in summer will be more frequent in the future and increase mortality rates among elderly and chronically ill people especially. In late autumn and winter the lack of snow can result in more people experiencing seasonal affective disorder than before. Slipping injuries and traffic accidents will also be more likely because maintaining roads, streets and yards in good condition becomes a challenge if the temperature hovers around zero degrees for long periods of time.Regarding infections and illnesses, number of borreliosis and tick-borne encephalitis cases is expected to increase in the future due to longer growing season. Water-borne infections and illnesses can also become more common because heavy rainfalls, flooding and increased temperatures can worsen surface water and groundwater quality."
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Urban flooding,"Other: So far, we have not witnessed any significant health issues due to climate-related matters.",Short-term (by 2025),"Other: None, so far.","Other: So far, we face no problems addressing health issues due to climate change.","The problems are not yet significant enough to be measured. It is anticipated that heat-related issues will primarily affect elderly people in the future, but this is not something we are currently experiencing. The health authorities can easily manage the issues we have seen so far. Additionally, if the AMOC were to shut down suddenly, it would be an entirely different situation."
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Snow and ice|Other: Increased amounts and new types of pollen,Exacerbation of non-communicable disease symptoms - cardiovascular disease|Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses,Medium-term (2026-2050),Elderly|Children and youth|Outdoor workers|Vulnerable health groups,Lack of financial capacity,"Temperatures in Finland are expected to rise more and faster than the global average. This will lead to a more (and more intense) heat waves during the summer. The impact is intensified by the heat island effect and intensification of land use within the city. Research shows that health-wise the optimum temperature for Finns is +14 C. Extreme hot temperatures poses challenges to public health (especially among the elderly and other vulnerable groups) and increase demand for energy during summer (due increased demand for cooling). It is estimated that currently 15-20 % of citizens suffer from pollen. This share is expected to increase. Also, the pollen season is expected to lengthen. Causes e.g. increased burden in health care and decreases performance at work. New, less serious effects, come from more slippery conditions during winter. The winter temperature used to be clearly below zero, so winter maintenance was easier. Now, more days and periods where temperature fluctuates above and below zero are expected (and already happening) making the maintenance of roads and pavements more difficult. This increases the risk of slips and falls as well as road accidents."
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Extreme heat|Heat stress,Heat-related illnesses,Medium-term (2026-2050),Elderly|Vulnerable health groups,No factors affect the jurisdiction's ability to address health issues,Health services are not adequately prepared to handle effects of extreme and / or prolonged heat as traditionally has not been that significant in Oulu / Finland. Hospitals and other buildings do not have sufficient air-conditioning / cooling capacities. A new regional university hospital is currently being built. Shading and other indirect methods of cooling (e.g. changing lighting so that is doesn't produce as much excess heat) have been implemented in older buildings. After the renwal of the healt care organisation it is no longer the reponsibility of the municipalities but regional government. Thus the city has a more limited role than before.
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Drought|Extreme heat|Heat stress,Heat-related illnesses,Medium-term (2026-2050),Vulnerable health groups|Elderly,No factors affect the jurisdiction's ability to address health issues,
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,City,Europe,Iceland,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease,Vector-borne infections and illnesses,,,,The most recent report on the effects of Climate change was made in 2023 \nHere is the link to the icelandic version www.https://www.loftslagsbreytingar.is/\n\nThere is a discussion on health and how it will possibly negatively be affected with insects\n
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,City,Europe,Netherlands,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",,,,,,
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat,Heat-related illnesses|Water-borne infections and illnesses,,,,"Because the changing climate we have hotter and dryer years recently in Holland. Therefore we have more problems with water- related diseases (Blue algae, Botulism) in our ponds. We also face more heat stress in the city and therefore the health organisations have more work in order to help elderly people (living on their own) and children (schools and kinder gardens) to avoid heat stress. Together with the health and welfare organisations we have set up years ago a Local Heat Plan which describes what to do in times of a heat wave. Together with them we also encourage the citizens to come up with ideas for greening their neighbourhoods. And together with them and scientific institutes we work on investigatios and monitoring heat problems inside houses."
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Areas outside the health sector,Extreme wind|Storm,"Damage/destruction to health infrastructure and technology, including access modes",Not known (not possible to define),Vulnerable health groups,,"We have a well-functioning healthcare system, but the health sector is highly dependent on physical infrastructure."
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Mass movement,Emotional and/or spiritual health impacts|Disruption to health service provision and service accessibility|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Disruption of health-related services|Mental health impacts|Overwhelming of health service provision due to increased demand|Direct physical injuries and deaths due to extreme weather events|Exacerbation of non-communicable disease symptoms - other,Medium-term (2026-2050),Elderly|Vulnerable health groups|Frontline workers,Lack of expertise/technical capacity,A scenario of large landslide and the consequences for both the health system and health of people both directly and indirectely affected is being integrated in main preparedness plan to be finalized in 2024
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Storm|Heavy precipitation|Heat stress|Mass movement,"Mental health impacts|Heat-related illnesses|Overwhelming of health service provision due to increased demand|Disruption of health-related services|Emotional and/or spiritual health impacts|Direct physical injuries and deaths due to extreme weather events|Damage/destruction to health infrastructure and technology, including access modes|Disruption to health service provision and service accessibility",Medium-term (2026-2050),Vulnerable health groups|Low-income households|Frontline workers|Elderly,Lack of expertise/technical capacity," The risk and vulnerability analysis (see 2.0b) for Trondheim shows that it is the risk of landslides that is the climate-related event that constitutes the highest risk for the impact area life and health in Trondheim. The risk of extreme precipitation, rockfall, quick clay landslides, strong winds, storm surges and forest fires pose a medium risk. Heat stress may be added to the medium risk. We have experienced that heat stress has consequences today affecting vulnerable groups. This is partly due to old building stock not well suited for heat periods. Overall, it is likely that there will be social differences in how climate changes affect the population. Economic inequality in Norway is low compared to other countries, but the differences between rich and poor have increased since the 1980s. The Holden committee's reports show that the differences in Norway have also become greater as a result of the covid-19 pandemic since the measures have hit very badly (Health Directorate, 2020) "
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Storm|Fire weather (risk of wildfires)|Heavy precipitation|Urban flooding|Extreme wind|Mass movement,"Disruption to water, sanitation, and wastewater service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Damage/destruction to health infrastructure and technology, including access modes|Disruption of health-related services",,,,This information is based on information from a risk and vulnerability analysis for Bergen. The stated climate hazards are considered most likely for Bergen. The associated health issues are also derived from the same analysis. Work on a new analysis has now started. Climate risk and associated challenges are expected to be given greater prominence.
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Do not know,Heavy precipitation|Extreme heat|Heat stress|Urban flooding|River flooding,Heat-related illnesses,,,,Jönköping County Administrative Board released a new report on how climate change might affect different parts of the county this year.
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Extreme heat|Snow and ice,Direct physical injuries and deaths due to extreme weather events,Short-term (by 2025),Marginalized / minority communities|Vulnerable health groups|Outdoor workers|Elderly,,
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Soil degradation/erosion|Mass movement,"Direct physical injuries and deaths due to extreme weather events|Damage/destruction to health infrastructure and technology, including access modes|Water-borne infections and illnesses",,,,Mass movement and erosion could lead to unstable ground conditions that cause accidents. Increased soil degredation in dry periods results in a bigger risk that polluted storm water infiltrates the ground water. That might affect the drinking water in some areas.
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease,Vector-borne infections and illnesses,,,,"New infectious diseases come with the warming climate. Ticks, fleas, mosquitoes and other vectors survive longer during the year and spread diseases further north. There is also a risk for more parasites. A warmer climate is more favorable to respiratory infections and skin diseases."
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Urban flooding|River flooding|Heavy precipitation,"Disruption of health-related services|Disruption to water, sanitation, and wastewater service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Disruption to health service provision and service accessibility|Water-borne infections and illnesses",,,,"Flooding can lead to contamination of water and water sources, hinder health staff reaching work or reaching the patients, delays in deliveries of necessary medical goods, and of course direct physical harm if people are caught by the flooding water."
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,4,Row 4,Health outcomes,Drought|Fire weather (risk of wildfires)|Heat stress|Extreme heat,"Food & nutrition security|Water-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Disruption to water, sanitation, and wastewater service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Heat-related illnesses",,,,"Heat waves and higher temperatures are likely to coincide with drought and increase the risk of wildfires. Heat waves cause increased mortality in the population. Vulnerable groups are elderly, people with chronic disease such as heart conditions, diabetes and mental illnesses. Medicine has to be discarded due to surpassing temperature limits. Drought limits possibilities to cool down using water. Wildfires can cause direct physical harm, as well as impact infrastructure. The smoke can lead to respiratory problems further away. Higher temperatures lead to higher bacterial growth which is a risk when it comes to food. Drought can also lead to food shortages."
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,5,Row 5,Health systems,Urban flooding|Heavy precipitation|River flooding,"Damage/destruction to health infrastructure and technology, including access modes|Direct physical injuries and deaths due to extreme weather events|Disruption to water, sanitation, and wastewater service provision and service accessibility|Disruption to health service provision and service accessibility",,,,"Flooding might lead to disrupting the service accessibility, for example the health service systems, when for example roads are no longer functioning."
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,6,Row 6,Health systems,Infectious disease|Extreme heat|Drought|Heavy precipitation,"Food & nutrition security|Disruption to water, sanitation, and wastewater service provision and service accessibility|Water-borne infections and illnesses",,,,"Higher temperatures might contaminate the drinking water. Ground water might face water shortages during drought. It does not only affect the water quantity but also the quality, as drought might cause salt water intrusion into the ground water. Heavy precipitation risk to spread the contaminated water faster."
2025 Disclosure Cycle,779465,CDP,54516,Norrköping Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Areas outside the health sector,Fire weather (risk of wildfires)|Biodiversity loss|Urban flooding|Coastal flooding (incl. sea level rise)|Mass movement|Extreme heat|Extreme wind,"Disruption to water, sanitation, and wastewater service provision and service accessibility|Food & nutrition security|Direct physical injuries and deaths due to extreme weather events|Disruption to health service provision and service accessibility",,,,
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Heat stress|Extreme heat,Heat-related illnesses,Medium-term (2026-2050),Children and youth|Outdoor workers|Elderly|Vulnerable health groups,Lack of expertise/technical capacity,"Climate change impacts on health outcomes and health services in Helsingborg\n\nHelsingborg's Quality of Life Programme highlights several important links between climate, environment, and health. The city is working to reduce climate impact and strengthen resilience through instruments such as the Climate and Energy Plan, the Climate Adaptation Plan, and the Stormwater Plan. The programme underlines that air pollution, noise, and limited access to green areas negatively affect health, while access to nature and opportunities for recreation contribute to improved physical and mental well-being. It also draws attention to challenges such as mental health issues, social isolation, and unequal exposure to environmental risks across different neighbourhoods.\n\nHowever, the programme does not provide a detailed analysis of direct climate-related health impacts, such as heatwaves, vector-borne diseases, or the effects of extreme weather events on vulnerable groups. Nor does it address in detail how health and care services may be strained by climate change or specify quantitative indicators to monitor these impacts. Further work is therefore needed to assess direct health outcomes of climate change and to develop adaptation strategies within the healthcare sector."
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease,Vector-borne infections and illnesses,,,,The number of ticks and also the diseases they carry are increasing.
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Extreme heat,Heat-related illnesses,,,,Elderly care and pree-schools are not sufficiently equipped to keep elderly and children cool during heat-waves. 
2025 Disclosure Cycle,779465,CDP,54529,City of Leicester,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Heat stress,Overwhelming of health service provision due to increased demand|Heat-related illnesses,Short-term (by 2025),Elderly|Low-income households|Vulnerable health groups|Children and youth,Lack of financial capacity and expertise/technical capacity,"Increasing summer temperatures and extreme weather events are likely to significantly raise the likelihood of heat-related illness in the city. This is likely to be an issue that has the most impact on those in substandard or over-occupied housing, who are also the least likely to be able to afford to make material changes to their homes to mitigate this impact. These areas of the city are also more likely to lack shading from trees and greenery. Recent years have seen increasing evidence of extreme heat events in the city and across the UK."
2025 Disclosure Cycle,779465,CDP,54529,City of Leicester,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Urban flooding|River flooding,"Mental health impacts|Disruption to water, sanitation, and wastewater service provision and service accessibility|Disruption to health service provision and service accessibility",Short-term (by 2025),Low-income households|Marginalized / minority communities|Elderly,No factors affect the jurisdiction's ability to address health issues,"Flooding represents a major risk to a number of health sites in the city. This has been seen recently in the city as very high levels of rainfall have resulted in the emergency three-month closure of a large health centre in the city, with alternative provision needing to be implemented."
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Heat stress,Overwhelming of health service provision due to increased demand|Heat-related illnesses,,,,"A local Heatwave Plan, including alert systems and details of the response coordination is updated yearly by the Public Health team in Brighton and Hove City Council. 2022 was the warmest year on record with temperatures in excess of 40 degrees recorded for the first time Climate and health security(https://www.gov.uk/government/publications/heat-mortality-monitoring-reports/heat-mortality-monitoring-report-2023). During four periods of heat in 2024, there were 1,311 heat-associated deaths in England. This was 282 more deaths than predicted, based on the observed temperatures and historic temperature-mortality trends. (https://ukhsa.blog.gov.uk/2025/06/11/heat-health-what-you-need-to-know-for-summer-2025/). A range of mild to severe health impacts can result from exposure to high temperatures including: • Headache, dizziness and confusion; loss of appetite and feeling sick; heat cramps; heat rash; heat oedema; heat exhaustion and heatstroke. • Increased numbers of admissions to hospital and consultations with GPs, and additional demands placed on emergency services. • Fatalities, particularly among the vulnerable and older people. The main causes of illness and death during a heatwave are exacerbation of respiratory and cardiovascular illness. Severe and extended heatwaves can also cause severe disruption to general city infrastructure and public services like transport, waste collection, wastewater management, water distribution, energy provision and the health services. The number of visitors in the city of Brighton & Hove rises sharply in the summer and during other major holidays. This can have an impact on the capacity of health services, especially during periods of intense heat. According to the Met Office's UKCP18 predictions (https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/research/ukcp/ukcp18-fact-sheet-derived-projections.pdf) summers are expected to be up to 5 degrees hotter in the South East between 2061 and 2080 - The probability of exceeding 30ºC for more than 2 days rises from typically once every 4 years now, to about four times every year by 2070s. Environmental risk factors for increased exposure to heat include living in urban areas. This can be due to the urban heat island, poor access to green space and/or housing of a type that overheats. One in five homes in England are prone to overheating (such as south-facing top-floor flats) and few (less than 3%) have air conditioning. Many of these environmental factors disproportionately affect those on lower incomes, and this group are also more likely to have increased exposure at work, for example working outdoors or on tasks that involve high temperatures. Climate Just have produced a heat vulnerability index which shows that there are areas in Brighton & Hove at relatively high risk within Whitehawk, Central Brighton, Moulsecoomb, Coldean and Stanmer (https://www.climatejust.org.uk/map.html). More work is needed to integrate results from our Urban Heat Island spatial analysis (2023), which takes into account additional environmental factors such as surface albedos, with Climate Just's Socio Spatial Heat Vulnerability Index."
