disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,44191,Ansan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17,8,2024,https://www.airkorea.or.kr/web/detailViewDown?pMENU_NO=125,에어코리아의 대기환경 월간/연간 보고서 참조
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),23.25,8,2024,https://www.airkorea.or.kr/,-
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),0.02,8,2024,https://www.airkorea.or.kr/,-
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),230,,2024,https://www.airkorea.or.kr/,230(times/year)\n- (SO2) : 0 (times/year)\n- (CO) : 0 (times/year)\n- (NO2) : 0( times/year))\n- (PM 10) : 53 (times/year)\n- (PM 2.5) : 177 (times/year)\n- (O3) : 0 (times/year)
2025 Disclosure Cycle,779465,CDP,44205,Gwangmyeong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),36,2,,,
2025 Disclosure Cycle,779465,CDP,44205,Gwangmyeong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),0.019,,,,
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),22,2,2022,airkorea.or.kr,Use of statistical data by cityUse of statistical data by city
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),0.012,2,2022,airkorea.or.kr,Use of statistical data by city
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),45,,2022,airkorea.or.kr,Number of times ozone environmental standards (0.1ppm/24h) were exceededof times ozone exceeds environmental standards
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),99,,2022,airkorea.or.kr,Number of times ozone environmental standards (0.06ppm/24h) were exceededof times ozone environmental standards (0.1ppm/24h) were exceeded
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Number of days exceeding air quality guidelines/standards (times/year),9,,2022,airkorea.or.kr,Number of times the fine dust (PM-10) environmental standard (10ug/m3-24h) was exceeded
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Number of days exceeding air quality guidelines/standards (times/year),53,,2022,airkorea.kr,Number of times fine dust (PM-2.5) environmental standards (35ug/m3-24h) were exceeded
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: SO2(sulfur dioxide)ppm,0.004,2,2022,airkorea.kr,Use of statistical data by cityUse of statistical data by city
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),0,,2024,https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing,Total 0 days are breeching National Ambient Air Quality Standards out of total 345 observed days as per CPCB. 
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),36.1,10,2024,https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing,Under the National Ambient Air Quality Standard
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM10 (ug/m3),102.8,10,2024,https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing,"In FY 2021-22, highest PM10 exceedance days are\nobserved in Raikhad (80%), followed by Maninagar\n(71%), and Vatva (70%). "
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),22.75,10,2024,https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing,Under the National Ambient Air Quality Standard
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8,3,2021,https://www.euskadi.eus/web01-a2ingai2/es/aa17aCalidadAireWar/estacion/mapa?locale=es\n,"En el enlace Web suministrado se accede a los datos de la Red de Vigilancia y Control de la Contaminación del Aire de la Comunidad Autónoma del País Vasco, gestionada por el gobierno regional. En Vitoria-Gasteiz, la red consta de 4 estaciones de medida, en las que se determinan los siguientes contaminantes: NOx (NO + NO2), PM10, PM2,5, SO2, CO, O3, BETX, HAP y metales pesados. El Ayuntamiento de Vitoria-Gasteiz publica anualmente en la Web municipal una memoria de calidad del aire con los datos obtenidos de la Red. . En el siguiente enlace:https://www.vitoria-gasteiz.org/wb021/was/contenidoAction.do?idioma=es&uid=u_5e6e0dc6_12a69b3efae__7fdd Además, dispone de 4 medidores de bajo coste, que van a ser ampliados en el futuro, para la medición local de partículas y NO2 en la Zona de Bajas Emisiones, que se está estableciendo en la ciudad."
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),16,3,2021,https://www.ingurumena.ejgv.euskadi.eus/r49-aa17a/es/aa17aCalidadAireWar/estacion/mapa?locale=es,"En el enlace Web suministrado se accede a los datos de la Red de Vigilancia y Control de la Contaminación del Aire de la Comunidad Autónoma del País Vasco, gestionada por el gobierno regional. En Vitoria-Gasteiz, la red consta de 4 estaciones de medida, en las que se determinan los siguientes contaminantes: NOx (NO + NO2), PM10, PM2,5, SO2, CO, O3, BETX, HAP y metales pesados. El Ayuntamiento de Vitoria-Gasteiz publica anualmente en la Web municipal una memoria de calidad del aire con los datos obtenidos de la Red. . En el siguiente enlace:https://www.vitoria-gasteiz.org/wb021/was/contenidoAction.do?idioma=es&uid=u_5e6e0dc6_12a69b3efae__7fdd Además, dispone de 4 medidores de bajo coste, que van a ser ampliados en el futuro, para la medición local de partículas y NO2 en la Zona de Bajas Emisiones, que se está estableciendo en la ciudad."
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: O3,141,8,2023,https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf,"El valor objetivo de protección de la salud humana expresado como número de días de más de 120 μg/m³, media 8 horas móvil : 4\n\nLos datos se miden de manera horaria con los sensores del ayuntamiento. Existe un informe sobre la situación de la calidad del aire en la ciudad de \nZaragoza: https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf\n\nPara su evaluación se toma como referencia la Directiva Europea sobre calidad del aire (https://www.zaragoza.es/sede/portal/medioambiente/calidad-aire/informacion/normativa), que constituye la normativa de obligado cumplimiento. En nuestro caso no nos regimos por las directrices recomendadas por la OMS"
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),21,8,2023,https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf,"Los datos se miden de manera horaria con los sensores del ayuntamiento. Existe un informe sobre la situación de la calidad del aire en la ciudad de \nZaragoza: https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf\n\nPara su evaluación se toma como referencia la Directiva Europea sobre calidad del aire (https://www.zaragoza.es/sede/portal/medioambiente/calidad-aire/informacion/normativa), que constituye la normativa de obligado cumplimiento. En nuestro caso no nos regimos por las directrices recomendadas por la OMS"
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: SO2,4,6,2023,https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf,"Los datos se miden de manera horaria con los sensores del ayuntamiento. Existe un informe sobre la situación de la calidad del aire en la ciudad de \nZaragoza: https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf\n\nPara su evaluación se toma como referencia la Directiva Europea sobre calidad del aire (https://www.zaragoza.es/sede/portal/medioambiente/calidad-aire/informacion/normativa), que constituye la normativa de obligado cumplimiento. En nuestro caso no nos regimos por las directrices recomendadas por la OMS"
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10,24,6,2023,https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf,"Los datos se miden de manera horaria con los sensores del ayuntamiento. Existe un informe sobre la situación de la calidad del aire en la ciudad de \nZaragoza: https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf\n\nPara su evaluación se toma como referencia la Directiva Europea sobre calidad del aire (https://www.zaragoza.es/sede/portal/medioambiente/calidad-aire/informacion/normativa), que constituye la normativa de obligado cumplimiento. En nuestro caso no nos regimos por las directrices recomendadas por la OMS"
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: PM2.5,11,1,2023,https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf,"Los datos se miden de manera horaria con los sensores del ayuntamiento. Existe un informe sobre la situación de la calidad del aire en la ciudad de \nZaragoza: https://www.zaragoza.es/cont/paginas/catalogopublicaciones/doc/12399.pdf\n\nPara su evaluación se toma como referencia la Directiva Europea sobre calidad del aire (https://www.zaragoza.es/sede/portal/medioambiente/calidad-aire/informacion/normativa), que constituye la normativa de obligado cumplimiento. En nuestro caso no nos regimos por las directrices recomendadas por la OMS"
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10,1,2023,https://qualar.apambiente.pt/estatisticas,Portuguese law defines the limit value for the concentration of PM2.5 as 25 µm/m3 (Decreto-lei n. º 102/2010). The value presented is based on the results retrieved from the Sobreiras-Lordelo do Ouro Porto air quality station. 
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),27.5,2,2023,https://qualar.apambiente.pt/estatisticas,"The value reported is the average of the values measured at the two air quality measurement stations in Porto (Sobreiras-Lordelo do Ouro and Francisco Sá Carneiro-Campanhã), of 21 µm/m3 and 34 µm/m3, respectively. Portuguese law defines the limit value for NO2 as 40 µm/m3 "
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),17,,2023,https://qualar.apambiente.pt/estatisticas ,"Value related with PM10 parameter, reported at the two air quality measurement stations in Porto (Sobreiras-Lordelo do Ouro and Francisco Sá Carneiro-Campanhã); for the rest of the parameters the value is 0. "
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: O3,49.9,1,2023,https://qualar.apambiente.pt/estatisticas ,Portuguese law defines the limit value for the concentration of O3 as 180 µm/m3 (information limit; Decreto-lei n. º 102/2010). The value presented is based on the results retrieved from the Sobreiras-Lordelo do Ouro Porto air quality station.
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),2.8,4,2022,https://www.environnement.gouv.qc.ca/air/reseau-surveillance/telechargement.asp https://www.environnement.gouv.qc.ca/air/reseau-surveillance/graphiques.asp,"Les données sur la qualité de l'air sont récoltées par le ministère de l'Environnement, de la lutte contre les changements climatiques, de la Faune et des Parcs. La valeur inscrite correspond à la moyenne des 4 stations de surveillance."
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.2,4.0,2022.0,https://www.environnement.gouv.qc.ca/air/reseau-surveillance/telechargement.asp https://www.environnement.gouv.qc.ca/air/reseau-surveillance/graphiques.asp,"Les données sur la qualité de l'air sont récoltées par le ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs.La valeur inscrite correspond à la moyenne des 4 stations de surveillance."
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),36.0,,2021.0,https://www.environnement.gouv.qc.ca/air/iqa/statistiques/region/2021.htm https://www.iqa.environnement.gouv.qc.ca/contenu/grille_stat_jour.asp?annee=2021,"Les données sur la qualité de l'air sont récoltées par le ministère de l'Environnement, de la lutte contre les changements climatiques, de la Faune et des Parcs.La valeur inscrite correspond à la moyenne des 2 stations de surveillance pour lesquelles cette donnée est disponible.."
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),6,,2024,https://www.marc.org/document/2024-ozone-season-summary,There were 2 forecasted ozone alert days for the Kansas City Region in 2024 and 6 actual days with 8-hour ozone concentrations exceeding the 70 ppb standard.
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),24,2,2024,Not available,Direct communication with APCD
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.1,5,2024,https://louisvilleky.gov/sites/default/files/2025-02/20250217-air-quality-report.pdf,Louisville Air Pollution Control District (APCD) Monthly Air Quality Report
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),12,,2024,https://louisvilleky.gov/sites/default/files/2025-02/2024-annual-report.pdf,APCD Annual Report
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.1,3,2024,,Data from 2024 from Metro Department of Public Health Lockeland station.
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),5.8,2,2024,,5.8 is in ppb There is no NO2 measurement that is done in µg/m3.
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),5,,2024,,Data from 2024 from Metro Department of Public Health for number of ozone exceedances.
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: PM10,33.8375,9,2023,South African Air Quality Information System (SAAQIS),The data is drawn from 9 NAQI stations. 
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17.875,9,2023,South African Air Quality Information System (SAAQIS), The data is drawn from 9 NAQI stations. 
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),21.7375,9,2023,South African Air Quality Information System (SAAQIS) www.saaqis.gov.za,The data is drawn from 9 NAQI stations. 
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,No air pollution data to report,,,,,No other information is available 
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),150.5,6,2023,https://drive.google.com/file/d/1-VRpWnkXQnFoyEcIYmT2dCm9jcR0HxaO/view?usp=drive_link,"The purpose of this summary report is to explain how these datasets were developed, highlight the vital contributions of community members, and outline the next steps for identifying solutions to support those most vulnerable to rising temperatures and polluted air in Freetown."
2025 Disclosure Cycle,779465,CDP,49385,Bandung City,City,South East Asia & Oceania,Indonesia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),0,4,2024,https://dlhbandung.or.id/,Terdapat titik pemantauan AQMS yang tersebar di Kota Bandung
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.9,12,2023,https://www.city.kyoto.lg.jp/hokenfukushi/cmsfiles/contents/0000090/90281/nenkannchi2023.pdf,
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),0.008,15,2023,https://www.city.kyoto.lg.jp/hokenfukushi/cmsfiles/contents/0000090/90281/nenkannchi2023.pdff,
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),4,,2023,https://en.ilmatieteenlaitos.fi/air-quality,Limit values were not exceeded in city of Turku. The numerical limit value (50 µg/m3) for respirable particles (PM10) was exceeded on 5 days - a maximum of 35 limit value exceedance days are allowed during a calendar year.
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM10 concentration (annual average) level (ug/m3),11,1,2023,https://en.ilmatieteenlaitos.fi/air-quality,Monitoring station: Turku Kauppatori (market square)
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),11,2.0,2023,https://en.ilmatieteenlaitos.fi/air-quality,Monitoring station: Turku Kauppatori (market square)
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),5.1,1,2023,https://en.ilmatieteenlaitos.fi/air-quality,Monitoring station: Turku Kauppatori (market square)
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17,3,2024,https://powietrze.gios.gov.pl/pjp/current/station_details/info/400,"All 9 stations of air pollution monitoring belong to the Main Inspector of Environment Protection. \n\nPM2.5 concentrations are monitored at three of these stations - Krasińskiego Alley, Bujaka and Bulwarowa.\n\nAll 9 Stations in Kraków: Złoty Róg, Krasińskiego Alley, Bujaka Street, Lusińska, Bulwarowa Street, Dietla Street, os. Piastów, Wadów, Kamieńskiego. https://powietrze.gios.gov.pl/pjp/station/search"
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),30,3,2024,https://powietrze.gios.gov.pl/pjp/current/station_details/info/400,"All 9 stations of air pollution monitoring belong to the Main Inspector of Environment Protection. \n\nNO2 concentrations are monitored at three of these stations - Krasińskiego Alley, Bujaka and Bulwarowa.\n\nAll 9 Stations in Kraków: Złoty Róg, Krasińskiego Alley, Bujaka Street, Lusińska, Bulwarowa Street, Dietla Street, os. Piastów, Wadów, Kamieńskiego. https://powietrze.gios.gov.pl/pjp/station/search"
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),23,,2024,https://www.bip.krakow.pl/zalaczniki/dokumenty/n/581632/karta\nRaport o Stanie Gminy 2024 (pdf),The permissible frequency of exceeding the permissible level of 50 μg/m3 in a calendar year is 35 days
2025 Disclosure Cycle,779465,CDP,50355,Ayuntamiento de Tijuana,City,Latin America,Mexico,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),34.9,10,2023,https://remah.unison.mx/,"REMAH Red de Monitoreo Ambiental de Hermosillo\n\nREMAH is the result of joint work between academics and students from the Universidad de Sonora and the Municipal Agency for Energy and Climate Change (AMECC). The project is part of the activities of the TEAMS group (Advanced Electric Transport and Sustainable Mobility Group), which aims to improve air quality in the cities of Hermosillo and Cuernavaca.\n\nSensor Network\n\nThe air quality monitoring network of the Municipal Agency for Energy and Climate Change of Hermosillo (AMECCH) includes 10 sensors located in different areas of the city. Readings are taken every five minutes and stored on a server, where the data analysis team can access the information and display it on consultation maps. An additional five sensors will be added to the network as part of the TEAMS project in collaboration with El Colegio de Sonora and the Universidad de Sonora."
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: PM10 Período Corto (promedio anual en ug/m3),192.83,77,2024,https://datos.rosario.gob.ar/territorio/ambiente/calidad-ambiental/aire,"Material Particulado de 10 micrones (PM10) período corto (20 minutos): el material particulado (MP) hace referencia a partículas inhalables que pueden ser de diferente tamaño y generalmente se definen por su diámetro aerodinámico. Las principales fuentes pueden tener diferentes orígenes, pero generalmente incluyen actividades domésticas, tráfico y transporte, actividades industriales, plantas de energía, sitios de construcción, quema de desechos e incendios. Se utiliza como indicador de este contaminante el promedio anual de todas las mediciones realizadas en un período de 20 minutos durante el año analizado, y se toma como referencia el valor límite de 500 µg/m3, establecido por la Resolución Provincial 201/2004 para PM10 período corto. Las mediciones se realizan mediante un convenio realizado con la Universidad Tecnológica Nacional - Facultad Regional Rosario (UTN - FRRo), en el que se establece la realización de seis (6) monitoreos de este contaminante por mes, en distintos puntos de la ciudad definidos por la Dirección de Fiscalización Ambiental (DFA). También se promedian las mediciones en calidad de aire realizadas por las empresas que cuentan con programas de monitoreos de emisiones atmosféricas aprobados por la DFA. Se realizan en 77 estaciones distintas y 98 mediciones."
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Material sedimentable en 30 días promedio anual (mg/cm2),0.89,71,2024,https://datos.rosario.gob.ar/territorio/ambiente/calidad-ambiental/aire,"Material Sedimentable en 30 días: el material particulado sedimentable se compone por partículas sólidas y/o líquidas, derivadas de procesos de combustión o compuestos, que estando suspendidos y dispersos en el aire se pueden sedimentar por gravedad debido a su tamaño. Se utiliza como indicador de este contaminante el promedio anual de todas las mediciones realizadas en un período de 30 días durante el año analizado y se toma como referencia el valor límite de 1 mg/cm2 por 30 días, establecido por la Ordenanza No. 5820/1994. Al igual que en los casos anteriores, las mediciones se realizan, mediante un convenio realizado con la UTN - FRRo, en el que se establece la realización de dieciséis (16) monitoreos de este contaminante por mes, en distintos puntos de la ciudad definidos por la DFA. También se promedian las mediciones en calidad de aire realizadas por las empresas que cuentan con programas de monitoreos de emisiones atmosféricas aprobados por la DFA. La cantidad de estaciones de monitoreo de este contaminante son 71 estaciones distintas de 145 mediciones.\n"
