disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Impacts,col2_Forests-related issue causing the impact,col3_Driver causing the impact,col4_Anticipated timescale,col5_Impact seriousness,col6_Impact description,col7_Primary action taken,col8_Status of action,col9_Action description
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Biodiversity loss,Conversion of natural habitats|Deforestation|Forest degradation,Fires,Medium-term,Serious,Disminución de la biodiversidad como consecuencia de los incendios forestales.,Increase awareness/engage all partners on sustainable forest management,Implementation,"Uno de los criterios que rige la política forestal gallega es el criterio general de conservación de la biodiversidad. Se entiende que, en todo caso, se debe garantizar la conservación y uso sostenible de la diversidad biológica que almacenan los montes como ecosistemas forestales, tanto de las especies de flora y fauna silvestres o de los recursos genéticos que albergan, como de los hábitats, ecosistemas y paisajes de los que forman parte. Esto implica adoptar criterios ecológicos y considerar un enfoque ecosistémico en la gestión forestal sostenible, interpretada como una gestión de hábitats forestales que contienen elementos y procesos biológicos, una gestión cercana al medio natural, sobre todo cuando se trata de espacios forestales protegidos."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Loss of carbon sinks,Other: |Deforestation|Forest degradation,Fires,Current,Serious,"Pérdida de la capacidad de absorción de CO2 de los bosques y el suelo, como consecuencia de los incendios forestales. ",Enforcing forest policies and regulations,Implementation,"Se está creando un decreto voluntario de carbono, con el que se potenciará la capacidad de los sumideros de carbono como herramienta para luchar contra las emisiones GEI y las consecuencias del cambio climático. Se prevé su aprobación a finales del 2025. "
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased wildfires,,,,"Other: no es grave, pero se considera importante analizarlo",Se trabaja en prevención de daños por incendios y en restauración. ,,,
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Other: Enfermedades y plagas,,,,Serious,"Ataques de Fussarium, banda roja y banda marrón en las masas de pino radiata y en pino laricio de Córcega en la Comarca Cantábrica que se va solventado con la corta de la especie y su sustitución por otras resistentes",,,
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Disruptions in the water cycle,Conversion of natural habitats|Forest degradation,Other: Solve the lack of forest management,Current,Extremely serious,- Alteraciones en el ciclo del agua.\n- Pérdida de productos y servicios forestales.\n- Pérdida de biodiversidad,Increase awareness/engage all partners on sustainable forest management,Implementation,"Life MIDMACC promueve la adaptación mediante la implementación y ensayo de diferentes medidas de gestión del paisaje para hacer frente a los retos relacionados con el cambio climático en zonas marginales de media montaña de España (La Rioja, Aragón y Cataluña), al tiempo que mejora su desarrollo socioeconómico:\n•Recuperación de pastos mediante la limpieza de matorral y implantación de la ganadería extensiva\n•Gestión forestal para la prevención y mantenimiento del riesgo de incendios con ganadería extensiva\n•Introducción y/u optimización del viñedo en zonas de montaña"
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased wildfires,Deforestation,Fires,Current,Serious,,Enforcing forest policies and regulations,,"Los incendios forestales, para ello se cuenta con el Plan Estratégico de Prevención y Lucha contra Incendios Forestales y el Plan Anual de Prevención y Extinción de incendios forestales 2025 (en la actualidad se encuentra en redacción el 2026). Su horizonte es amplio, en la actualidad se encuentra en el periodo 2023-2027. El impacto es la pérdida de la vegetación y deterioro de los parámetros edafológicos debido a un anacrónico uso inadecuado del fuego y en la actualidad se dan cursos para el uso controlado del fuego para los ganaderos, se hacen ordenaciones de montes para diferenciar los cuarteles de pastos de los arbolados y se hace seguimiento junto con autoridades de posibles intereses tras cada uno de los incendios."
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Conversion of natural habitats|Forest degradation|Deforestation,Small-scale agriculture|Fires|Infrastructure|Large-scale agriculture,Medium-term,Serious,The level of impact related to deforestation is serious given the fact that the AFOLU sector has been identified as one of the key contributors to the GHG emissions of the KZn Province. ,Increase awareness/engage all partners on sustainable forest management,Implementation,There is ongoing education and awareness on forest management conducted by relevant entities within the KZN Province.
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of forest products and services,Forest degradation,,Current,Less serious,Destruição de espécies produtoras de fruto e outros produtos associados à floresta.,Adoption of reforestation strategies,Implementation,"Plantações de espécies que promovam a produção dos produtos, como é o exemplo de castanheiros, nogueiras, e outras que de forma indireta ajudam fornecem produtos e serviços."
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Increased greenhouse gas emissions,Deforestation,,Current,Serious,O aumento nas emissões de gases com efeito de estufa contribui para o aquecimento global e isso é visível nas alterações climáticas.,Adoption of reforestation strategies,Implementation,De modo a mitigar este aumento são implementados projetos de (re)florestação.
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Biodiversity loss,Deforestation|Conversion of natural habitats,,Current,Serious,Perda de algumas espécies florestais e alguma fauna associada.,Adoption of reforestation strategies,Implementation,Uma da forma de contrariar a perda de biodiversidade é a substituição de espécies invasoras por espécies autóctones e outras espécies de de alguma forma aumenta a biodiversidade. 
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Change in forest structure and composition,Deforestation|Forest degradation|Conversion of natural habitats,,Current,Serious,Causa desiquilíbrio dos ecossistemas locais. Causa impacto na sobrevivência de espécies que dependem umas das outras.,Adoption of reforestation strategies,Implementation,Aumentar a biodiversidade de forma a estabelecer o equilíbrio dos ecossistemas.
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,5,Row 5,Introduction of invasive species,Conversion of natural habitats|Forest degradation,,Current,Extremely serious,Aumenta a vulnerabilidade das florestas e consequentemente a o aumento de risco incêndios e perda de biodiversidade.,Adoption of reforestation strategies,Implementation,"A conversão de povoamento de espécies invasoras por povoamentos com espécies autóctones, mas também espécies de interesse ecológico. "
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,6,Row 6,Increased soil erosion,Forest degradation|Deforestation|Conversion of natural habitats,,Current,Extremely serious,Perda de solo. Menor capacidade de retenção te água. E diminuição de fertilidade do solo.,Adoption of reforestation strategies,Implementation,"Implementação de mecanismos de forma a reduzir ao máximo a perda de solo, evitando a erosão. Mecanismos esses que são exemplo da instalação de povoamentos florestais de maneira a não comprometer a qualidades e disponibilidade de água."
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,7,Row 7,Increased wildfires,Other: absentismo dos proprietários|Conversion of natural habitats|Forest degradation,,Current,Serious,Perda de recursos naturais. Aumento da perda da biodiversidade. Impacto na regulação hídrica e na erosão do solo.,Adoption of reforestation strategies,Implementation,"Criação de Faixas de Gestão de Combustíveis, e implementando medidas de forma a mitigar o risco de incêndios, como por exemplo a substituição de espécies vulneráveis aos fogos por espécies mais resistentes."
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Change in forest structure and composition,Conversion of natural habitats|Forest degradation|Deforestation,Small-scale agriculture|Unsustainable logging|Charcoal and fuelwood production,Medium-term,Serious,"drastic change in forest structure and composition which result in reduction in species population, change in forest regeneration- reduction inseedling population of large-seeded trees, reduction in the capacity of our forest to act as carbon sink, lost of forest resources and increasing loss of livelihood for forest dependent people",Encouraging integrated land-use planning and management,Implementation,"reforestation and ecological restoration in degraded lands via the system of agrofoestry, planting of nitrogen fixing trees to enhance soil fertility in addition to the production of timber, fuelwood and food"
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of forest products and services,Deforestation|Forest degradation|Conversion of natural habitats,Fires|Large-scale agriculture,Current,Serious,"El paisaje ha sufrido una transformación marcada posterior a las diversas etapas de aprovechamiento forestal desde la década de los años 70 del siglo XX, donde se realizaron concesiones, licencias, planes y programas de manejo forestal, entre otros programas. Los municipios del sur del Estado entraron en una dinámica de aprovechamientos forestales pasando por la extracción de especies maderables, no maderables como chicozapote para extracción de látex para chicle, y más recientemente pimienta, ramón y módulos agroforestales. Los municipios del norte han experimentado una serie de procesos agropecuarios que han fragmentado el paisaje, desde los cultivos de maíz, sorgo y soya hasta los productos frutícolas, pasando además por las prácticas apícolas y siembra de hortalizas. Ocho de los once municipios (a excepción de Campeche, Carmen y Champotón, tienen una agricultura de manutención, predomina el autoconsumo y venta al mercado local, existen bajos rendimientos, la ganadería es extensiva y hay baja infraestructura agropecuaria (Gobierno del Estado de Campeche, 2007). Destaca el caso del municipio de Hopelchén con la transformación de las selvas a zonas de agricultura impulsada por grupos de colonos de origen extranjero, denominados “menonitas”, quienes han contribuido a aumentar la producción estatal en el sector agrícola, a expensas del incremento de la superficie cultivada. Este tipo de casos precisan de un análisis del impacto de las actividades productivas en relación a la deforestación y degradación forestal.",Institutional strengthening and capacity building on forest management,Operation,"La SEMABICCE en coordinación con las dependencias federales, organismos y redes a las cuales pertenece, participa tanto en seminarios, como en mesas de trabajo para capacitarse y fortalecer como institución y a su vez fortalecer a las instituciones locales y promover la capacitación de la gestión forestal. "
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Increased greenhouse gas emissions,Forest degradation|Conversion of natural habitats|Other: FRAGMENTACIÓN|Deforestation,Large-scale agriculture|Fires,Current,Serious,"Al incrementar los indices de deforestación, así como el cambio de usos de suelo se incrementan las emisiones de gases de efecto invernadero.",No action currently undertaken,Scoping,Aun nos encontramos en la fase de estudio preliminar
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Loss of carbon sinks,Forest degradation|Deforestation|Conversion of natural habitats,Mining|Fires|Large-scale agriculture,Current,Serious,El incremento de los indices de deforestación reduce la capacidad de nuestros sumideros naturales para el secuestro de carbono,No action currently undertaken,Scoping,Aun nos encontramos en la fase de estudio preliminar
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Increased wildfires,Deforestation|Forest degradation|Conversion of natural habitats,Fires|Large-scale agriculture|Mining,Current,Serious,El incremento del inadecuado manejo de quemas agropecuarias adicional al incremento de las olas de calor ocasionan el aumento desmedido de los incendios forestales,Enforcing forest policies and regulations,Implementation,CALENDARIO DE QUEMAS
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,5,Row 5,Biodiversity loss,Deforestation|Forest degradation|Conversion of natural habitats,Large-scale agriculture|Mining|Fires,Current,Serious,La perdida de biodiversidad provoca un desequilibrio ecologico,Reinforcing and expanding networks of protected areas and/or indigenous reserves,Operation,Manejo y conservación de Áreas Naturales Protegidas Estatales
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,6,Row 6,Biodiversity loss,"Deforestation|Conversion of natural habitats|Other: Tala Ilegal, caza ilegal, incendios forestales|Forest degradation",Fires|Other: Producción de carbón vegetal y Compra ilegal de madera y fauna silvestre|Large-scale agriculture|Mining,Current,Serious,"La tala ilegal (extracción selectiva de especies de árboles para cubrir la demanda de madera o carbon vegetal) y la deforestación para dar paso a un cambio de uso de suelo, ocasionan la perdida de la biodiversidad, debido a la fragmentación y o perdida de los hábitat naturales del Estado. ",Other: Acciones de inspección y vigilancia para la preservación de los recursos naturales en el Estado,Operation,"La Procuraduría de Protección al Ambiente del Estado, dentro de su Programa Operativo Anual ha contemplado las acciones de inspección y vigilancia en materia ambiental, como una medida para prevenir, proteger y conservar la riqueza natural del Estado. "
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of carbon sinks,Deforestation,Large-scale agriculture,Long-term,Serious,La deforestación forestal genera importantes emisiones de gases de efecto invernadero causando calentamiento global en la atmosfera.,Adoption of afforestation strategies,Operation,Se han implementado programas de arborización 
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Forest degradation|Deforestation,"Other: Crecimiento de la industria, transporte, agricultura, crecimiento urbano, deforestación y cambio de uso de suelo, residuos sólidos y energía",Long-term,Serious,"El aumento de las emisiones de gases de efecto invernadero en Aguascalientes se atribuye a varios factores, incluyendo la industrialización creciente, el incremento del transporte y las prácticas agrícolas intensivas. La expansión urbana, la deforestación. Además, la dependencia de fuentes de energía no renovables, como el carbón y el gas natural, contribuye a este problema. Estas emisiones están afectando el clima local, la salud pública y la biodiversidad en la región.",Adoption of afforestation strategies,Operation,Se establece un Programa de Reforestación anual en diferentes áreas naturales y puntos del Estado
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Biodiversity loss,Deforestation|Forest degradation,"Other: Invasión e especies exóticas, cambio en las condiciones ambientales, reducción de recursos, destrucción de hábitats",Long-term,Serious,"La pérdida de biodiversidad en Aguascalientes se debe principalmente a la deforestación y la degradación de los ecosistemas forestales. La transformación de tierras para la agricultura y el desarrollo urbano ha llevado a la destrucción de hábitats naturales, afectando a numerosas especies de flora y fauna. Esto resulta en la fragmentación de poblaciones, disminución de recursos alimentarios y refugios, y alteraciones en el equilibrio ecológico. Además, el cambio climático y la introducción de especies exóticas agravan el problema, poniendo en riesgo la diversidad biológica y los servicios ecosistémicos esenciales para las comunidades locales. ",Adoption of afforestation strategies,Operation,Se establece un Programa de Reforestación anual en diferentes áreas naturales y puntos del Estado
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of carbon sinks,Forest degradation|Deforestation,Other: Ganadería y cambios de uso de suelo|Small-scale agriculture|Large-scale agriculture|Fires,Current,Serious,"Pérdida de cobertura forestal en áreas de importancia para la conservación de reservorios de carbono, provocada por el crecimiento desordenado de las actividades agrícolas.",Encouraging integrated land-use planning and management,Scoping,"Fomentar la gestión sostenible del territorio a través de la gobernanza en el manejo de los recursos naturales en áreas de importancia para la conservación del carbono forestal, como la región Biocultural del Puuc, área de implementación del Programa de Inversiones del PdeI, donde se propone promover el desarrollo e implementación del Programa de Ordenamiento Ecológico Local (POEL). Actualmente 4 de los siete municipios que conforman el área de intervención del PdI de la Iniciativa de Reducción de Emisiones cuentan con la versión borrador de los POELs, elaborados con el apoyo del GCF Task Force y el Gobierno de Noruega, a través del financiamiento de la convocatoria para el fortalecimiento de las Estrategias Jurisdiccionales y Programas de Inversión REDD+ lanzada por el PNUD."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Increased wildfires,Forest degradation|Deforestation,Fires,Unknown,Serious,"Este problema esta asociado con actividades agropecuarias, el crecimiento irregular de las áreas urbanas y cultivos ilegales, siendo que en el año 2019 se registraron 587 incendios con una afectación de 72,268 hectáreas (RN-SEMADET).",Enforcing forest policies and regulations,Implementation,"Se está fortaleciendo el estado de fuerza del manejo del fuego, mediante el involucramiento de las juntas intermunicipales, además se está fortaleciendo y modificación del marco legal, logrando que los municipios puedan realizar sanciones a los causantes de incendios forestales, se busca la ordenación y sustitución del uso del fuego (RN-SEMADET)."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Loss of forest products and services,Deforestation,"Other: Cambio de uso de suelo, actividades ilicitas",Unknown,Extremely serious,"El establecimiento de parcelas de cultivos de alto rendimiento (comerciales o forrajeros), intensificación de actividades de pastoreo, el aprovechamiento comercial de bosques de manera ilegal, la creación de nuevos asentamientos humanos en áreas boscosas así como el desarrollo de nuevos accesos para otras tierras, carreteras, autopistas, bordos y represas para hidroeléctricas construidas a través de áreas forestales (RN-SEMADET).",Increase awareness/engage all partners on sustainable forest management,Scoping,"Incrementar la producción y productividad forestal, así como el manejo forestal comunitario, a través de la aplicación de prácticas silvícolas compatibles con la conservación de la biodiversidad, que ayuden a mejorar el estado de salud de los bosques y selvas, logrando el consumo de productos forestales de procedencia legal y certificada (RN-SEMADET)."
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Biodiversity loss,Forest degradation|Conversion of natural habitats|Deforestation,Small-scale agriculture,Short-term,Extremely serious,"Pérdida de servicios ambientales, de biodiversidad.",Promoting and sharing information on best practices,Pre-implementation,Programas en proceso
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Loss of forest products and services,Forest degradation|Other: Tala clandestina|Deforestation|Conversion of natural habitats,Small-scale agriculture|Forest plantations|Fires,Current,Serious,"Los aprovechamientos que se realizan de manera clandestina e ilegal constituyen uno de los principales problemas del sector forestal. El contrabando de madera en algunos municipios de la región de estudio, se presenta en forma constante. Las localidades rurales concentran cerca del 92% de los usuarios de leña y las urbanas un 46% aproximadamente. Para la región 207,893 habitantes rurales utilizan la leña como la principal fuente de energía en los hogares. ww.conafor.gob.mx:8080/documentos/docs/9/3810Memoria%20del%20Estudio%20Regional%20Forestal%200701.pdfLos municipios de los Altos (Bochil, Chanal, San Lucas, Soyaló y Zinacantán) ocupan una superficie de 115,978.54 ha, lo que corresponde al 1.6% de la superficie del estado. La población indígena supone el 63% del total, aunque en Chanal (tzeltal) y Zinacantán (tzotzil) el porcentaje se acerca al 90 %. Salvo San Lucas, los municipios analizados conservan superficies forestales que abarcan el 50 % o más de su territorio, aunque generalmente se trata de bosques secundarios o degradados. La principal dinámica detectada en estos municipios fue la deforestación por agricultura de subsistencia y la degradación por extracción de leña. En la Selva está integrado por 6 municipios: Chilón, La Libertad, Ocosingo, Palenque, Benemérito de las Américas y Marqués de Comillas. Cuenta con una superficie de 1,638,768 ha, lo que supone el 23% del territorio del estado. La población indígena supone el 63% del total, llegando en Chilón al 87 % (tzeltal), este municipio, además es el que presenta el mayor índice de marginación de todos los analizados. Los municipios que conservan un mayor porcentaje de superficie forestal son Chilón, Ocosingo y Marqués de Comillas, destacándose las 498,138 ha de selvas y bosques conservados (principalmente selva alta perennifolia) de Ocosingo. La degradación forestal presentó valores relevantes en Ocosingo, debido a la extracción de maderas preciosas para venta y para su uso en carpintería así como la apertura de sombra para el establecimiento de cafetales (este proceso se detectó también en Chilón). Además, la plaga de descortezadores del pino que se está extendiendo por Ocosingo, está provocando la degradación de los bosques del género Pinus. http://sis.cnf.gob.mx/wp-content/plugins/conafor-files/2018/nacional/catalogo/biblioteca/101.pdf",Setting up incentives (e.g. payments for ecosystem services),Operation,"Proteger los bosques tropicales, reducir las emisiones de la deforestación y degradación forestal, ademas de promover caminos realistas para el desarrollo rural sostenible mediante proyectos de inversión como\' Transitando hacia la sostenibilidad: Chiapas resilente y de bajas emisiones.Así también se realiza pago por servicios ambientales del Gobierno del estado, a los habitantes de las 7 subcomunidades representantes de los Bienes Comunales Zona Lacandona quienes se encargan de cuidar y mantener el sano equilibrio entre la tierra, las especies y la cultura de la selva: Lacanja Chansayab, Frontera Corozal, Puerto Bello Metzabok, Naha, Caribal Ojo de Agua Chankin, Nueva Palestina, y el ejido Canan.Se realizan acciones de combate a la tala y comercio ilegal mediante operativos forestales, debido a que se ha detectado el trasporte de madera de forma ilegal, mediante al trabajo coordinado con los tres ordenes de gobierno, se han registado resultados positivos en el combate de la tala,trafico y comercio ilegal."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Loss of carbon sinks,Deforestation|Conversion of natural habitats|Forest degradation,Small-scale agriculture|Fires|Charcoal and fuelwood production|Forest plantations|Unsustainable logging,Current,Serious,"Las tasas de deforestación anuales en Chiapas se encuentran entre 30 mil a 45 mil hectáreas, según Marco Antonio Lara Ramírez, Director Comercial de Ambio, una organización local de la sociedad civil.Chiapas registró una pérdida de 7.16 por ciento de la proporción de superficie cubierta por bosques y selvas, según cifras del Inegi, pues en el 2000 contaba con 56.28 por ciento de estas zonas y hasta el 2012 tenía un porcentaje de 49.12 por ciento.",Adoption of reforestation strategies,Operation,"Mediante el proyecto \'Fortalecimiento al Desarrollo Forestal\', se promueve el manejo y aprovechamiento ordenado y sustentable de bosques y selvas nativas, el establecimiento y cultivo de plantaciones forestales comerciales, así como el seguimiento de los procesos de cultivo, protección, aprovechamiento, transformación, industrialización y comercialización de las materias primas, productos y subproductos forestales obtenidos de estas plantaciones, dando asistencia técnica a los dueños y poseedores de estas áreas forestales. En Chiapas ,conforme al informe de gobierno 2019, mediante el programa nacional sembrando vida , se produjo 3 .5 millones plantas frutales y forestales con una inversion de 23.4 millones de pesos.SERVICIOS QUE SE BRINDAN• Asistencia técnica para el establecimiento y/o seguimiento de plantaciones forestales comerciales. • Asistencia técnica para incorporar al manejo forestal de bosques y selvas. • Realizar acciones de coordinación con las instituciones del sector forestal con el fin de fomentar la difusión de sus reglas de operaciones para que ayuden y faciliten conocer toda la información, requisitos necesarios, para poder participar y puedan acceder a los diferentes programas. • Fomentar entre los dueños y poseedores de bosques y selvas, el manejo integral de sus recursos forestales, dando un valor agregado a las materias primas resulten de su aprovechamiento. • Concientizar a los productores la importancia de un buen manejo forestal, explicándoles los beneficios, servicios naturales y económicos que ofrecen.• Brindar asesorías técnicas de tal manera que se pueda orientar, promover y agilizar en la gestión a los productores forestales para que estos puedan ser sujetos de apoyos, financiamiento y estímulos que se establezcan para el fomento y desarrollo. • Representar a la Subsecretaria en reuniones de los tres niveles de gobierno dentro del sector forestal y dar seguimiento de los proyectos establecidos por la subsecretaria de años anteriores, apoyar en la difusión de las reglas de operación de CONAFOR en las diferentes regiones del estado. • Acompañamiento, promover y orientar al dueño o poseedor de terrenos forestales, para que puedan ser sujetos a los diferentes programas y apoyos de la SEMARNAT y CONAFOR."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Increased wildfires,Conversion of natural habitats|Forest degradation|Deforestation,Small-scale agriculture|Fires|Forest plantations,Current,Serious,"Conforme a los registros de la CONAFOR , en el 2007 la superficie afectada por incendios forestales fue de 12 mil 894 hectáreas; en 2008, de 9 mil 711; 2009, 12 mil 514; 2010, 7 mil 698, y en 2011 ascendió a 14 mil 428 hectáreas. Las entidades federativas con mayor superficie acumulada por incendios forestales hasta el 2018 son Chiapas con 1'189,288 hectáreas,seguido de Jalisco (1'110,080 ha), Coahuila (1'087,282 ha), Chihuahua (1'067,305 ha) y Durango (915,326 ha), conforme a los datos de la CONAFOR.Conforme a los datos de la SEMARNAT para el 2019 se detectaron 454 incendios, y la fuente es de la Comisión Nacional Forestal, Gerencia del Manejo del Fuego, Agosto, 2020.",Forest landscape restoration,Operation,"Impulsar el desarrollo forestal como un instrumento de conservación de los ecosistemas y generadora de la economía mediante la estrategia de Reducir la superficie de afectación de los bosques y selvas por incendios forestales. Se realizan anualmente 22 Cursos de Capacitación sobre combate de incendios forestales y Manejo Integral del Fuego (MIF) a Brigadistas Voluntarios, Municipales y Oficiales, 75 Talleres comunitarios para la Prevención y Difusión de la normatividad en materia de Incendios Forestales a comunidades donde se tiene mayor presencia de incendios forestales, así como efectuar 275 Monitoreos para detectar y dar atención oportunamente los incendios forestales. Así también se realizaran 33 kilómetros lineales de apertura y 66 kilómetros lineales de brechas cortafuego como medida preventiva para evitar que incendios se propaguen a zonas arboladas o con macizos forestales con alta biodiversidad.SERVICIOS QUE SE BRINDAN.-• Dar atención a los reportes por emergencias de incendios forestales,.• Asistencia técnica para la realización de quemas controladas en terrenos forestales o agropecuarios.• Sensibilización a ejidatarios, propietarios o poseedores de los terrenos forestales, en la prevención de los incendios forestales.• Capacitación básica a brigadas oficiales y comunitarias, para el combate de incendios forestales. • Capacitación especializada en materia de combate de incendios forestales a personal oficial de la región sureste del país. • Monitoreo constante a zonas de riesgo o vulnerables a incendios forestales.• Aperturas y Rehabilitaciones de brechas cortafuego en áreas forestales colindantes con zonas agrícolas, pecuarias o zonas de interface urbano-forestal.Así también por parte del Gobierno del Estado se implementan soluciones a la problemática de plagas y enfermedades forestales que están afectando y pueden afectar aún más a las masas forestales; éste tiene una cobertura Estatal que contribuye en la prevención, control y combate de plagas y enfermedades forestales.ACTIVIDADES QUE SE REALIZANVerificación fitosanitaria, Diagnóstico, Supervisión de Saneamiento Forestal, Acciones técnicas encaminadas para el manejo y control de plagas y enfermedades forestales, que permiten reducir los impactos en los ecosistemas. Considerando el método de control de acuerdo a la Notificación del saneamiento."
